music           data/music/subboss.bor
background	Data\Bgs\stg01sb/backg.gif
panel		Data\Bgs\stg01sb/panel.gif
order           a
direction       right

spawn1	150 0 190
spawn2	120 20 190 

#-------1

spawn   chair
flip	1
2pitem	1up
coords  50 225
at      0

spawn   table
item    money
coords  100 225
at      0

spawn   chair
item    hotdog
coords  150 225
at      0

group	4 4
at	0

spawn   b.jenet
alias   Jerica
boss	1
health  550
coords  350 190
at      0

spawn	joe
alias	Nobuhisa
map	3	
coords	350 190
at	0

spawn	joe
alias	Nobukazu	
coords	-30 190
at	0

spawn	joe
alias	Hidemichi
map	1	
coords	-30 190
at	0

spawn	joe
alias	Tokutomi
map	2	
coords	-30 190
at	0

spawn	joe
alias	Yosai
map	4	
coords	-30 190
at	0

spawn	joe
alias	Tobei
map	3
coords	350 210
at	0

spawn	joe
alias	Yoshitake
map	2	
coords	-30 200 
at	0

spawn	joe
alias	Jin
map	1	
coords	-30 190
at	0

spawn	joe
alias	Yoshio
map	3	
coords	350 190
at	0

spawn	joe
alias	Yasuoka	
coords	-30 190
at	0

spawn	joe
alias	Teriuihi
map	4	
coords	-30 190
at	0
