name	    		Carlos
type	    		player
health	    		90
mp          		100
nolife				1
hostile				enemy
candamage			enemy player obstacle
speed	    		11
jumpspeed	    	10
jumpheight   		3.3
#jumpmove 			3
turndelay 			12
mprate				4
grabdistance		20
grabfinish			1
grabback			0
antigravity 		10
bounce				1
noquake     		1
shadow	    		3
diesound    		data/chars/carlos/carlos05.wav
flash 				flash
bflash 				guard
dust    			dust01
toflip				1
nodieblink			1
makeinv     		5 0 
falldie 			2
riseinv 			1 1
atchain     		1 1 2 3
jugglepoints		15
animationscript		data/scripts/player.c

load				slice01
load				slice02
load				slice12
load				slice03

com  f f a  		freespecial2
com  d u a  		freespecial3
com  d f a  		freespecial4
com  d f d f a  	freespecial5


icon	      		data/chars/carlos/icon.gif 1
icondie     		data/chars/carlos/icond.gif 1

parrow		data/chars/misc/parrow/01.gif -215 -185
parrow2		data/chars/misc/parrow/02.gif -215 -185
parrow3		data/chars/misc/parrow/03.gif -215 -185
parrow4		data/chars/misc/parrow/04.gif -215 -185

palette 			data/chars/carlos/pal/pal01.gif #1
alternatepal		data/chars/carlos/pal/pal02.gif #2
alternatepal		data/chars/carlos/pal/pal03.gif #3
alternatepal		data/chars/carlos/pal/pal04.gif #4
alternatepal		data/chars/carlos/pal/pal05.gif #5
alternatepal		data/chars/carlos/pal/pal06.gif #6
alternatepal		data/chars/carlos/pal/pal07.gif #7
alternatepal		data/chars/carlos/pal/pal08.gif #8
alternatepal		data/chars/carlos/pal/pal09.gif #9
alternatepal		data/chars/carlos/pal/pal10.gif #10

#	weapons     fighter1 fighter2 fighter3

#-------Select screen!

anim waiting
	 loop       1
	 offset     1 1
	 delay      4
       frame      data/chars/carlos/sel01.gif
       frame      data/chars/carlos/sel02.gif

anim select
	 loop       0
	 offset     1 1

   	 sound   	data/sounds/choose.wav
	 delay      2
       frame      data/chars/carlos/sel03.gif
	 delay      8
	 sound   	data/sounds/punch.wav
       frame      data/chars/carlos/sel04.gif
	 delay      4
       frame      data/chars/carlos/sel03.gif

	 sound   	data/sounds/punch.wav
	 delay      8
       frame      data/chars/carlos/sel04.gif
	 delay      4
       frame      data/chars/carlos/sel03.gif

       frame      data/chars/carlos/sel05.gif
       frame      data/chars/carlos/sel06.gif
	 sound   	data/sounds/punch.wav
	 delay      15
       frame      data/chars/carlos/sel07.gif

	 delay      8
       frame      data/chars/carlos/sel08.gif
       frame      data/chars/carlos/sel09.gif
       frame      data/chars/carlos/sel10.gif
       frame      data/chars/carlos/sel11.gif
	 sound   	data/sounds/sword01.wav
	 delay      4
       frame      data/chars/carlos/sel12.gif
       frame      data/chars/carlos/sel13.gif
       frame      data/chars/carlos/sel14.gif
       frame      data/chars/carlos/sel15.gif
	 delay      100
	 sound   	data/chars/carlos/carlos01.wav
       frame      data/chars/carlos/sel16.gif


#-------Moves

anim spawn
	loop       0
	 offset     238 177
	delay   3
     @cmd setLevel
	frame	data/chars/carlos/idle01.gif
	frame	data/chars/carlos/idle01.gif
	frame	data/chars/carlos/idle01.gif
	frame	data/chars/carlos/idle01.gif
	frame	data/chars/carlos/idle01.gif
	frame	data/chars/carlos/idle01.gif
	frame	data/chars/carlos/idle01.gif
	frame	data/chars/carlos/idle01.gif
	frame	data/chars/carlos/idle01.gif
	frame	data/chars/carlos/idle01.gif

anim idle
	 loop       1
	 offset     238 177
	 bbox		226 102 23 76
	 delay      8
       frame      data/chars/carlos/idle01.gif

anim walk
	 loop       1
	 offset     238 177
	 bbox		226 102 23 76
	 delay      10
       frame      data/chars/carlos/walk01.gif
       frame      data/chars/carlos/walk02.gif
       frame      data/chars/carlos/walk03.gif
       frame      data/chars/carlos/walk04.gif
       frame      data/chars/carlos/walk05.gif
       frame      data/chars/carlos/walk06.gif

anim get
	 loop       0
	 offset     238 177
	 delay      30
       frame      data/chars/carlos/get01.gif

anim attack1
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			2 		1 		f f a 			freespecial2
	cancel 	0 			2 		1 		d u a 			freespecial3
	cancel 	0 			2 		1 		d f a 			freespecial4
	 fastattack 1

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      2
       frame      data/chars/carlos/a101.gif
	 delay      8
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 100 47 		78 		5 			0 		0 		0 			20			15
       frame      data/chars/carlos/a102.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      4
       frame      data/chars/carlos/a101.gif



anim attack2
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			2 		1 		f f a 			freespecial2
	cancel 	0 			2 		1 		d u a 			freespecial3
	cancel 	0 			2 		1 		d f a 			freespecial4
	 fastattack 1

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/carlos/a201.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 100 63 		78 		5 			0 		0 		0 			20			15
	 delay      10
       frame      data/chars/carlos/a202.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      4
       frame      data/chars/carlos/a203.gif

anim attack3
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			4 		1 		f f a 			freespecial2
	cancel 	0 			4 		1 		d u a 			freespecial3
	cancel 	0 			4 		1 		d f a 			freespecial4
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/carlos/carlos02.wav
	 delay      6
       frame      data/chars/carlos/a301.gif
	 delay      10
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 100 63 		78 		10 			1 		0 		0 			25			15
       frame      data/chars/carlos/a302.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      8
       frame      data/chars/carlos/a303.gif
       frame      data/chars/carlos/a304.gif
	 delay      12
       frame      data/chars/carlos/land01.gif

anim jumpdelay
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      10
       frame      data/chars/carlos/land01.gif

anim jump
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      35
       frame      data/chars/carlos/jump01.gif
	 delay      15
       frame      data/chars/carlos/jump02.gif
	 delay      999
       frame      data/chars/carlos/jump01.gif

anim forwardjump
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      8
