name	 BombA
type	 none
shadow	 0
jumpheight 0.5
alpha	 1

anim idle
	 loop      1
	 delay     10
	 offset    7 14
	 attack	   0 0 15 15 10 1 1 0 13
	 frame     data/chars/0gamefx/attack/bomb01.png
	 attack	   0 0 0 0
	 frame     data/chars/0gamefx/attack/bomb02.png

anim attack1
	 loop      0
	 delay     3
	 offset    16 159
	 frame     data/chars/0gamefx/attack/bomb03.png
	 attack	   0 135 32 25 10 1 1 0 13
	 frame     data/chars/0gamefx/attack/bomb03.png
	 attack	   0 0 0 0
	 frame     data/chars/0gamefx/attack/bomb04.png
	 attack	   0 87 32 74 10 1 1 0 13
	 frame     data/chars/0gamefx/attack/bomb04.png
	 attack	   0 0 0 0
	 frame     data/chars/0gamefx/attack/bomb05.png
	 attack	   0 17 32 144 10 1 1 0 13
	 frame     data/chars/0gamefx/attack/bomb05.png
	 attack	   0 0 0 0
	 frame     data/chars/0gamefx/attack/bomb06.png
	 attack	   0 0 32 161 10 1 1 0 13
	 frame     data/chars/0gamefx/attack/bomb06.png
	 attack	   0 0 0 0
	 frame     data/chars/0gamefx/attack/bomb06.png

anim attack2
	 loop      0
	 delay     6
	 offset    16 159
	 frame     data/chars/0gamefx/attack/bomb03.png
	 frame     data/chars/0gamefx/attack/bomb04.png
	 frame     data/chars/0gamefx/attack/bomb05.png
	 frame     data/chars/0gamefx/attack/bomb06.png

