name	SONIC
health	500
mp 80
mprate 10
speed	14
type	player
icon     data/chars/Sonic/Icon-A.gif 1
iconget  data/chars/Sonic/Icon-B.gif 1
iconpain data/chars/Sonic/Icon-C.gif 1
icondie  data/chars/Sonic/Icon-D.gif 1




running 24	3.9	2.80	1	1
makeinv  4
riseinv  1
gfxshadow 1
grabdistance 26




weapons    SONIC_ SONIC__ SONIC___

palette       data/chars/Sonic/Idle1

#alternatepal  data/chars/Sonic/Idle0
alternatepal  data/chars/Sonic/Map1
alternatepal  data/chars/Sonic/Map2
alternatepal  data/chars/Sonic/Map3
alternatepal  data/chars/Sonic/Map4
alternatepal  data/chars/Sonic/Map5




com a2 Freespecial4
com a3 Freespecial5
com a4 Freespecial6
jumpmove  3  2
atchain 1 1 1 0
throwframewait 10
knife   S-Wave








anim	attack1
	loop	0
	delay	2
	offset	120 141
	cancel	4 9 0 a freespecial
	bbox	108 113 24 27
	frame	data/chars/Sonic/A1-0.gif
	move	9
	frame	data/chars/Sonic/A1-1.gif
	attack1	120 117 30 18 9 0 0 0 0 20
	DropV	1 2
	move	0
	frame	data/chars/Sonic/A1-2.gif
	attack1	120 117 26 18 9 0 0 0 0 20
	DropV	1 2
	frame	data/chars/Sonic/A1-3.gif
	attack1	118 122 19 14 9 0 0 0 0 20
	DropV	1 2
	frame	data/chars/Sonic/A1-4.gif
	attack1	0
	frame	data/chars/Sonic/A1-5.gif
	delay	2
	frame	data/chars/Sonic/A1-5.gif
	frame	data/chars/Sonic/A1-5.gif
	frame	data/chars/Sonic/A1-5.gif
	frame	data/chars/Sonic/A1-5.gif
		
anim	dodge
	loop	0
	delay	5
	offset	120 131
	frame	data/chars/Sonic/JA2-0.gif
	frame	data/chars/Sonic/JA2-1.gif
	frame	data/chars/Sonic/JA2-2.gif
	frame	data/chars/Sonic/JA2-3.gif
	frame	data/chars/Sonic/JA2-0.gif
	frame	data/chars/Sonic/JA2-1.gif
	frame	data/chars/Sonic/JA2-2.gif
	frame	data/chars/Sonic/JA2-3.gif
		
anim	fall
	loop	0
	offset	120 141
	delay	7
	quakeframe	0 3 4
	Landframe	9
	attack3	101 105 37 38 10 0 0 0 0 20
	Bbox	101 105 37 38
	sound	Data/CHARS/Sonic/whoa.wav
	@cmd	changeentityproperty getlocalvar("self") "Subject_to_Platform" 1
	frame	data/chars/Sonic/Fall-0.gif
	frame	data/chars/Sonic/Fall-1.gif
	frame	data/chars/Sonic/Fall-2.gif
	frame	data/chars/Sonic/Fall-3.gif
	frame	data/chars/Sonic/Fall-0.gif
	frame	data/chars/Sonic/Fall-1.gif
	frame	data/chars/Sonic/Fall-2.gif
	frame	data/chars/Sonic/Fall-3.gif
	delay	500
	frame	data/chars/Sonic/Fall-4.gif
	bbox	0
	delay	7
	Attack1	0
	frame	data/chars/Sonic/Fall-5.gif
	frame	data/chars/Sonic/Fall-6.gif
	frame	data/chars/Sonic/Fall-7.gif
	frame	data/chars/Sonic/Fall-8.gif
	frame	data/chars/Sonic/Fall-9.gif
		
anim	follow10
	loop	0
	offset	120 141
	delay	100
	frame	data/chars/Sonic/pain0.gif
		
anim	follow11
	loop	0
	offset	120 141
	delay	100
	frame	data/chars/Sonic/Fall-7.gif
		
anim	follow12
	loop	0
	offset	120 141
	delay	100
	frame	data/chars/Sonic/Fall-4.gif
		
anim	follow13
	loop	0
	offset	115 170
	delay	100
	frame	data/chars/Sonic/pain0.gif
		
anim	freespecial
	loop	0
	delay	3
	offset	120 141
	cancel	6 9 0 a freespecial2
	bbox	109 111 25 29
	fastattack	1
	attack1	1
	frame	data/chars/Sonic/A2-0.gif
	frame	data/chars/Sonic/A2-1.gif
	attack1	0
	frame	data/chars/Sonic/A2-2.gif
	attack1	121 115 21 23 9 0 0 0 0 20
	DropV	1 2
	delay	5
        Move 8
	frame	data/chars/Sonic/A2-3.gif
        Move 0
	frame	data/chars/Sonic/A2-4.gif
	attack1	0
	frame	data/chars/Sonic/A2-5.gif
	delay	2
	frame	data/chars/Sonic/A2-5.gif
	frame	data/chars/Sonic/A2-5.gif
	frame	data/chars/Sonic/A2-5.gif
	frame	data/chars/Sonic/A2-5.gif
		
anim	freespecial2
	loop	0
	delay	4
	offset	120 141
	cancel	7 13 0 a freespecial3
	bbox	101 107 29 36
	fastattack	1
	attack1	1
	move	3
	sound	Data/CHARS/Sonic/hya.wav
	frame	data/chars/Sonic/A3-0.gif
	attack1	0
	frame	data/chars/Sonic/A3-1.gif
	attack1	108 117 25 25 5 0 0 0 0 20
	DropV	1 2
	frame	data/chars/Sonic/A3-2.gif
	frame	data/chars/Sonic/A3-3.gif
	attack1	0
	move	0
	frame	data/chars/Sonic/A3-4.gif
	attack1	108 117 25 25 5 0 0 0 0 20
	DropV	1 2
	frame	data/chars/Sonic/A3-5.gif
	frame	data/chars/Sonic/A3-6.gif
	frame	data/chars/Sonic/A3-3.gif
	attack1	0
