name	Golrio
health	100
speed	9
type	player
shadow	3
diesound data/sounds/eek.wav
icon	   data/chars/golrio/0.gif












anim	attack1
	bbox	1 0 77 103
	delay	7
	offset	39 101
	frame	data/chars/golrio/38.gif
	attack	84 11 81 38 5 0 1 0 0 0
	bbox	1 0 94 114
	offset	52 111
	frame	data/chars/golrio/39.gif
		
anim	attack2
	offset	23 103
	frame	data/chars/golrio/40.gif
	attack	65 61 51 36 7 0 1 0 0 0
	bbox	0 0 85 106
	offset	23 101
	frame	data/chars/golrio/41.gif
		
anim	attack3
	offset	37 93
	frame	data/chars/golrio/42.gif
	bbox	0 0 69 79
	offset	37 78
	frame	data/chars/golrio/43.gif
	bbox	0 1 91 58
	offset	46 58
	frame	data/chars/golrio/44.gif
	bbox	0 0 88 92
	attack	67 0 81 93 11 0 1 0 0 0
	offset	65 89
	frame	data/chars/golrio/45.gif
		
anim	attack4
	offset	55 105
	frame	data/chars/golrio/48.gif
	bbox	0 0 96 127
	offset	55 123
	frame	data/chars/golrio/49.gif
	attack	104 2 39 66 8 0 1 0 0 0
	bbox	0 0 96 127
	offset	60 119
	frame	data/chars/golrio/50.gif
	frame	data/chars/golrio/51.gif
		
anim	attack5
	bbox	0 0 85 106
	offset	52 105
	frame	data/chars/golrio/52.gif
	attack	73 1 40 76 8 0 1 0 0 0
	bbox	1 1 61 103
	offset	39 102
	frame	data/chars/golrio/53.gif
	bbox	0 1 65 113
	offset	33 111
	frame	data/chars/golrio/54.gif
		
anim	attack6
	offset	45 80
	frame	data/chars/golrio/55.gif
	attack	79 0 49 52 7 0 1 0 0 0
	bbox	0 0 82 97
	offset	45 94
	frame	data/chars/golrio/56.gif
		
anim	attack7
	offset	35 86
	frame	data/chars/golrio/59.gif
	attack	75 6 37 47 5 0 1 0 0 0
	bbox	1 0 68 89
	offset	35 89
	frame	data/chars/golrio/60.gif
		
anim	attack8
	offset	25 80
	frame	data/chars/golrio/61.gif
	bbox	1 1 57 81
	offset	25 79
	frame	data/chars/golrio/62.gif
	attack	71 1 48 56 8 0 1 0 0 0
	bbox	1 1 57 81
	offset	35 80
	frame	data/chars/golrio/63.gif
	bbox	0 0 96 86
	offset	29 84
	frame	data/chars/golrio/64.gif
		
anim	attack9
	bbox	0 1 61 80
	delay	7
	offset	28 79
	frame	data/chars/golrio/57.gif
	attack	94 42 43 36 0 0 1 0 0 0
	bbox	0 1 61 80
	offset	40 74
	frame	data/chars/golrio/58.gif
	bbox	1 0 68 89
	offset	36 86
		
anim	fall
	delay	7
	offset	32 122
	frame	data/chars/golrio/160.gif
	offset	33 118
	frame	data/chars/golrio/161.gif
	offset	49 105
