name		qFlash
nolife		1
type		none
shadow		0
alpha		1
lifespan	1
antigravity	100

anim 	spawn
	quakeframe	0 4 -4
	delay	5
	offset	15 17
	frame	data/chars/misc/flashs/idle100.gif

	offset	36 42
	frame	data/chars/misc/flashs/idle101.gif

	offset	55 56
	frame	data/chars/misc/flashs/idle102.gif

	offset	70 71
	frame	data/chars/misc/flashs/idle103.gif

	offset	98 100
	frame	data/chars/misc/flashs/idle104.gif

	offset	126 124
	frame	data/chars/misc/flashs/idle105.gif

	offset	170 110
	frame	data/chars/misc/flashs/idle106.gif

	offset	171 109
	frame	data/chars/misc/flashs/idle107.gif

	frame	data/chars/misc/empty.gif
	


