name	Spiderman_E
health         1000
mp	       12000
speed	       12
type	       enemy
hostile		player enemy
aimove	Chase
subject_to_screen 1
candamage    enemy obstacle player
shadow	       3
makeinv        2
running        35  4.1  2  1
dust           dust
throwdamage    26
atchain	       1 2 3 4
flash flashp
fmap           6
projectilehit  player obstacle
gfxshadow 1
animationscript	data/scripts2/script.c
script		data/scripts/toad.c

jumpmove 3 2

load	webball
load	websling

com	A2 freespecial
com	A3 freespecial2
com	A4 freespecial8


anim	attack1
	cancel 0 2 1 A2 freespecial
	cancel 0 2 1 A3 freespecial2
	cancel 0 2 1 A4 freespecial8
	loop	0
	delay	6
	offset	64 69
	bbox	62 9 14 40
	sound	data/chars/Spiderman/hoo.wav
	hitfx	data/chars/rogue/hit.wav
	frame	data/chars/Spiderman/Spiderman02000000.gif
	attack1	81 5 76 23 9
	frame	data/chars/Spiderman/Spiderman02000001.gif
	offset	64 60
	bbox	68 5 9 39
	Attack1	0
	frame	data/chars/Spiderman/Spiderman02000002.gif
		
anim	attack2
	cancel 0 4 1 A2 freespecial
	cancel 0 4 1 A3 freespecial2
	cancel 0 4 1 A4 freespecial8
	loop	0
	delay	5
	offset	68 59
	bbox	68 5 19 36
	move	2
	hitfx	data/chars/rogue/hit.wav
	frame	data/chars/Spiderman/Spiderman02100000.gif
	offset	68 87
	bbox	76 24 20 26
	attack1	105 14 75 60 8
	frame	data/chars/Spiderman/Spiderman02100001.gif
	offset	45 136
	bbox	45 39 17 42
	Attack1	0
	frame	data/chars/Spiderman/Spiderman02100002.gif
	frame	data/chars/Spiderman/Spiderman02100003.gif
	frame	data/chars/Spiderman/Spiderman02100004.gif
		
anim	attack3
	cancel 0 6 1 A2 freespecial
	cancel 0 6 1 A3 freespecial2
	cancel 0 6 1 A4 freespecial8
	loop	0
	delay	4
	offset	37 65
	hitfx	data/sounds/bukk.wav
	bbox	28 11 12 44
	cancel	1 7 1 D freespecial5
	cancel	1 7 1 A freespecial6
	sound	data/chars/Spiderman/comeon.wav
	move	2
	hitflash	flash
	frame	data/chars/Spiderman/Spiderman02500000.gif
	offset	63 102
	bbox	36 26 44 21
	frame	data/chars/Spiderman/Spiderman02500001.gif
	offset	33 86
	bbox	36 23 21 45
	blast	58 3 109 28 13 0 0 50
	dropv	5 1 0
	frame	data/chars/Spiderman/Spiderman02500002.gif
	offset	22 92
	frame	data/chars/Spiderman/Spiderman02500003.gif
	offset	27 105
	bbox	17 45 24 29
	Attack1	0
	frame	data/chars/Spiderman/Spiderman02500004.gif
	offset	65 114
	bbox	48 51 29 31
	frame	data/chars/Spiderman/Spiderman02500005.gif
	offset	95 56
	bbox	48 11 32 15
	frame	data/chars/Spiderman/Spiderman02500006.gif
		
anim	fall
	loop	0
	offset	57 42
	delay	20
	Attack1	0
	bbox	0
	frame	data/chars/Spiderman/fall1.gif
	offset	73 42
	frame	data/chars/Spiderman/fall2.gif
		
anim	follow1
	delay	1
	offset	180 166
	sound	data/chars/Spiderman/web.wav
	frame	data/chars/Spiderman/Spin01.gif
	delay	5
	frame	data/chars/Spiderman/Spin01.gif
	frame	data/chars/Spiderman/Spin02.gif
	frame	data/chars/Spiderman/Spin03.gif
	delay	1
	@cmd	slamstart2
	frame	data/chars/Spiderman/Spin03.gif
	delay	5
	@cmd	position 2 102 76 -1 -1
	sound	data/chars/Spiderman/websling.wav
	frame	data/chars/Spiderman/Spin04.gif
	@cmd	position 2 0 79 -1 -1
	frame	data/chars/Spiderman/Spin05.gif
	@cmd	position 2 -112 80 -1 1
	frame	data/chars/Spiderman/Spin06.gif
	@cmd	position 2 -158 90 -1 1
	frame	data/chars/Spiderman/Spin07.gif
	@cmd	position 2 -111 112 1 1
	frame	data/chars/Spiderman/Spin08.gif
	@cmd	position 2 -4 118 1 1
	frame	data/chars/Spiderman/Spin09.gif
	@cmd	position 2 103 112 1 -1
	frame	data/chars/Spiderman/Spin10.gif
	@cmd	position 2 150 93 -1 -1
	frame	data/chars/Spiderman/Spin11.gif # Loopsign
	@cmd	position 1 102 76 -1 -1
	frame	data/chars/Spiderman/Spin04.gif
	@cmd	position 2 0 79 -1 -1
	frame	data/chars/Spiderman/Spin05.gif
	@cmd	position 2 -112 80 -1 1
	frame	data/chars/Spiderman/Spin06.gif
	@cmd	position 2 -158 90 -1 1
	frame	data/chars/Spiderman/Spin07.gif
	@cmd	position 2 -111 112 1 1
	frame	data/chars/Spiderman/Spin08.gif
	@cmd	position 2 -4 118 1 1
	frame	data/chars/Spiderman/Spin09.gif
	@cmd	position 2 103 112 1 -1
	frame	data/chars/Spiderman/Spin10.gif
