name	    		E._Honda
type	    		player
health	    		110
mp          		100
nolife				1
hostile				enemy
candamage			enemy player obstacle
speed	    		9
jumpspeed	    	10
jumpheight   		3.3
#jumpmove 			3
turndelay 			12
mprate				2
grabdistance		20
grabfinish			1
grabback			0
antigravity 		10
bounce				1
noquake     		1
shadow	    		4
diesound    		data/chars/honda/honda05.wav
flash 				flash
bflash 				guard
dust    			dust01
toflip				1
nodieblink			1
makeinv     		5 0 
falldie 			2
riseinv 			1 1
atchain     		1 1 2
jugglepoints		15
animationscript		data/scripts/player.c

com  a a a a a a	freespecial2
com  f f a  		freespecial3
com  d u a  		freespecial4
com  d f d f a  	freespecial5

icon	      		data/chars/honda/icon.gif 1
icondie     		data/chars/honda/icond.gif 1

parrow		data/chars/misc/parrow/01.gif -215 -185
parrow2		data/chars/misc/parrow/02.gif -215 -185
parrow3		data/chars/misc/parrow/03.gif -215 -185
parrow4		data/chars/misc/parrow/04.gif -215 -185

palette 			data/chars/honda/pal/pal01.gif #1
alternatepal		data/chars/honda/pal/pal02.gif #2
alternatepal		data/chars/honda/pal/pal03.gif #3
alternatepal		data/chars/honda/pal/pal04.gif #4
alternatepal		data/chars/honda/pal/pal05.gif #5
alternatepal		data/chars/honda/pal/pal06.gif #6
alternatepal		data/chars/honda/pal/pal07.gif #7
alternatepal		data/chars/honda/pal/pal08.gif #8
alternatepal		data/chars/honda/pal/pal09.gif #9
alternatepal		data/chars/honda/pal/pal10.gif #10

#	weapons     fighter1 fighter2 fighter3

#-------Select screen!

anim waiting
	 loop       1
	 offset     1 1
	 delay      4
       frame      data/chars/honda/sel01.gif
       frame      data/chars/honda/sel02.gif

anim select
	 loop       0
	 offset     1 1

	 sound   	data/sounds/choose.wav
	 delay      4
       frame      data/chars/honda/sel03.gif
       frame      data/chars/honda/sel04.gif
	 sound   	data/sounds/punch.wav
	 delay      8
       frame      data/chars/honda/sel05.gif
	 delay      4
       frame      data/chars/honda/sel04.gif
       frame      data/chars/honda/sel03.gif

	 sound   	data/sounds/punch.wav
	 delay      8
       frame      data/chars/honda/sel05.gif
	 delay      4
       frame      data/chars/honda/sel04.gif
       frame      data/chars/honda/sel03.gif

       frame      data/chars/honda/sel06.gif
       frame      data/chars/honda/sel07.gif
	 sound   	data/sounds/punch.wav
	 delay      10
       frame      data/chars/honda/sel08.gif
       frame      data/chars/honda/sel09.gif
	 delay      4
       frame      data/chars/honda/sel08.gif
       frame      data/chars/honda/sel07.gif

	 sound   	data/chars/honda/honda01.wav
	 delay      10
       frame      data/chars/honda/sel10.gif
	 delay      4
       frame      data/chars/honda/sel11.gif
	 sound   	data/sounds/punch.wav
	 delay      10
       frame      data/chars/honda/sel12.gif


#-------Moves

anim spawn
	loop       0
	 offset     238 177
	delay   3
     @cmd setLevel
	frame	data/chars/honda/idle01.gif
	frame	data/chars/honda/idle01.gif
	frame	data/chars/honda/idle01.gif
	frame	data/chars/honda/idle01.gif
	frame	data/chars/honda/idle01.gif
	frame	data/chars/honda/idle01.gif
	frame	data/chars/honda/idle01.gif
	frame	data/chars/honda/idle01.gif
	frame	data/chars/honda/idle01.gif
	frame	data/chars/honda/idle01.gif

anim idle
	 loop       1
	 offset     238 177
	 bbox		226 102 23 76
	 delay      8
       frame      data/chars/honda/idle01.gif

anim walk
	 loop       1
	 offset     238 177
	 bbox		226 102 23 76
	 delay      10
       frame      data/chars/honda/walk01.gif
       frame      data/chars/honda/walk02.gif
       frame      data/chars/honda/walk03.gif
       frame      data/chars/honda/walk04.gif
       frame      data/chars/honda/walk03.gif
       frame      data/chars/honda/walk02.gif

anim get
	 loop       0
	 offset     238 177
	 delay      30
       frame      data/chars/honda/get01.gif

anim attack1
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			2 		1 		a a a a a a		freespecial2
	cancel 	0 			2 		1 		f f a 			freespecial3
	cancel 	0 			2 		1 		d u a 			freespecial4
	 fastattack 1

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/honda/a101.gif
       frame      data/chars/honda/a102.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 120 54 		66 		6 			0 		0 		0 			25			15
       frame      data/chars/honda/a103.gif
	 attack2  	0 	0 	0 		0 		0 		0 		0 		0 		0
       frame      data/chars/honda/a102.gif
	 delay      6
       frame      data/chars/honda/a101.gif

anim attack2
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			4 		1 		a a a a a a		freespecial2
	cancel 	0 			4 		1 		f f a 			freespecial3
	cancel 	0 			4 		1 		d u a 			freespecial4
	 fastattack 1

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/honda/honda02.wav
	 delay      4
       frame      data/chars/honda/a201.gif
       frame      data/chars/honda/a202.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 128 66 		58 		18 			1 		0 		0 			30			15
	 delay      10
       frame      data/chars/honda/a203.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
       frame      data/chars/honda/a204.gif
	 delay      4
       frame      data/chars/honda/a203.gif
       frame      data/chars/honda/a202.gif

anim jumpdelay
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      10
       frame      data/chars/honda/land01.gif

anim jump
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      35
       frame      data/chars/honda/jump01.gif
	 delay      15
       frame      data/chars/honda/jump02.gif
	 delay      999
       frame      data/chars/honda/jump01.gif

anim forwardjump
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      24
       frame      data/chars/honda/fjump01.gif
	 delay      10
       frame      data/chars/honda/fjump02.gif
       frame      data/chars/honda/fjump03.gif
       frame      data/chars/honda/fjump04.gif
       frame      data/chars/honda/fjump05.gif
	 delay      999
       frame      data/chars/honda/fjump06.gif


anim jumpland
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      10
       frame      data/chars/honda/land01.gif

anim jumpattack
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/honda/honda02.wav
	 delay      5
       frame      data/chars/honda/jump02.gif
	 delay      7
       frame      data/chars/honda/ja101.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 136 57 		26 		12 			1 		0 		0 			30			15
	 delay      35
	 frame	data/chars/honda/ja102.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      7
       frame      data/chars/honda/ja101.gif
	 delay      5
       frame      data/chars/honda/jump02.gif
	 delay      999
       frame      data/chars/honda/jump01.gif

anim jumpforward
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/honda/honda02.wav
	 delay      4
       frame      data/chars/honda/ja201.gif
       frame      data/chars/honda/ja201.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 117 47 		36  	12 			1 		0 		0 			30			15
	 delay      15
	 frame	data/chars/honda/ja202.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      25
       frame      data/chars/honda/ja203.gif
	 delay      999
       frame      data/chars/honda/jump01.gif

anim jumpattack2
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat1.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	211 124 60 		38 		6 			0 		0 		0 			25			15
	 delay      999
	 frame	data/chars/honda/ja301.gif


anim grab
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      6
       frame      data/chars/honda/grab01.gif

anim grabattack
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 hitfx   	data/sounds/beat2.wav
	 delay      16
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 118 35 		68 		6 			0 		0 		0 			25			0
       frame      data/chars/honda/th101.gif

anim grabattack2
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 hitfx   	data/sounds/beat2.wav
	 delay      16
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 118 35 		68 		12 			1 		0 		0 			30			0
       frame      data/chars/honda/th101.gif

anim grabbackward
	flipframe	9
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	attackone	0
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
 	 sound   	data/chars/honda/honda02.wav
      frame      data/chars/honda/th201.gif
	   
	 delay      45
	 sound   	data/sounds/beat2.wav
@cmd spawn01 "flash" 20 1 -45
	@cmd position 15 -15 11 0 1
      frame      data/chars/honda/th202.gif
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
	 sound   	data/chars/honda/honda02.wav
       frame      data/chars/honda/th201.gif
	   
	 delay      45
	 sound   	data/sounds/beat2.wav
@cmd spawn01 "flash" 20 1 -45
	@cmd position 15 -15 11 0 1
      frame      data/chars/honda/th202.gif
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
	 sound   	data/chars/honda/honda02.wav
       frame      data/chars/honda/th201.gif
	   
	 delay      45
	 sound   	data/sounds/beat2.wav
@cmd spawn01 "flash" 20 1 -45
	@cmd position 15 -15 11 0 1
      frame      data/chars/honda/th202.gif
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
	 sound   	data/chars/honda/honda03.wav
       frame      data/chars/honda/th201.gif
	   
	 delay      20
	@cmd position 19 1 1 0 1
      frame      data/chars/honda/th203.gif

	  hitfx   	data/sounds/punch.wav
