name    gin5
type	text
speed 9999
facing 1
remove 1

subtype	noskip
speed      5
setlayer   5000
shadow	0

subject_to_screen 1
lifespan 30

palette       none





anim	idle
	loop	1
	delay	20
	offset	0 0 
sound	data/sounds/gitaunt.wav
	frame	data/scenes/gin5/1.png
	frame	data/scenes/gin5/2.png
delay 17
	frame	data/scenes/gin5/3.png
	frame	data/scenes/gin5/4.png
	frame	data/scenes/gin5/5.png
frame	data/scenes/gin5/4.png
frame	data/scenes/gin5/3.png
	frame	data/scenes/gin5/4.png
	frame	data/scenes/gin5/5.png
frame	data/scenes/gin5/4.png
frame	data/scenes/gin5/3.png
	frame	data/scenes/gin5/4.png
	frame	data/scenes/gin5/5.png
@cmd	killentity getlocalvar("self")
	frame	data/scenes/gin5/5.png



		
#|edited by openBor Stats v 0.67
		
