name	E-MAI
health	160
speed	12
type	enemy
shadow	0
dust	dust
running	20 3 2 1 0
noquake	1
makeinv	4
blockodds       35
diesound	data/sounds/maidie.wav
aggression	15
aimove	Chasex
icon	data/chars/mai2/3.gif
iconpain	data/chars/mai2/4.gif
com	d f a freespecial2
com	f d a freespecial3
com	u f a freespecial4
remap	data/chars/mai2/idle00.gif	data/chars/mai2/alt1.gif
remap	data/chars/mai2/idle00.gif	data/chars/mai2/alt2.gif

anim idle
	loop	1
	delay	10
	offset	34 88
	bbox	10 1 41 91
	frame	data/chars/mai2/idle00.gif
		offset	33 91
               frame	data/chars/mai2/idle01.gif
		offset	33 94
              frame	data/chars/mai2/idle02.gif
		offset	32 91
              frame	data/chars/mai2/idle03.gif
		offset	32 87
              frame	data/chars/mai2/idle04.gif
		offset	32 91
              frame	data/chars/mai2/idle03.gif
		offset	33 94
              frame	data/chars/mai2/idle02.gif
		offset	33 91
               frame	data/chars/mai2/idle01.gif

anim walk
	loop	1
	delay	7
	offset	12 101
	bbox	0 1 38 105
	frame	data/chars/mai2/wk00.gif
		offset	22 107
                  bbox	1 3 44 110
                  frame	data/chars/mai2/wk01.gif
		offset	22 109
                  frame	data/chars/mai2/wk02.gif
		offset	23 109
                  frame	data/chars/mai2/wk03.gif
		offset	31 106
                  bbox	13 3 43 104
                  frame	data/chars/mai2/wk04.gif
		offset	33 106
                  frame	data/chars/mai2/wk05.gif


anim run
        loop	1
	delay	8
	offset	54 70
	bbox	26 2 70 68
	frame	data/chars/mai2/run1.gif
        offset	51 67
	frame	data/chars/mai2/run2.gif
        offset	56 71
        frame	data/chars/mai2/run3.gif
        offset	54 70
        frame	data/chars/mai2/run4.gif
        offset	51 67
        frame	data/chars/mai2/run5.gif
        offset	56 70
        frame	data/chars/mai2/run6.gif

anim get
	loop	0
	delay	5
	offset	32 80
                  bbox          0 0 0 0
	frame	data/chars/mai2/get00.gif
		offset	36 58
                  frame	data/chars/mai2/get01.gif
		offset	36 55
                  frame	data/chars/mai2/get02.gif

anim block
	loop	0
	delay	5
	offset	33 87
	frame	data/chars/mai2/block1.gif
		offset	33 88
        bbox    17 7 23 68
        frame	data/chars/mai2/block2.gif

anim attack1
	loop	0
	delay	5
	offset	33 89
	bbox	11 5 38 89
	frame	data/chars/mai2/2atk00.gif
		offset	 34 92
                  bbox          15 5 40 92
