name	       Bison
health         1000
mp	       500
speed	       12
type	       player
shadow	       3
makeinv        2
running        35  5.8  2  1
dust           dust
throwdamage    26
candamage    enemy obstacle
atchain	       1 2 3 4
flash  flashp
jumpheight     5.3
projectilehit  player obstacle
gfxshadow 1
animationscript	data/scripts2/script.c
script		data/scripts/toad.c

load            bisond

com             A2 freespecial
com             A3 freespecial2
com             A4 freespecial3


icon           data/chars/Bison/icon.gif















anim	attack1
	sound	data/Chars/Bison/ha1.wav
	cancel	0 2 1 A2 freespecial
	cancel	0 2 1 A3 freespecial2
	cancel	0 2 1 A4 freespecial3
	bbox	49 3 44 78
	loop	0
	delay	6
	offset	59 82
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Bison/attack1.gif
	offset	59 83
	attack	69 2 104 25 7 0 0 0 24 15
	frame	data/Chars/Bison/attack2.gif
	offset	59 82
	frame	data/Chars/Bison/attack3.gif
		
anim	attack2
	sound	data/Chars/Bison/ha1.wav
	cancel	0 3 1 A2 freespecial
	cancel	0 3 1 A3 freespecial2
	cancel	0 3 1 A4 freespecial3
	bbox	69 7 49 92
	loop	0
	delay	5
	offset	88 93
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Bison/bttack1.gif
	bbox	47 4 45 81
	offset	61 84
	frame	data/Chars/Bison/bttack2.gif
	attack	81 9 114 21 7 0 0 0 24 15
	offset	73 84
	frame	data/Chars/Bison/bttack3.gif
	attack	88 6 101 24 7
	offset	78 84
	frame	data/Chars/Bison/bttack4.gif
		
anim	attack3
	sound	data/Chars/Bison/3.wav
	cancel	0 4 1 A2 freespecial
	cancel	0 4 1 A3 freespecial2
	cancel	0 4 1 A4 freespecial3
	bbox	57 4 47 85
	loop	0
	delay	5
	offset	79 91
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Bison/cttack1.gif
	offset	78 93
	frame	data/Chars/Bison/cttack2.gif
	attack	39 11 140 40 8 0 0 0 24 15
	offset	78 96
	frame	data/Chars/Bison/cttack3.gif
	offset	75 95
	frame	data/Chars/Bison/cttack4.gif
	frame	data/Chars/Bison/cttack5.gif
		
anim	attack4
	sound	data/Chars/Bison/final.wav
	cancel	0 5 1 A2 freespecial
	cancel	0 5 1 A3 freespecial2
	cancel	0 5 1 A4 freespecial3
	bbox	43 3 52 86
	loop	0
	delay	5
	offset	61 84
	hitflash	Bisone
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Bison/dttack1.gif
	blast	91 1 64 115 16 1 0 0 24 15
	bbox	60 34 47 82
	offset	73 116
	frame	data/Chars/Bison/dttack2.gif
	blast	92 3 58 114 16 1 0 0 24 15
	offset	78 113
	frame	data/Chars/Bison/dttack3.gif
		
anim	fall
	loop	0
	offset	82 113
	delay	25
	frame	data/Chars/Bison/fall.gif
	offset	86 46
	frame	data/Chars/Bison/fall2.gif
	offset	58 50
	frame	data/Chars/Bison/fall3.gif
		
anim	freespecial
	sound	data/Chars/Bison/elec.wav
	bbox	21 14 101 21
	blast	107 1 98 44 16 0 0 0 24 15
	loop	0
	offset	106 81
	delay	6
	hitfx	data/sounds/bukk.wav
	@cmd	leaper 8 0 0
	hitflash	electo
	frame	data/Chars/Bison/anew1.gif
	delay	1
	frame	data/Chars/Bison/anew5.gif
	delay	6
	offset	98 94
	blast	120 4 94 62 16 0 0 0 24 15
	bbox	14 25 125 16
	frame	data/Chars/Bison/anew2.gif
	delay	1
	frame	data/Chars/Bison/anew6.gif
	delay	6
	blast	116 2 93 41 16 0 0 0 24 15
	bbox	29 13 100 6
	offset	107 64
	frame	data/Chars/Bison/anew3.gif
	delay	1
	frame	data/Chars/Bison/anew7.gif
	delay	6
	offset	105 84
	blast	103 3 109 62 16 0 0 0 24 15
	bbox	10 18 123 24
	frame	data/Chars/Bison/anew4.gif
	delay	1
	frame	data/Chars/Bison/anew8.gif
		
anim	freespecial2
	sound	data/Chars/Bison/b2.wav
	blast	141 8 94 86 16 0 0 0 24 15
	dropv	1 6 0
	bbox	68 43 104 22
	loop	0
	offset	144 103
	delay	6
	hitfx	data/sounds/bukk.wav
	hitflash	electo
	@cmd	leaper 9 0 0
	frame	data/Chars/Bison/bnew1.gif
	blast	184 21 84 121 16 0 0 0 24 15
	dropv	1 6 0
	bbox	105 63 105 22
	offset	171 141
	frame	data/Chars/Bison/bnew2.gif
	blast	122 1 114 77 16 0 0 0 24 15
	dropv	1 6 0
	bbox	31 24 123 25
	offset	126 86
	frame	data/Chars/Bison/bnew3.gif
	blast	168 5 128 111 16 0 0 0 24 15
	dropv	1 6 0
	bbox	86 45 109 32
	offset	180 110
	frame	data/Chars/Bison/bnew4.gif
	blast	158 5 98 52 16 0 0 0 24 15
	dropv	1 6 0
	bbox	60 20 126 21
	offset	152 84
	frame	data/Chars/Bison/bnew5.gif
	blast	142 6 116 97 16 0 0 0 24 15
	dropv	1 6 0
	bbox	49 43 138 26
	offset	145 112
	frame	data/Chars/Bison/bnew6.gif
	blast	169 10 117 128 16 0 0 0 24 15
	dropv	1 6 0
	bbox	82 59 139 24
	offset	185 117
	frame	data/Chars/Bison/bnew7.gif
	blast	155 8 137 90 16 0 0 0 24 15
	dropv	1 6 0
	bbox	82 40 132 23
	offset	180 103
	frame	data/Chars/Bison/bnew8.gif
		
anim	freespecial3
	sound	data/Chars/Bison/haha.wav
	offset	39 111
	delay	5
	@cmd	spawn01 "super" 0 64 0
	frame	data/Chars/Bison/sel1.gif
	delay	1
	@cmd	spawn01 "flash3" 0 0 -1
	sound	data/Chars/Bison/1.wav
	frame	data/Chars/Bison/cnew1.gif
	blast	131 4 131 95 16 0 0 0 44 15
	dropv	1 7 0
	bbox	87 40 121 21
	loop	0
	offset	143 107
	delay	6
	hitflash	booma
	hitfx	data/sounds/bukk.wav
	@cmd	leaper 7 0 0
	frame	data/Chars/Bison/cnew1.gif
	sound	data/Chars/Bison/2.wav
