name	dollar
health	0
score		500
type		item
shadow	0
nolife	1

anim idle
	loop	1
	delay	100
	 offset     238 177
	bbox	223 165 32 16
	frame	data/chars/misc/money/dollar01.gif
      delay   4
	frame	data/chars/misc/money/dollar02.gif
	frame	data/chars/misc/money/dollar01.gif
	frame	data/chars/misc/money/dollar02.gif
	frame	data/chars/misc/money/dollar01.gif
	frame	data/chars/misc/money/dollar02.gif
	frame	data/chars/misc/money/dollar01.gif
	frame	data/chars/misc/money/dollar02.gif
	frame	data/chars/misc/money/dollar01.gif
	frame	data/chars/misc/money/dollar02.gif
	frame	data/chars/misc/money/dollar01.gif
