name	jewel
health	0
score		700
type		item
shadow	0
nolife	1

anim idle
	loop	1
	delay	100
	 offset     238 177
	bbox	223 165 32 16
	frame	data/chars/misc/money/jewel01.gif
      delay   4
	frame	data/chars/misc/money/jewel02.gif
	frame	data/chars/misc/money/jewel01.gif
	frame	data/chars/misc/money/jewel02.gif
	frame	data/chars/misc/money/jewel01.gif
	frame	data/chars/misc/money/jewel02.gif
	frame	data/chars/misc/money/jewel01.gif
	frame	data/chars/misc/money/jewel02.gif
	frame	data/chars/misc/money/jewel01.gif
	frame	data/chars/misc/money/jewel02.gif
	frame	data/chars/misc/money/jewel01.gif
