name	shin
health	450
speed	15
type	enemy
shadow  1
gfxshadow  1
nolife 1
risetime 400
aimove chase
aimove wander
aggression 80
hostile player
escapehits 2
lifebarstatus 300 10 1 0 0 0 0 0 0
lifeposition 88 254 
iconposition 60 242
nameposition 218 256
icon	data/chars/shin/icon.png
diesound data/sounds/shin/yuriaa.wav
subject_to_screen 1







anim	attack1
	sound	data/sounds/shin/punch000.wav
	loop	0
	delay	5
	offset	38 110
	range	15 60
	followanim	1
	followcond	3
	bbox	7 2 45 119
	frame	data/chars/shin/punch000.png
	sound	data/sounds/shin/hua.wav
	offset	31 115
	bbox	3 1 51 116
	frame	data/chars/shin/punch001.png
	offset	31 110
	attack	50 8 58 39 8 0 0 0 0 0
	bbox	3 1 51 116
	frame	data/chars/shin/punch002.png
		
anim	attack2
	sound	data/sounds/shin/kick.wav
	range	0 80
	loop	0
	delay	7
	offset	31 115
	bbox	10 -9 43 108
	frame	data/chars/shin/kick0.png
	offset	31 117
	bbox	10 -9 43 108
	frame	data/chars/shin/kick1.png
	offset	28 115
	bbox	10 -9 43 108
	frame	data/chars/shin/kick2.png
	offset	58 115
	attack	55 13 81 57 10 0 0 0 0 0
	frame	data/chars/shin/kick3.png
	offset	43 115
	bbox	14 7 43 108
	frame	data/chars/shin/kick4.png
		
anim	attack3
	sound	data/sounds/shu/fuu.wav
	loop	0
	delay	4
	offset	31 109
	bbox	15 0 51 81
	frame	data/chars/shin/spunch1.png
	offset	31 109
	bbox	15 0 51 81
	frame	data/chars/shin/spunch2.png
	offset	31 112
	bbox	15 0 51 81
	frame	data/chars/shin/spunch3.png
	delay	12
	blast	62 3 88 66 24 1 0 0 2 0
	offset	28 101
	bbox	40 0 38 96
	frame	data/chars/shin/spunch4.png
		
anim	fall
	loop	0
	offset	45 101
	delay	20
	frame	data/chars/shin/fall00.png
	offset	53 77
	frame	data/chars/shin/fall01.png
	offset	53 67
	frame	data/chars/shin/fall02.png
	offset	53 20
	frame	data/chars/shin/fall03.png
		
anim	follow1
	sound	data/sounds/shu/fuuu.wav
	loop	0
	range	15 90
	delay	4
	offset	31 109
	frame	data/chars/shin/spunch1.png
	sound	data/sounds/shin/punchshin.wav
	offset	31 109
	bbox	15 0 51 81
	frame	data/chars/shin/spunch2.png
	offset	31 112
	bbox	15 0 51 81
	frame	data/chars/shin/spunch3.png
	delay	12
	blast	66 3 85 68 24 1 0 0 2 0
	offset	28 101
	frame	data/chars/shin/spunch4.png
		
anim	freespecial2
	sound	data/sounds/shin/goketoken.wav
	loop	0
	delay	8
	offset	43 134
	bbox	17 0 46 81
	frame	data/chars/shin/sp0.png
	blast	-14 -12 156 86 60 0 1 0 0 2
	sound	data/sounds/Kenshiro/spec1.wav
	delay	20
	offset	58 124
	move	80
	bbox	27 -1 44 56
	frame	data/chars/shin/sp1.png
	delay	6
	move	30
	offset	58 124
	blast	-13 -12 156 86 60 0 0 0 0 0
	bbox	27 -1 44 56
	frame	data/chars/shin/sp1.png
		
anim	freespecial3
	loop	0
	delay	8
	offset	31 92
	bbox	22 0 46 81
	sound	data/sounds/shin/shine.wav
	frame	data/chars/shin/spec0.png
	sound	data/sounds/toki/spec1.wav
	offset	38 92
	bbox	53 -1 44 83
	frame	data/chars/shin/spec1.png
	blast	6 0 154 50 10 0 0 0 0 0
	delay	6
	offset	26 95
	bbox	54 0 36 80
	move	50
	frame	data/chars/shin/spec2.png
	offset	34 95
	blast	6 0 154 50 15 0 0 0 0 0
	bbox	61 0 34 80
	frame	data/chars/shin/spec3.png
	offset	30 95
	blast	6 0 154 50 15 0 0 0 0 0
	bbox	56 0 34 80
	frame	data/chars/shin/spec4.png
		
anim	freespecial9
	sound	data/sounds/Kenshiro/super.wav
	loop	0
	delay	7
	bbox	28 8 31 70
	offset	31 102
	frame	data/chars/shin/fire0.png
	delay	7
	sound	data/sounds/shin/multi.wav
	offset	31 108
	frame	data/chars/shin/fire1.png
	bbox	34 13 31 70
	offset	31 106
	attack	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/shin/fire2.png
	bbox	34 6 31 70
	offset	31 108
