name	    		Ryu
type	    		player
health	    		100
mp          		100
nolife				1
hostile				enemy
candamage			enemy player obstacle
speed	    		11
jumpspeed	    	10
jumpheight   		3.3
#jumpmove 			3
turndelay 			12
mprate				3
grabdistance		20
grabfinish			1
grabback			0
antigravity 		10
bounce				1
noquake     		1
shadow	    		3
diesound    		data/chars/ryu/ryu05.wav
flash 				flash
bflash 				guard
dust    			dust01
toflip				1
nodieblink			1
makeinv     		5 0 
falldie 			2
riseinv 			1 1
atchain     		1 1 2 3
jugglepoints		15
animationscript		data/scripts/player.c

load				hado2
load				hado3

com  d f a  		freespecial2
com  d u a  		freespecial3
com  f f a  		freespecial4
com  d f d f a  	freespecial5

icon	      		data/chars/ryu/icon.gif 1
icondie     		data/chars/ryu/icond.gif 1

parrow		data/chars/misc/parrow/01.gif -215 -185
parrow2		data/chars/misc/parrow/02.gif -215 -185
parrow3		data/chars/misc/parrow/03.gif -215 -185
parrow4		data/chars/misc/parrow/04.gif -215 -185

palette 			data/chars/ryu/pal/pal01.gif #1
alternatepal		data/chars/ryu/pal/pal02.gif #2
alternatepal		data/chars/ryu/pal/pal03.gif #3
alternatepal		data/chars/ryu/pal/pal04.gif #4
alternatepal		data/chars/ryu/pal/pal05.gif #5
alternatepal		data/chars/ryu/pal/pal06.gif #6
alternatepal		data/chars/ryu/pal/pal07.gif #7
alternatepal		data/chars/ryu/pal/pal08.gif #8
alternatepal		data/chars/ryu/pal/pal09.gif #9
alternatepal		data/chars/ryu/pal/pal10.gif #10

#	weapons     fighter1 fighter2 fighter3

#-------Select screen!

anim waiting
	 loop       1
	 offset     1 1
	 delay      4
       frame      data/chars/ryu/sel01.gif
       frame      data/chars/ryu/sel02.gif

anim select
	 loop       0
	 offset     1 1

	 sound   	data/sounds/choose.wav
	 delay      2
       frame      data/chars/ryu/sel03.gif
	 sound   	data/sounds/punch.wav
	 delay      8
       frame      data/chars/ryu/sel04.gif
	 delay      4
       frame      data/chars/ryu/sel03.gif

	 sound   	data/sounds/punch.wav
	 delay      8
       frame      data/chars/ryu/sel04.gif
	 delay      4
       frame      data/chars/ryu/sel03.gif

       frame      data/chars/ryu/sel05.gif
	 delay      10
	 sound   	data/sounds/punch.wav
       frame      data/chars/ryu/sel06.gif
	 delay      4
       frame      data/chars/ryu/sel07.gif

       frame      data/chars/ryu/sel10.gif
	 delay      10
	 sound   	data/sounds/punch.wav
       frame      data/chars/ryu/sel11.gif
	 delay      4
       frame      data/chars/ryu/sel12.gif

	 sound   	data/chars/ryu/ryu01.wav
	 delay      6
       frame      data/chars/ryu/sel13.gif
       frame      data/chars/ryu/sel14.gif
	 sound   	data/sounds/punch.wav
	 delay      130
       frame      data/chars/ryu/sel15.gif


#-------Moves

anim spawn
	loop       0
	 offset     238 177
	delay   3
     @cmd setLevel
	frame	data/chars/ryu/idle01.gif
	frame	data/chars/ryu/idle01.gif
	frame	data/chars/ryu/idle01.gif
	frame	data/chars/ryu/idle01.gif
	frame	data/chars/ryu/idle01.gif
	frame	data/chars/ryu/idle01.gif
	frame	data/chars/ryu/idle01.gif
	frame	data/chars/ryu/idle01.gif
	frame	data/chars/ryu/idle01.gif
	frame	data/chars/ryu/idle01.gif

anim idle
	 loop       1
	 offset     238 177
	 bbox		226 102 23 76
	 delay      8
       frame      data/chars/ryu/idle01.gif

anim walk
	 loop       1
	 offset     238 177
	 bbox		226 102 23 76
	 delay      10
       frame      data/chars/ryu/walk01.gif
       frame      data/chars/ryu/walk02.gif
       frame      data/chars/ryu/walk03.gif
       frame      data/chars/ryu/walk04.gif
       frame      data/chars/ryu/walk05.gif

anim get
	 loop       0
	 offset     238 177
	 delay      30
       frame      data/chars/ryu/get01.gif

anim attack1
	jugglecost 	2
