name	HAUZER
health	500
mp 80
mprate 10
speed	12
type	enemy
hostile Player npc
Candamage  Player  NPC
aimove chase
nodrop	1
jugglepoints 2

icon     data/chars/Hauzer/Icon.gif 1




running 22	3.9	2.80	1	1
makeinv  4
riseinv  1
gfxshadow 1
grabdistance 26
escapehits 5




#weapons    MANIC_ MANIC__ MANIC___

palette       data/chars/Hauzer/H_0-0.gif


#alternatepal  data/chars/Venom/Pal.gif
#alternatepal  data/chars/Venom/Pal3.gif
#alternatepal  data/chars/Venom/Pal4.gif
#alternatepal  data/chars/Venom/Pal5.gif
#alternatepal  data/chars/Venom/Pald.pcx



com a2 Freespecial
com a3 Freespecial2
com a4 Freespecial3
jumpmove  3  2
#atchain 1 1 1 0
animationscript data/scripts/script.c
#animationscript data/scripts/spawnm.c











anim	attack1
	loop	0
	delay	6
	fastattack	1
	offset	253 430
	bbox.position.x 183
	bbox.position.y 294
	bbox.size.x 112
	bbox.size.y 137
	range 50 120
jugglecost 1
 frame data/chars/Hauzer/H_220-0.GIF
	bbox.position.x 213
	bbox.position.y 302
	bbox.size.x 113
	bbox.size.y 128
 frame data/chars/Hauzer/H_220-1.GIF
	bbox.position.x 193
	bbox.position.y 322
	bbox.size.x 177
	bbox.size.y 111
 frame data/chars/Hauzer/H_220-2.GIF
	attack.damage.force 20
	attack.damage.type 2
	attack.position.x 309
	attack.position.y 347
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 4.0
	attack.reaction.fall.velocity.y 2.0
	attack.size.x 137
	attack.size.y 104
	attack.size.z.1 20
	bbox.position.x 245
	bbox.position.y 294
	bbox.size.x 156
	bbox.size.y 134
 frame data/chars/Hauzer/H_220-3.GIF
	attack.damage.force 20
	attack.damage.type 2
	attack.position.x 251
	attack.position.y 331
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 4.0
	attack.reaction.fall.velocity.y 2.0
	attack.size.x 284
	attack.size.y 117
	attack.size.z.1 20
	bbox.position.x 174
	bbox.position.y 329
	bbox.size.x 235
	bbox.size.y 104
	delay	3
 frame data/chars/Hauzer/H_220-4.GIF
 frame data/chars/Hauzer/H_220-5.GIF
	delay	6
	attack.damage.force 20
	attack.damage.type 2
	attack.position.x 252
	attack.position.y 334
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 4.0
	attack.reaction.fall.velocity.y 2.0
	attack.size.x 186
	attack.size.y 112
	attack.size.z.1 20
	bbox.position.x 156
	bbox.position.y 337
	bbox.size.x 264
	bbox.size.y 92
 frame data/chars/Hauzer/H_220-6.GIF
	attack.damage.force 0
	attack.damage.type 0
	attack.position.x 0
	attack.position.y 0
	attack.size.x 0
	attack.size.y 0
	attack.size.z.1 0
	bbox.position.x 200
	bbox.position.y 312
	bbox.size.x 141
	bbox.size.y 117
 frame data/chars/Hauzer/H_220-7.GIF
	bbox.position.x 214
	bbox.position.y 314
	bbox.size.x 140
	bbox.size.y 117
 frame data/chars/Hauzer/H_220-8.GIF
	bbox.position.x 151
	bbox.position.y 294
	bbox.size.x 188
	bbox.size.y 135
 frame data/chars/Hauzer/H_220-9.GIF
	bbox.position.x 141
	bbox.position.y 285
	bbox.size.x 178
	bbox.size.y 146
 frame data/chars/Hauzer/H_220-10.GIF

anim	fall
	loop	0
	delay	10
	quakeframe	0 3 4
	Landframe	5
	offset	253 430
	bbox.position.x 138
	bbox.position.y 289
	bbox.size.x 209
	bbox.size.y 140
	frame	data/chars/Hauzer/H_5010-0.GIF
	offset	243 438
	bbox.position.x 171
	bbox.position.y 300
	bbox.size.x 142
	bbox.size.y 139
	frame	data/chars/Hauzer/H_5035-1.GIF
	bbox.position.x 154
	bbox.position.y 283
	bbox.size.x 189
	bbox.size.y 154
	frame	data/chars/Hauzer/H_5060-101.GIF
	bbox.position.x 118
	bbox.position.y 285
	bbox.size.x 225
	bbox.size.y 151
	frame	data/chars/Hauzer/H_5030-10.GIF
	offset	243 438
	delay	200
	bbox.position.x 108
	bbox.position.y 323
	bbox.size.x 236
	bbox.size.y 103
	frame	data/chars/Hauzer/H_5030-30.GIF
	delay	6
	Attack1	0
	offset	253 439
	bbox.position.x 0
	bbox.position.y 0
	bbox.size.x 0
	bbox.size.y 0
	frame	data/chars/Hauzer/H_5040-2.GIF
	offset	261 508
	frame	data/chars/Hauzer/H_5031-30.GIF
	offset	253 439
	frame	data/chars/Hauzer/H_5040-0.GIF
	frame	data/chars/Hauzer/H_5040-10.GIF

anim	freespecial
	loop	0
	delay	3
	fastattack	1
	offset	253 430
	bbox.position.x 146
	bbox.position.y 298
	bbox.size.x 195
	bbox.size.y 130
	range 100 160
	Move 11
jugglecost 1
 frame data/chars/Hauzer/H_200-0.GIF
 frame data/chars/Hauzer/H_200-0.GIF
	bbox.position.x 133
	bbox.position.y 328
	bbox.size.x 220
	bbox.size.y 104
	attack.damage.force 20
	attack.damage.type 2
