name				Elf2
type				npc
hostile				enemy obstacle
candamage			enemy obstacle
health				100
mp					100
speed				11
shadow				0
aironly				1
noquake				1
#dust				dust01
flash				flash01
noatflash			1
bflash				guard01
cantgrab			1
notgrab				1
jumpheight			2
antigravity			55
turndelay			12
jumpmove			3
nodieblink			1
makeinv				1	0
falldie				2
riseinv				1	1
jugglepoints		15
nolife				1
subject_to_screen	1
atchain				1 1 1
#combostyle 			1
lifespan			6
aggression			500
globalmap 			0

#	weapons     elf1 elf2 elf3

icon	    data/chars/elf/icon.gif 1
icondie     data/chars/elf/icond.gif 1
#diesound    data/sounds/die01.wav

palette 			data/chars/elf/alter04.gif #1
alternatepal		data/chars/elf/alter04.gif #1

remap	data/chars/elf/alter04.gif   data/chars/elf/alter04.gif
remap	data/chars/elf/alter04.gif   data/chars/elf/alter04.gif
remap	data/chars/elf/alter04.gif   data/chars/elf/alter04.gif

#-------Moves

anim spawn
	 loop       0
	 offset     225 198
	bbox	0 0 0 0
	 delay      10
	 frame	data/chars/elf/sp02.gif
	 delay      86
	 frame	data/chars/elf/frsp201.gif

anim idle
	loop	1
	delay	4
	 offset     225 198
	bbox	0 0 0 0
	frame	data/chars/elf/idle00.gif
	frame	data/chars/misc/empty.gif

anim walk
	loop	1
	delay	4
	 offset     225 198
	bbox	0 0 0 0
	frame	data/chars/elf/wk00.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/elf/wk01.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/elf/wk02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/elf/wk03.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/elf/wk04.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/elf/wk05.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/elf/wk06.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/elf/wk07.gif
	frame	data/chars/misc/empty.gif

anim get
	loop	0
	 offset     225 198
	bbox	0 0 0 0
	delay   20
	frame	data/chars/elf/rise02.gif

anim attack1
	range		0 300
	load		arr05
	custknife	arr05
	throwframe	2
	loop	0
	offset     225 198
	bbox	0 0 0 0
	hitfx   data/sounds/hit01.wav
	delay	4
	frame	data/chars/elf/a103.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/elf/a101.gif
	frame	data/chars/misc/empty.gif
	sound   data/sounds/slash03.wav
	frame	data/chars/elf/a102.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/elf/a102.gif
	frame	data/chars/misc/empty.gif


#----------------------------------------ATTACK 1----------------------------------------;

anim pain1
	loop	0
	delay	4
	 offset     225 198
	bbox	0 0 0 0
	frame	data/chars/misc/empty.gif
		
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
	
	

anim fall1
	loop	0
	delay	4
	 offset     225 198
	bbox	0 0 0 0
	frame	data/chars/misc/empty.gif
		
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
	
	

anim rise1
	loop	0
	delay	4
	 offset     225 198
	bbox	0 0 0 0
	frame	data/chars/misc/empty.gif
		
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
	
	

anim death1
	loop	0
	delay	4
	 offset     225 198
	bbox	0 0 0 0
	frame	data/chars/misc/empty.gif
		
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
	
	

#----------------------------------------ATTACK 1----------------------------------------;










