name	DragaFire
type	None
shadow	0
nolife  1
remove  0
Speed   16
Nomove 1
alpha 4
candamage player obstacle


anim idle
	loop	1
	delay	5
	offset	186 480
	fastattack 1
        hitflash Flash2
	attack.damage.force 30
	attack.damage.type 1
	attack.effect.hit.flash.model Flash2
	attack.position.x 246
	attack.position.y 418
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 5.0
	attack.reaction.fall.velocity.y 2.0
	attack.size.x 51
	attack.size.y 82
	attack.size.z.1 30
	frame	data/chars/draga/H_2050-0.gif
	attack.damage.force 30
	attack.damage.type 1
	attack.effect.hit.flash.model Flash2
	attack.position.x 245
	attack.position.y 382
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 5.0
	attack.reaction.fall.velocity.y 2.0
	attack.size.x 156
	attack.size.y 118
	attack.size.z.1 30
	frame	data/chars/draga/H_2050-1.gif
	attack.damage.force 30
	attack.damage.type 1
	attack.effect.hit.flash.model Flash2
	attack.position.x 246
	attack.position.y 365
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 5.0
	attack.reaction.fall.velocity.y 2.0
	attack.size.x 262
	attack.size.y 134
	attack.size.z.1 30
	frame	data/chars/draga/H_2050-2.gif
	attack.damage.force 30
	attack.damage.type 1
	attack.effect.hit.flash.model Flash2
	attack.position.x 247
	attack.position.y 366
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 5.0
	attack.reaction.fall.velocity.y 2.0
	attack.size.x 316
	attack.size.y 132
	attack.size.z.1 30
	frame	data/chars/draga/H_2050-3.gif
	attack.damage.force 30
	attack.damage.type 1
	attack.effect.hit.flash.model Flash2
	attack.position.x 247
	attack.position.y 364
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 5.0
	attack.reaction.fall.velocity.y 2.0
	attack.size.x 411
	attack.size.y 134
	attack.size.z.1 30
	frame	data/chars/draga/H_2050-4.gif
	attack.damage.force 30
	attack.damage.type 1
	attack.effect.hit.flash.model Flash2
	attack.position.x 247
	attack.position.y 363
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 5.0
	attack.reaction.fall.velocity.y 2.0
	attack.size.x 409
	attack.size.y 137
	attack.size.z.1 30
	frame	data/chars/draga/H_2050-5.gif
	frame	data/chars/draga/H_2050-6.gif
	frame	data/chars/draga/H_2050-7.gif
	attack.damage.force 30
	attack.damage.type 1
	attack.effect.hit.flash.model Flash2
	attack.position.x 247
	attack.position.y 363
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 5.0
	attack.reaction.fall.velocity.y 2.0
	attack.size.x 395
	attack.size.y 136
	attack.size.z.1 30
	frame	data/chars/draga/H_2050-8.gif
	frame	data/chars/draga/H_2050-9.gif
	attack.damage.force 30
	attack.damage.type 1
	attack.effect.hit.flash.model Flash2
	attack.position.x 247
	attack.position.y 363
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 5.0
	attack.reaction.fall.velocity.y 2.0
	attack.size.x 409
	attack.size.y 137
	attack.size.z.1 30
	frame	data/chars/draga/H_2050-7.gif
	attack.damage.force 30
	attack.damage.type 1
	attack.effect.hit.flash.model Flash2
	attack.position.x 247
	attack.position.y 363
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 5.0
	attack.reaction.fall.velocity.y 2.0
	attack.size.x 395
	attack.size.y 136
	attack.size.z.1 30
	frame	data/chars/draga/H_2050-8.gif
	frame	data/chars/draga/H_2050-9.gif
	attack.damage.force 30
	attack.damage.type 1
	attack.effect.hit.flash.model Flash2
	attack.position.x 246
	attack.position.y 362
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 5.0
	attack.reaction.fall.velocity.y 2.0
	attack.size.x 387
	attack.size.y 136
	attack.size.z.1 30
	frame	data/chars/draga/H_2050-10.gif
	attack.damage.force 0
	attack.damage.type 0
	attack.position.x 0
	attack.position.y 0
	attack.size.x 0
	attack.size.y 0
	attack.size.z.1 0
	frame	data/chars/draga/H_2050-11.gif
	frame	data/chars/draga/H_2050-12.gif
@cmd killentity getlocalvar("self")
	frame	data/chars/draga/H_2050-12.gif
	
