
name	Buggy
health	500
speed	20
type	enemy
shadow	0
atchain  1 2 1 3
icon	data/chars/Buggy/icon.gif
diesound data/chars/Buggy/down.wav
riseinv 2 0
blockodds 1
cantgrab  1
candamage player npc obstacle
hostile npc player
load throw
load cabaji
subject_to_screen 1

takedamagescript data/scripts/enemyhit.c

anim	attack1
	loop	0
	delay	7
	offset	38 77
	bbox	38 27 19 40
	sound	data/chars/Buggy/cut.wav
	frame	data/chars/Buggy/cut01.gif
	frame	data/chars/Buggy/cut02.gif
	attack	80 35 19 17 30
	frame	data/chars/Buggy/cut03.gif
	frame	data/chars/Buggy/cut04.gif
	attack	89 34 20 17 30
	frame	data/chars/Buggy/cut05.gif
	attack	111 34 20 17
	frame	data/chars/Buggy/cut06.gif
	frame	data/chars/Buggy/cut05.gif
	frame	data/chars/Buggy/cut04.gif
		
anim	attack2
	loop	0
	delay	7
	offset	49 78
	bbox	38 27 19 40
	sound	data/chars/Buggy/senbei.wav
	frame	data/chars/Buggy/senbei01.gif
	frame	data/chars/Buggy/senbei02.gif
	frame	data/chars/Buggy/senbei03.gif
	blast	45 34 63 48 40
	frame	data/chars/Buggy/senbei04.gif
	blast	73 32 59 49 40
	frame	data/chars/Buggy/senbei05.gif
	blast	108 33 61 48 40
	frame	data/chars/Buggy/senbei06.gif
	blast	77 32 60 49 40
	frame	data/chars/Buggy/senbei07.gif
	blast	44 34 63 48 40
	frame	data/chars/Buggy/senbei08.gif
	blast	19 32 59 49 40
	frame	data/chars/Buggy/senbei09.gif
	frame	data/chars/Buggy/rise01.gif
	frame	data/chars/Buggy/rise02.gif
	frame	data/chars/Buggy/rise02.gif
	frame	data/chars/Buggy/rise03.gif
		
anim	block
	loop	0
	delay	10
	offset	38 77
	spawnframe	3 25 0 0 0
	subentity	Pirate
	subentity	Throw
	sound	data/chars/Buggy/escape.wav
	frame	data/chars/Buggy/escape01.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape03.gif
	frame	data/chars/Buggy/escape04.gif
	frame	data/chars/Buggy/escape03.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape01.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape03.gif
	frame	data/chars/Buggy/escape04.gif
	frame	data/chars/Buggy/escape03.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape01.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape03.gif
	frame	data/chars/Buggy/escape04.gif
	frame	data/chars/Buggy/escape03.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape01.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape03.gif
	frame	data/chars/Buggy/escape04.gif
	frame	data/chars/Buggy/escape05.gif
	delay	7
	frame	data/chars/Buggy/rise01.gif
	frame	data/chars/Buggy/rise02.gif
	frame	data/chars/Buggy/rise03.gif
		
anim	fall
	loop	0
	offset	38 77
	delay	20
	sound	data/chars/Buggy/down.wav
	frame	data/chars/Buggy/fall01.gif
	frame	data/chars/Buggy/fall02.gif
		
anim	freespecial
	loop	0
	delay	7
	offset	93 121
	sound	data/chars/Buggy/fes.wav
	frame	data/chars/Buggy/fes01.gif
	frame	data/chars/Buggy/fes02.gif
	frame	data/chars/Buggy/fes03.gif
	frame	data/chars/Buggy/fes04.gif
	frame	data/chars/Buggy/fes05.gif
	loop	0
	delay	5
	attack	23 23 133 100 50
	frame	data/chars/Buggy/fes03.gif
	attack	23 23 133 100 50
	frame	data/chars/Buggy/fes04.gif
	attack	23 23 133 100 50
	frame	data/chars/Buggy/fes05.gif
	attack	23 23 133 100 50
	frame	data/chars/Buggy/fes03.gif
	attack	23 23 133 100 50
	frame	data/chars/Buggy/fes04.gif
	attack	23 23 133 100 50
	frame	data/chars/Buggy/fes05.gif
	attack	23 23 133 100 50
	frame	data/chars/Buggy/fes03.gif
	attack	23 23 133 100 50
	frame	data/chars/Buggy/fes04.gif
	attack	23 23 133 100 50
	frame	data/chars/Buggy/fes05.gif
	attack	23 23 133 100 50
	frame	data/chars/Buggy/fes03.gif
	attack	23 23 133 100 50
	frame	data/chars/Buggy/fes04.gif
	attack	23 23 133 100 50
	frame	data/chars/Buggy/fes05.gif
		
anim	freespecial2
	loop	0
	delay	7
	offset	38 77
	summonframe	3 20 0 0 0
	custentity	Cabaji
	sound	data/chars/Buggy/cabaji.wav
	frame	data/chars/Buggy/rise01.gif
	frame	data/chars/Buggy/rise02.gif
	frame	data/chars/Buggy/rise02.gif
	frame	data/chars/Buggy/rise03.gif
		
anim	freespecial3
	loop	0
	delay	10
	offset	38 77
	spawnframe	3 25 0 0 0
	custentity	Throw
	spawnframe	6 25 0 0 0
	subentity	Pirate
	sound	data/chars/Buggy/escape.wav
	frame	data/chars/Buggy/escape01.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape03.gif
	frame	data/chars/Buggy/escape04.gif
	frame	data/chars/Buggy/escape03.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape01.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape03.gif
	frame	data/chars/Buggy/escape04.gif
	frame	data/chars/Buggy/escape03.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape01.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape03.gif
	frame	data/chars/Buggy/escape04.gif
	frame	data/chars/Buggy/escape03.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape01.gif
	frame	data/chars/Buggy/escape02.gif
	frame	data/chars/Buggy/escape03.gif
