name	     Firebrandb
type	     none
shadow	     0
candamage   enemy obstacle
lifespan    2
antigravity 100
flash       kenc

anim	idle
	move	35
	attack	6 6 91 75 12 1 1 0 24 15
	bbox	0 0 0 0
	loop	1
	delay	3
	offset	91 42
	frame	data/chars/Firebrand/b1.gif
	offset	109 42
	frame	data/chars/Firebrand/b2.gif
	offset	139 40
	frame	data/chars/Firebrand/b3.gif
	offset	108 42
	frame	data/chars/Firebrand/b4.gif
	offset	112 49
	frame	data/chars/Firebrand/b5.gif
	offset	118 39
	frame	data/chars/Firebrand/b6.gif
		
#|edited by openBor Stats v 0.51
		
