name	     Firebranda
type	     none
shadow	     0
candamage   enemy obstacle
antigravity 100
lifespan    2

anim	idle
	move	45
	attack	2 7 94 76 12 1 1 0 24 15
	loop	1
	delay	3
	offset	91 42
	frame	data/chars/Firebrand/a1.gif
	offset	88 42
	frame	data/chars/Firebrand/a2.gif
	offset	139 39
	frame	data/chars/Firebrand/a3.gif
	offset	109 42
	frame	data/chars/Firebrand/a4.gif
	offset	107 48
	frame	data/chars/Firebrand/a5.gif
	offset	118 38
	frame	data/chars/Firebrand/a6.gif
	attack	28 15 123 57 12 1 1 0 24 15
	offset	145 45
	frame	data/chars/Firebrand/a7.gif
		
#|edited by openBor Stats v 0.51
		
