name				hydra2
type				enemy
hostile				player npc
candamage			player npc
score				765 -1
health				196
speed				16
shadow				4
#aironly				1
#noquake			1
dust				dust01
flash				flash21
#noatflash			1
bflash				guard01
cantgrab			1
notgrab				1
jumpheight			2
antigravity			60
blockodds			1
thold				49
nodrop				1
falldie				1
nodieblink			1
facing				2
subject_to_screen	1
aimove				avoid
icon				data/chars/hydra/bicon.gif 1
icondie				data/chars/hydra/bicond.gif 1
diesound			data/sounds/hdr02.wav
nolife				1
takedamagescript	data/scripts/ndamage.c

#-------Boss
nolife				1
lifebarstatus		240 5 1 1 0 -300 -300 -300 -300
lifeposition		119 34 
nameposition		152 49
iconposition		0 0
#-------Boss

palette data/chars/hydra/hydra.gif #1

remap	data/chars/hydra/idle00.gif   data/chars/hydra/alter01.gif
remap	data/chars/hydra/idle00.gif   data/chars/hydra/alter02.gif
remap	data/chars/hydra/idle00.gif   data/chars/hydra/alter03.gif

#-------Moves

anim spawn
	load		bydra
	subentity	bydra
	summonframe	0 410 118 0 1
	jumpframe	0 4 0
	dropframe	1
	landframe	2
	shadowcoords 180 200
	loop	0
	offset	225 198
	bbox	0 0 0 0
	delay	999
	frame	data/chars/misc/empty.gif
	delay	999
	frame	data/chars/hydra/idle00.gif
	delay	12
	frame	data/chars/hydra/a101.gif
	frame	data/chars/hydra/a102.gif
	delay	12
	sound   data/sounds/hdr01.wav
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif

anim idle
	shadowcoords 180 200
	loop	1
	offset	225 198
	bbox	212 117 30 81
	delay	16
	frame	data/chars/hydra/idle00.gif
	frame	data/chars/hydra/idle01.gif
	frame	data/chars/hydra/idle02.gif
	frame	data/chars/hydra/idle03.gif

anim walk
	shadowcoords 180 200
	loop	1
	offset	225 198
	bbox	212 117 30 81
	delay	16
	frame	data/chars/hydra/idle00.gif
	frame	data/chars/hydra/idle01.gif
	frame	data/chars/hydra/idle02.gif
	frame	data/chars/hydra/idle03.gif

anim block
	shadowcoords 180 200
	subentity	dust01
	spawnframe	0 0 0 0 0
	loop	0
	bbox	0 0 0 0
	sound   data/sounds/block01.wav
	offset     225 198
	delay	2
	move	-6
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move	-6
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move	-5
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move	-5
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move	-4
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move	-4
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move	-3
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move	-3
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move	-2
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move	-2
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move	-1
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move	-1
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move	0
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif

anim attack1
	shadowcoords 180 200
	range	0 200
	loop	0
	delay	4
	offset	225 198
	bbox	0 0 0 0
	quakeframe 1 40 3
	hitfx   data/sounds/hit01.wav
	sound   data/sounds/hdr01.wav
	move    4
	delay   2
	attack  152 87 110 112 20 1 0 0 0 15
	dropv 3 3
	frame	data/chars/hydra/a101.gif
	frame	data/chars/hydra/a101.gif
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	move    4
	delay	4
	attack   0 0 0 0 0 0 0 0 0 0
	bbox	212 117 30 81
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	move    3
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	move    2
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move    1
	frame	data/chars/hydra/a101.gif
	frame	data/chars/hydra/a101.gif



anim special2
	shadowcoords 180 200
	range	0 200
	loop	0
	delay	4
	offset	225 198
	bbox	0 0 0 0
	quakeframe 1 40 3
	hitfx   data/sounds/hit01.wav
	sound   data/sounds/hdr01.wav
	move    4
	delay   2
	attack   152 87 110 112 20 1 0 0 0 15
	dropv 3 3
	frame	data/chars/hydra/a101.gif
	frame	data/chars/hydra/a101.gif
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	bbox	212 117 30 81
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	move    4
	delay	4
	attack   0 0 0 0 0 0 0 0 0 0
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	move    3
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	move    2
	frame	data/chars/hydra/a102.gif
	frame	data/chars/hydra/a102.gif
	move    1
	frame	data/chars/hydra/a101.gif
	frame	data/chars/hydra/a101.gif


anim pain
	shadowcoords 180 200
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0
	delay	4
#	jumpframe  0 -2
	offset	225 198
	bbox	0 0 0 0
	move    -8
	frame	data/chars/hydra/pain101.gif
	move    -8
	frame	data/chars/hydra/pain101.gif
	move    -7
	frame	data/chars/hydra/pain102.gif
	move    -7
	frame	data/chars/hydra/pain101.gif
	move    -6
	frame	data/chars/hydra/pain101.gif
	move    -6
	frame	data/chars/hydra/pain102.gif
	move    -5
	frame	data/chars/hydra/pain101.gif
	move    -5
	frame	data/chars/hydra/pain101.gif
	move    -4
	frame	data/chars/hydra/pain102.gif
	move    -4
	frame	data/chars/hydra/pain101.gif
	move    -3
	frame	data/chars/hydra/pain101.gif
	move    -3
	frame	data/chars/hydra/pain102.gif
	move    -2
	frame	data/chars/hydra/pain101.gif
	move    -2
	frame	data/chars/hydra/pain101.gif
	move    -1
	frame	data/chars/hydra/pain102.gif
	move    -1
	frame	data/chars/hydra/pain101.gif

anim fall
	shadowcoords 180 200
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0
	delay	12
	offset	225 198
	bbox	0 0 0 0
	frame	data/chars/hydra/pain101.gif
	frame	data/chars/hydra/pain101.gif
	frame	data/chars/hydra/pain101.gif
	frame	data/chars/hydra/pain101.gif

anim rise
	shadowcoords 180 200
	loop	0
	offset	225 198
	bbox	212 117 30 81
	delay	12
	sound   data/sounds/hdrspawn.wav
	frame	data/chars/hydra/idle00.gif
	delay	6
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif
	frame	data/chars/hydra/a103.gif
	frame	data/chars/hydra/a104.gif

anim death
	unsummonframe	0
	jumpframe	30 4 0
	dropframe	31
	landframe	32
	shadowcoords 180 200
	quakeframe 32 15 10
	loop	0
	delay   4
	offset      225 198
	frame	data/chars/hydra/pain101.gif
	 offset     228 198
	frame	data/chars/hydra/pain101.gif
	 offset     225 198
	frame	data/chars/hydra/pain102.gif
	 offset     228 198
	frame	data/chars/hydra/pain101.gif
	 offset     225 198
	frame	data/chars/hydra/pain101.gif
	 offset     228 198
	frame	data/chars/hydra/pain102.gif
	 offset     225 198
	frame	data/chars/hydra/pain101.gif
	 offset     228 198
	frame	data/chars/hydra/pain101.gif
	 offset     225 198
	frame	data/chars/hydra/pain102.gif
	 offset     228 198
	frame	data/chars/hydra/pain101.gif

	offset      225 198
	frame	data/chars/hydra/pain101.gif
	 offset     228 198
	frame	data/chars/hydra/pain101.gif
	 offset     225 198
	frame	data/chars/hydra/pain102.gif
	 offset     228 198
	frame	data/chars/hydra/pain101.gif
	 offset     225 198
	frame	data/chars/hydra/pain101.gif
	 offset     228 198
	frame	data/chars/hydra/pain102.gif
	 offset     225 198
	frame	data/chars/hydra/pain101.gif
	 offset     228 198
	frame	data/chars/hydra/pain101.gif
	 offset     225 198
	frame	data/chars/hydra/pain102.gif
	 offset     228 198
	frame	data/chars/hydra/pain101.gif

	offset      225 198
	frame	data/chars/hydra/pain101.gif
	 offset     228 198
	frame	data/chars/hydra/pain101.gif
	 offset     225 198
	frame	data/chars/hydra/pain102.gif
	 offset     228 198
	frame	data/chars/hydra/pain101.gif
	 offset     225 198
	frame	data/chars/hydra/pain101.gif
	 offset     228 198
	frame	data/chars/hydra/pain102.gif
	 offset     225 198
	frame	data/chars/hydra/pain101.gif
	 offset     228 198
	frame	data/chars/hydra/pain101.gif
	 offset     225 198
	frame	data/chars/hydra/pain102.gif
	 offset     228 198
	frame	data/chars/hydra/pain101.gif

	delay   999
	frame	data/chars/hydra/pain101.gif
	delay   999
	frame	data/chars/hydra/death01.gif
	sound   data/sounds/fall02.wav
	delay   4
	frame	data/chars/hydra/death02.gif
	frame	data/chars/hydra/death02.gif
	frame	data/chars/hydra/death03.gif
	frame	data/chars/hydra/death02.gif
	frame	data/chars/hydra/death02.gif
	frame	data/chars/hydra/death03.gif
	frame	data/chars/hydra/death02.gif
	frame	data/chars/hydra/death02.gif
	frame	data/chars/hydra/death03.gif
	frame	data/chars/hydra/death03.gif
	frame	data/chars/hydra/death03.gif
	frame	data/chars/hydra/death03.gif
	frame	data/chars/hydra/death03.gif
	frame	data/chars/hydra/death03.gif
	frame	data/chars/hydra/death03.gif
	frame	data/chars/hydra/death03.gif
	frame	data/chars/hydra/death03.gif
	frame	data/chars/hydra/death03.gif
	frame	data/chars/hydra/death03.gif
	frame	data/chars/hydra/death03.gif







