name          Eiji2
type          enemy
subtype	      chase	
health        100
speed         30
jumpheight    4
throw         5 2
throwdamage   18
shadow        0
noquake       1
nolife        1
nodieblink    1
falldie       2
gfxshadow     1
blockodds     1
thold         80
dust          dust
escapehits    15
projectilehit enemy obstacle
diesound      data/sounds/beat6.wav

#load deiji
palette  data/chars/5eiji/alt2.gif

#-------remap
remap       data/chars/5eiji/idle01.gif   data/chars/5eiji/map1.gif  

#-------animations
anim block
	loop       0
	delay      2
	offset     100 191
	bbox       82 106 41 80
	move       -8
        frame      data/chars/5eiji/a402.gif
        frame      data/chars/5eiji/a402.gif
        frame      data/chars/5eiji/a402.gif
        frame      data/chars/5eiji/a402.gif
        frame      data/chars/5eiji/a402.gif
	delay      20
        frame      data/chars/5eiji/a402.gif

anim spawn
	loop       0
	delay      7
	offset     100 191
	bbox       0 0 0 0
	#custentity	deiji
	spawnframe 1 0 272 0 1
	sound      data/sounds/eiji07.wav
        frame      data/chars/0misc1/empty.gif
        frame      data/chars/0misc1/empty.gif
        frame      data/chars/5eiji/tel01.gif
        frame      data/chars/5eiji/tel02.gif
        frame      data/chars/5eiji/tel03.gif
        frame      data/chars/5eiji/tel04.gif
	delay      16
        frame      data/chars/5eiji/ju02.gif

anim idle
	loop       1
	delay      13
	offset     100 191
	bbox       82 106 41 80
        frame      data/chars/5eiji/idle01.gif
	delay      9
        frame      data/chars/5eiji/idle02.gif
        frame      data/chars/5eiji/idle03.gif	
	delay      13
        frame      data/chars/5eiji/idle04.gif
	delay      9
        frame      data/chars/5eiji/idle03.gif
        frame      data/chars/5eiji/idle02.gif

anim walk
	loop       1
	delay      5
	offset     100 191
	bbox       82 106 41 80
	sound      data/sounds/run.wav
        frame      data/chars/5eiji/run01.gif
        frame      data/chars/5eiji/run02.gif
        frame      data/chars/5eiji/run03.gif
	sound      data/sounds/run.wav
        frame      data/chars/5eiji/run04.gif
        frame      data/chars/5eiji/run05.gif
        frame      data/chars/5eiji/run06.gif

anim attack1
	range      52 60
	loop       0
	delay      5
	offset     100 191
	bbox       82 106 41 80
	fastattack 1
        frame      data/chars/5eiji/a101.gif
	delay      7
	attack1    120 107 46 17 7 0 0 0 8
        frame      data/chars/5eiji/a102.gif
	delay      5
	attack1    0
        frame      data/chars/5eiji/a103.gif
	sound      data/sounds/eiji02.wav
        frame      data/chars/5eiji/a301.gif
        frame      data/chars/5eiji/a302.gif
	hitfx      data/sounds/beat2.wav
	attack2    117 115 42 27 7 0 0 0 8
        frame      data/chars/5eiji/a303.gif
	delay      7
        frame      data/chars/5eiji/a304.gif
	delay      5
	attack2    0
        frame      data/chars/5eiji/a302.gif
        frame      data/chars/5eiji/a101.gif
	delay      4
	sound      data/sounds/eiji05.wav
        frame      data/chars/5eiji/ki01.gif
        frame      data/chars/5eiji/ki02.gif
        frame      data/chars/5eiji/ki03.gif
	offset     85 190
	bbox       65 110 62 77
	hitfx      data/sounds/beat4.wav
	attack1    153 85 50 57 12 1 1 0 8
	dropv      3 4 0
        frame      data/chars/5eiji/ki04.gif
        frame      data/chars/5eiji/ki05.gif
        frame      data/chars/5eiji/ki06.gif
	hitfx      data/sounds/beat4.wav
	attack1    153 92 37 41 12 1 1 0 8
	dropv      3 4 0
        frame      data/chars/5eiji/ki07.gif
	hitfx      data/sounds/beat4.wav
	attack1    153 86 74 53 12 1 1 0 8
	dropv      3 4 0
        frame      data/chars/5eiji/ki08.gif
        frame      data/chars/5eiji/ki09.gif
	hitfx      data/sounds/beat4.wav
	attack1    151 100 75 28 12 1 1 0 8
	dropv      3 4 0
        frame      data/chars/5eiji/ki10.gif
        frame      data/chars/5eiji/ki11.gif
	hitfx      data/sounds/beat4.wav
	attack1    150 107 71 14 12 1 1 0 8
	dropv      3 4 0
        frame      data/chars/5eiji/ki12.gif
        frame      data/chars/5eiji/ki13.gif
	attack1    0
        frame      data/chars/5eiji/ki14.gif
	delay      12
	offset     100 191
	bbox       89 100 40 89
        frame      data/chars/5eiji/ki15.gif

anim attack2
	range      155 170
	loop       0
	delay      9
	offset     100 191
	bbox       82 106 41 80
	jumpframe  2 4 2 0
	fastattack 1
	landframe  25
        frame      data/chars/5eiji/ju01.gif
        frame      data/chars/5eiji/ju02.gif
	delay      6
        frame      data/chars/5eiji/ju03.gif
        frame      data/chars/5eiji/ju04.gif
        frame      data/chars/5eiji/ju05.gif
        frame      data/chars/5eiji/ju06.gif
        frame      data/chars/5eiji/ju07.gif
	delay      7
	sound      data/sounds/eiji03.wav
        frame      data/chars/5eiji/air01.gif
	delay      5
        frame      data/chars/5eiji/air02.gif
	hitfx      data/sounds/beat2.wav
	attack1    101 134 61 42 4 0 0 0 8
        frame      data/chars/5eiji/air03.gif
	attack1    0
        frame      data/chars/5eiji/air02.gif
	attack2    101 133 45 56 4 0 0 0 8
        frame      data/chars/5eiji/air04.gif
	attack2    0
        frame      data/chars/5eiji/air02.gif
	hitfx      data/sounds/beat3.wav
	attack1    101 134 61 42 4 0 0 0 8
        frame      data/chars/5eiji/air03.gif
	attack1    0
        frame      data/chars/5eiji/air02.gif
	hitfx      data/sounds/beat2.wav
	attack2    101 133 45 56 4 0 0 0 8
        frame      data/chars/5eiji/air04.gif
	attack2    0
        frame      data/chars/5eiji/air02.gif
	attack1    101 134 61 42 4 0 0 0 8
        frame      data/chars/5eiji/air03.gif
	attack1    0
        frame      data/chars/5eiji/air02.gif
	attack2    101 133 45 56 4 0 0 0 8
        frame      data/chars/5eiji/air04.gif
	attack2    0
