name	disco03
type	panel
speed   10
setlayer 200
alpha   3

anim idle
	 loop      1
	 delay     20
	 offset    0 272
	 frame     data/chars/0misc2/dist10.gif
	 delay     8
	 frame     data/chars/0misc2/dist11.gif
	 frame     data/chars/0misc2/dist12.gif
	 frame     data/chars/0misc2/dist13.gif
	 frame     data/chars/0misc2/dist14.gif
	 delay     20
	 frame     data/chars/0misc2/dist15.gif
	 delay     8
	 frame     data/chars/0misc2/dist14.gif
	 frame     data/chars/0misc2/dist13.gif
	 frame     data/chars/0misc2/dist12.gif
	 frame     data/chars/0misc2/dist11.gif
	 delay     20
	 frame     data/chars/0misc2/dist10.gif
	 delay     8
	 frame     data/chars/0misc2/dist11.gif
	 frame     data/chars/0misc2/dist12.gif
	 frame     data/chars/0misc2/dist13.gif
	 frame     data/chars/0misc2/dist14.gif
	 delay     20
	 frame     data/chars/0misc2/dist15.gif
	 delay     8
	 frame     data/chars/0misc2/dist14.gif
	 frame     data/chars/0misc2/dist13.gif
	 frame     data/chars/0misc2/dist12.gif
	 frame     data/chars/0misc2/dist11.gif





