

name	Krillin
health	100
speed	10
type	player
shadow	2
diesound data/chars/Krillin/die.wav
icon	data/chars/Krillin/icon.gif
running	24 4.1 2 1

remap	data/chars/Krillin/stand00.gif data/chars/Krillin/map1.gif

animationscript data/scripts/spawns.c
com      a2 freespecial
com      a3 freespecial2
com      a4 freespecial3




anim	attack1
	loop	0
	delay	7
	bbox	35 55 17 20
	offset	38 77
	frame	data/chars/Krillin/punch00.gif
	attack	51 58 15 6 8
	frame	data/chars/Krillin/punch01.gif
	frame	data/chars/Krillin/punch02.gif
		
anim	attack2
	loop	0
	loop	0
	offset	38 77
	bbox	35 55 17 20
	delay	7
	frame	data/chars/Krillin/punch03.gif
	frame	data/chars/Krillin/punch04.gif
	frame	data/chars/Krillin/punch05.gif
	attack	54 56 20 9 8
	frame	data/chars/Krillin/punch06.gif
	attack	0
	frame	data/chars/Krillin/punch07.gif
	delay	5
	frame	data/chars/Krillin/jab00.gif
	frame	data/chars/Krillin/jab01.gif
	frame	data/chars/Krillin/jab02.gif
	attack	54 56 20 9 8
	frame	data/chars/Krillin/jab03.gif
	attack	0
	frame	data/chars/Krillin/jab04.gif
	frame	data/chars/Krillin/jab05.gif
		
anim	attack3
	loop	0
	delay	7
	offset	38 77
	bbox	35 55 17 20
	frame	data/chars/Krillin/kick00.gif
	frame	data/chars/Krillin/kick01.gif
	attack	60 52 20 13 10 1
	frame	data/chars/Krillin/kick02.gif
	frame	data/chars/Krillin/kick03.gif
	frame	data/chars/Krillin/kick04.gif
	frame	data/chars/Krillin/kick05.gif
	frame	data/chars/Krillin/kick06.gif
	frame	data/chars/Krillin/punch07.gif
		
anim	fall
	loop	0
	offset	38 77
	delay	20
	attack	36 50 21 16 4 1
	frame	data/chars/Krillin/fall00.gif
	move	-4
	frame	data/chars/Krillin/fall01.gif
	frame	data/chars/Krillin/fall02.gif
	frame	data/chars/Krillin/fall03.gif
	frame	data/chars/Krillin/fall04.gif
		
anim	freespecial
	loop	0
	delay	10
	offset	38 77
	bbox	0 0 0 0
	@cmd	spawnbind "zoomin" 0 0 0
	@cmd	spawnscreen "Screen_wind" 0 0
	frame	data/chars/Krillin/kame00.gif
	frame	data/chars/Krillin/kame01.gif
	frame	data/chars/Krillin/kame02.gif
	frame	data/chars/Krillin/kame03.gif
	frame	data/chars/Krillin/kame04.gif
	frame	data/chars/Krillin/kame03.gif
	frame	data/chars/Krillin/kame05.gif
	@cmd	changeopenborvariant "slowmotion" 1
	delay	3
	frame	data/chars/Krillin/kame03.gif
	frame	data/chars/Krillin/kame04.gif
	frame	data/chars/Krillin/kame03.gif
	frame	data/chars/Krillin/kame05.gif
	@cmd	changeentityproperty getlocalvar("self") "mp" 0
	@cmd	spawnbind "zoomout" 0 0 0
	@cmd	changeopenborvariant "slowmotion" 0
	@cmd	spawnparent "pdust" -10 0 -20
	sound	data/chars/Krillin/wave.wav
	attack	60 42 47 40 15 1
	frame	data/chars/Krillin/kame06.gif
	attack	0 0 0 0 0 0
	delay	5
	attack	60 42 112 40 15 1
	frame	data/chars/Krillin/kame07.gif
	attack	0 0 0 0 0 0
