name			mm
health			1
nolife			1
type			npc
subtype			chase
hostile			enemy obstacle
candamage		enemy obstacle
speed			8
noquake			1
falldie			1
shadow			0
#remove			0
flash			mmhit
bflash			guard01
jugglepoints	15
lifespan		2

palette data/chars/misc/mm/mm.gif #1

anim idle
	jugglecost	5
	range	0 0
	followanim	1
	followcond	1
	loop	1
	offset     240 198
	hitfx   data/sounds/hit01.wav
	attack2  248 114 20 85 5 1 1
	delay	1
	frame	data/chars/misc/mm/01.gif
	frame	data/chars/misc/mm/02.gif
	frame	data/chars/misc/mm/03.gif
	frame	data/chars/misc/mm/04.gif
	frame	data/chars/misc/mm/05.gif
	frame	data/chars/misc/mm/06.gif
	frame	data/chars/misc/mm/07.gif
	frame	data/chars/misc/mm/08.gif
	frame	data/chars/misc/mm/09.gif
	frame	data/chars/misc/mm/10.gif
	frame	data/chars/misc/mm/09.gif
	frame	data/chars/misc/mm/08.gif
	frame	data/chars/misc/mm/07.gif
	frame	data/chars/misc/mm/06.gif
	frame	data/chars/misc/mm/05.gif
	frame	data/chars/misc/mm/04.gif
	frame	data/chars/misc/mm/03.gif
	frame	data/chars/misc/mm/02.gif

anim follow1
	loop	0
	offset     240 198
	delay	2
	frame	data/chars/misc/mm/11.gif
	frame	data/chars/misc/mm/12.gif
	frame	data/chars/misc/mm/13.gif
	frame	data/chars/misc/mm/14.gif
	frame	data/chars/misc/mm/15.gif
	frame	data/chars/misc/mm/16.gif
	frame	data/chars/misc/mm/17.gif
	frame	data/chars/misc/mm/18.gif
	frame	data/chars/misc/mm/19.gif
	frame	data/chars/misc/mm/20.gif
	frame	data/chars/misc/mm/21.gif
	frame	data/chars/misc/empty.gif
		
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
	
	
anim fall
	loop	0
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif

anim death
	loop	0
	offset     240 198
	delay	2
	frame	data/chars/misc/mm/11.gif
	frame	data/chars/misc/mm/12.gif
	frame	data/chars/misc/mm/13.gif
	frame	data/chars/misc/mm/14.gif
	frame	data/chars/misc/mm/15.gif
	frame	data/chars/misc/mm/16.gif
	frame	data/chars/misc/mm/17.gif
	frame	data/chars/misc/mm/18.gif
	frame	data/chars/misc/mm/19.gif
	frame	data/chars/misc/mm/20.gif
	frame	data/chars/misc/mm/21.gif
	frame	data/chars/misc/empty.gif
		
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif

	
	
	
	
	
