name				hound
type				enemy
hostile				player npc
candamage			player npc
score				410 -1
health				64
speed				8
shadow				4
#aironly				1
noquake				1
dust				dust01
flash				flash11
#noatflash			1
bflash				guard01
cantgrab			1
notgrab				1
jumpheight			2
antigravity			30
blockodds			5
thold				49
#risetime 1000
nodieblink			0
falldie				2
jugglepoints		15
defense				normal3 0 1 
icon				data/chars/hound/icon.gif 1
icondie				data/chars/hound/icond.gif 1
diesound			data/sounds/hound02.wav
takedamagescript	data/scripts/ndamage.c

palette				data/chars/hound/hound.gif #1

remap	data/chars/hound/idle00.gif   data/chars/hound/alter01.gif
remap	data/chars/hound/idle00.gif   data/chars/hound/alter02.gif
remap	data/chars/hound/idle00.gif   data/chars/hound/alter03.gif

#-------Moves

anim spawn
	shadowcoords 210 200
	loop	0
	offset     225 198
	bbox	191 143 79 55
	hitfx   data/sounds/hit01.wav
	delay	2
	attack2  225 152 66 47 10 1 0 0 0
	move	4
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	move	4
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	move	4
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	move	4
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	move	4
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	move	4
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	
	move	4
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	move	4
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	move	3
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	move	3
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	move	2
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	move	1
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	
	move	0
	attack2  0 0 0 0 0 0 0 0 0 0
	delay	17
	frame	data/chars/hound/a123.gif

anim idle
	shadowcoords 210 200
	loop	1
	 offset     225 198
	bbox	191 143 79 55
	delay	18
	frame	data/chars/hound/idle00.gif
	frame	data/chars/hound/idle01.gif

anim walk
	shadowcoords 210 200
	loop	1
	offset     225 198
	bbox	191 143 79 55
	delay   12
	frame	data/chars/hound/wk00.gif
	frame	data/chars/hound/wk01.gif
	frame	data/chars/hound/wk02.gif
	frame	data/chars/hound/wk03.gif
	frame	data/chars/hound/wk04.gif
	frame	data/chars/hound/wk05.gif

anim turn
	shadowcoords 210 200
	loop	0
	offset     225 198
	bbox	191 143 79 55
	delay   8
	frame	data/chars/hound/turn00.gif
	frame	data/chars/hound/turn01.gif
	frame	data/chars/hound/turn02.gif

anim block
	shadowcoords 210 200
	subentity	dust01
	spawnframe	0 0 0 0 0
	loop	0
	bbox	0 0 0 0
	sound   data/sounds/block01.wav
	offset     225 198
	delay	2
	move	-6
@cmd projectile 1 "block" 0 0 0
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif
	move	-6
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif
	move	-5
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif
	move	-5
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif
	move	-4
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif
	move	-4
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif
	move	-3
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif
	move	-3
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif
	move	-2
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif
	move	-2
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif
	move	-1
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif
	move	-1
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif
	move	0
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif
	frame	data/chars/hound/guard00.gif

anim attack1
	shadowcoords 210 200
	range	0 160
	loop	0
	offset     225 198
	bbox	191 143 79 55
	hitfx   data/sounds/burn01.wav
	sound   data/sounds/hound03.wav
	delay	8
	frame	data/chars/hound/a101.gif
	frame	data/chars/hound/a102.gif
	frame	data/chars/hound/a103.gif
	delay	24
	frame	data/chars/hound/a104.gif
	delay	8
	frame	data/chars/hound/a105.gif
	frame	data/chars/hound/a106.gif
	sound   data/sounds/slash02.wav
	delay	4
	frame	data/chars/hound/a107.gif
	frame	data/chars/hound/a108.gif
	frame	data/chars/hound/a109.gif
	frame	data/chars/hound/a110.gif
	frame	data/chars/hound/a111.gif
	attack3  225 147 167 52 10 1 0 0 0
	frame	data/chars/hound/a112.gif
	frame	data/chars/hound/a113.gif
	frame	data/chars/hound/a114.gif
	frame	data/chars/hound/a115.gif
	frame	data/chars/hound/a116.gif
	frame	data/chars/hound/a117.gif
	frame	data/chars/hound/a118.gif
	frame	data/chars/hound/a119.gif
	frame	data/chars/hound/a120.gif
	frame	data/chars/hound/a121.gif
	
	attack3  0 0 0 0 0 0 0 0 0 0
	delay	8
	frame	data/chars/hound/a122.gif
	delay	17
	frame	data/chars/hound/a123.gif


anim attack2
	shadowcoords 210 200
	range	161 190
	jumpframe	2 2 2
	dropframe	3
	landframe	4
	subentity	dust01
	spawnframe	4 0 0 0 0
	loop	0
	offset     225 198
	bbox	191 143 79 55
	hitfx   data/sounds/hit01.wav
	sound   data/sounds/hound03.wav
	delay	24
	frame	data/chars/hound/a201.gif
	delay	8
	frame	data/chars/hound/a202.gif

	sound   data/sounds/slash01.wav
	delay	999
	attack2  225 143 73 57 10 1 0 0 0
	frame	data/chars/hound/a203.gif
	frame	data/chars/hound/a204.gif

	attack2  0 0 0 0 0 0 0 0 0 0
	delay	2
	move	3
	frame	data/chars/hound/a205.gif
	frame	data/chars/hound/a205.gif
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	move	2
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	move	1
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	move	0
	delay	16
	frame	data/chars/hound/idle00.gif

anim attack3
	shadowcoords 210 200
	range	191 250
	loop	0
	offset     225 198
	bbox	191 143 79 55
	hitfx   data/sounds/hit01.wav
	sound   data/sounds/hound03.wav
	delay	2
	attack2  225 152 66 47 10 1 0 0 0
	move	4
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	move	4
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	move	4
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	move	4
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	move	4
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	move	4
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	
	move	4
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	move	4
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	move	4
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	move	4
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	move	4
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	move	4
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	
	move	4
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	frame	data/chars/hound/a301.gif
	move	4
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	frame	data/chars/hound/a302.gif
	move	3
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	frame	data/chars/hound/a303.gif
	move	3
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	frame	data/chars/hound/a304.gif
	move	2
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	frame	data/chars/hound/a305.gif
	move	1
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	frame	data/chars/hound/a306.gif
	
	move	0
	attack2  0 0 0 0 0 0 0 0 0 0
	delay	17
	frame	data/chars/hound/a123.gif

anim riseattack
	shadowcoords 210 200
	range	0 150
	jumpframe	2 2 2
	dropframe	3
	landframe	4
	subentity	dust01
	spawnframe	4 0 0 0 0
	loop	0
	offset     225 198
	bbox	0 0 0 0
	hitfx   data/sounds/hit01.wav
	
	sound   data/sounds/hound03.wav
	delay	24
	frame	data/chars/hound/a201.gif
	delay	8
	frame	data/chars/hound/a202.gif

	sound   data/sounds/slash01.wav
	delay	999
	attack2  225 143 73 57 10 1 0 0 0
	frame	data/chars/hound/a203.gif
	frame	data/chars/hound/a204.gif

	attack2  0 0 0 0 0 0 0 0 0 0
	delay	2
	move	3
	frame	data/chars/hound/a205.gif
	frame	data/chars/hound/a205.gif
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	move	2
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	move	1
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	frame	data/chars/hound/a206.gif
	move	0
	delay	16
	frame	data/chars/hound/idle00.gif

#----------------------------------------ATTACK 1----------------------------------------;

anim pain1
	shadowcoords 210 200
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0
	bbox	191 143 79 55
	sound   data/sounds/hound01.wav

	delay   2
	offset     228 198
	frame	data/chars/hound/pain101.gif
	offset     225 198
	frame	data/chars/hound/pain101.gif
	offset     222 198
	frame	data/chars/hound/pain101.gif
	offset     225 198
	frame	data/chars/hound/pain101.gif
	offset     228 198
	frame	data/chars/hound/pain101.gif
	offset     225 198
	frame	data/chars/hound/pain101.gif
	offset     222 198
	frame	data/chars/hound/pain101.gif
	offset     225 198
	frame	data/chars/hound/pain101.gif
	offset     228 198
	frame	data/chars/hound/pain101.gif
	offset     225 198
	frame	data/chars/hound/pain101.gif
	offset     222 198
	frame	data/chars/hound/pain101.gif
	offset     225 198
	frame	data/chars/hound/pain101.gif
	
	delay   2
	move	-3
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-2
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-2
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-1
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-1
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	
	move	0
	delay   6
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/hound/pain101.gif

anim fall1
	shadowcoords 210 200
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	dropframe		1
	landframe		2
	loop	0
	 offset     225 198
	bbox	191 143 79 55
	sound   data/sounds/pdie1.wav
	delay   999
	frame	data/chars/hound/fall01.gif
	frame	data/chars/hound/fall02.gif
	delay	35
	bbox		0 0 0 0
	sound   data/sounds/fall01.wav
	frame	data/chars/hound/fall02.gif
	delay	40
	frame	data/chars/hound/rise00.gif

anim rise1
	shadowcoords 210 200
	flipframe 4
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/hound/rise00.gif
	frame	data/chars/hound/rise01.gif
	frame	data/chars/hound/rise02.gif
	frame	data/chars/hound/rise03.gif
	frame	data/chars/hound/guard00.gif

anim death1
	shadowcoords 210 200
	loop	0
	 offset     225 198
	delay   1
	frame	data/chars/hound/rise00.gif

#----------------------------------------ATTACK 1----------------------------------------;


#----------------------------------------ATTACK 2----------------------------------------;

anim pain2
	shadowcoords 210 200
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0
	bbox	191 143 79 55
	sound   data/sounds/hound01.wav

	
	offset     225 198
	
	delay   2
	move	-5
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-4
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-4
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-3
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-3
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-2
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-2
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-1
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-1
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif

	move	0
	delay   2
	offset     228 198
	frame	data/chars/hound/pain101.gif
	offset     225 198
	frame	data/chars/hound/pain101.gif
	offset     222 198
	frame	data/chars/hound/pain101.gif
	offset     225 198
	frame	data/chars/hound/pain101.gif
	offset     228 198
	frame	data/chars/hound/pain101.gif
	offset     225 198
	frame	data/chars/hound/pain101.gif
	offset     222 198
	frame	data/chars/hound/pain101.gif
	offset     225 198
	frame	data/chars/hound/pain101.gif
	offset     228 198
	frame	data/chars/hound/pain101.gif
	offset     225 198
	frame	data/chars/hound/pain101.gif
	offset     222 198
	frame	data/chars/hound/pain101.gif
	offset     225 198
	frame	data/chars/hound/pain101.gif

anim fall2
	shadowcoords 210 200
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	dropframe		1
	landframe		2
	loop	0
	 offset     225 198
	bbox	191 143 79 55
	sound   data/sounds/pdie1.wav
	delay   999
	frame	data/chars/hound/fall01.gif
	frame	data/chars/hound/fall02.gif
	delay	35
	bbox		0 0 0 0
	sound   data/sounds/fall01.wav
	frame	data/chars/hound/fall02.gif
	delay	40
	frame	data/chars/hound/rise00.gif

anim rise2
	shadowcoords 210 200
	flipframe 4
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/hound/rise00.gif
	frame	data/chars/hound/rise01.gif
	frame	data/chars/hound/rise02.gif
	frame	data/chars/hound/rise03.gif
	frame	data/chars/hound/guard00.gif

anim death2
	shadowcoords 210 200
	loop	0
	 offset     225 198
	delay   1
	frame	data/chars/hound/rise00.gif

#----------------------------------------ATTACK 2----------------------------------------;

#----------------------------------------BURN ATTACK----------------------------------------;

anim pain3
	shadowcoords 210 200
	subentity	dust01
	spawnframe	12 0 0 0 0
	loop	0
	bbox	191 143 79 55
	sound   data/sounds/hound03.wav
	offset     225 198
	delay   2
	offset     228 198
	frame	data/chars/hound/guard00.gif
	offset     225 198
	frame	data/chars/hound/guard00.gif
	offset     222 198
	frame	data/chars/hound/guard00.gif
	offset     225 198
	frame	data/chars/hound/guard00.gif
	offset     228 198
	frame	data/chars/hound/guard00.gif
	offset     225 198
	frame	data/chars/hound/guard00.gif
	offset     222 198
	frame	data/chars/hound/guard00.gif
	offset     225 198
	frame	data/chars/hound/guard00.gif
	offset     228 198
	frame	data/chars/hound/guard00.gif
	offset     225 198
	frame	data/chars/hound/guard00.gif
	offset     222 198
	frame	data/chars/hound/guard00.gif
	offset     225 198
	frame	data/chars/hound/guard00.gif

anim fall3
	shadowcoords 210 200
	dropframe		1
	landframe		2
	loop	0
	 offset     225 198
	bbox	191 143 79 55
	sound   data/sounds/pdie1.wav
	delay   999
	frame	data/chars/hound/fall01.gif
	frame	data/chars/hound/fall02.gif
	delay	35
	bbox		0 0 0 0
	sound   data/sounds/fall01.wav
	frame	data/chars/hound/fall02.gif
	delay	40
	frame	data/chars/hound/rise00.gif

anim rise3
	shadowcoords 210 200
	flipframe 4
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/hound/rise00.gif
	frame	data/chars/hound/rise01.gif
	frame	data/chars/hound/rise02.gif
	frame	data/chars/hound/rise03.gif
	frame	data/chars/hound/guard00.gif

anim death3
	shadowcoords 210 200
	loop	0
	 offset     225 198
	delay   1
	frame	data/chars/hound/rise00.gif

#----------------------------------------BURN ATTACK----------------------------------------;


#----------------------------------------SHOCK ATTACK----------------------------------------;

anim pain4
	shadowcoords 210 200
	subentity	dust01
	spawnframe	15 0 0 0 0
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   3
	frame	data/chars/hound/shock01.gif
	frame	data/chars/hound/shock02.gif
	frame	data/chars/hound/shock03.gif
	frame	data/chars/hound/shock01.gif
	frame	data/chars/hound/shock02.gif
	frame	data/chars/hound/shock03.gif
	frame	data/chars/hound/shock01.gif
	frame	data/chars/hound/shock02.gif
	frame	data/chars/hound/shock03.gif
	frame	data/chars/hound/shock01.gif
	frame	data/chars/hound/shock02.gif
	frame	data/chars/hound/shock03.gif
	frame	data/chars/hound/shock01.gif
	frame	data/chars/hound/shock02.gif
	frame	data/chars/hound/shock03.gif
	delay   2
	move	-3
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-2
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-2
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-1
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	move	-1
	frame	data/chars/hound/pain101.gif
	frame	data/chars/hound/pain101.gif
	
	move	0
	delay   6
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/hound/pain101.gif
	delay   2
