	music		data/music/tribute.ogg 1		# BOR file to play
#	animation	[path] [x] [y]		# GIF animation to play
#	silence					# Stop music


music		data/music/complete.bor 1


animation    data/scenes/howto/h1.gif 0 0 1 0
 animation    data/scenes/howto/h2.gif 0 0 1 0
 animation    data/scenes/howto/h3.gif 0 0 1 0
animation    data/scenes/howto/h3b.gif 0 0 1 0
 animation    data/scenes/howto/h4.gif 0 0 1 0
animation    data/scenes/howto/h5.gif 0 0 1 0
animation    data/scenes/howto/h6.gif 0 0 1 0
animation    data/scenes/howto/h7.gif 0 0 1 0
animation    data/scenes/howto/h8.gif 0 0 1 0
animation    data/scenes/howto/h9.gif 0 0 1 0
animation    data/scenes/howto/h10.gif 0 0 1 0
animation    data/scenes/howto/h11.gif 0 0 1 0
