name	Shermie
health	50
speed	8
type	enemy
aimove chase
aimove wander
aimove normal
gfxshadow 1
shadow	4
dust dust
icon	data/chars/shermie/icone.gif
diesound data/chars/shermie/die.wav

palette  data/chars/shermie/shermie.gif

remap	data/chars/shermie/parada1.gif data/chars/shermie/idle1.gif
remap	data/chars/shermie/parada1.gif data/chars/shermie/idle2.gif
remap	data/chars/shermie/parada1.gif data/chars/shermie/idle3.gif
remap	data/chars/shermie/parada1.gif data/chars/shermie/idle4.gif












anim	attack1
	sound	data/chars/shermie/at1.wav
	range	0 75
	loop	0
	delay	7
	offset	44 114
	bbox	29 18 37 102
	move	10
	frame	data/chars/shermie/golpe1.gif
	offset	44 113
	move	10
	frame	data/chars/shermie/golpe2.gif
	attack	50 57 39 53 0 0 1 0 0 0
	offset	43 115
	move	0
	frame	data/chars/shermie/golpe3.gif
	attack	52 67 33 32 0 0 1 0 0 0
	offset	44 113
	frame	data/chars/shermie/golpe2.gif
	offset	44 114
	frame	data/chars/shermie/golpe1.gif
		
anim	attack2
	sound	data/chars/shermie/at2.wav
	attack	0 0 0 0 0 0 0 0 0 0
	bbox	80 45 28 95
	range	180 300
	loop	0
	delay	5
	move	35
	offset	96 135
	frame	data/chars/shermie/ataque1.gif
	attack	78 48 29 91 10 0 0 0 0 0
	move	10
	offset	94 135
	frame	data/chars/shermie/ataque2.gif
	attack	0
	bbox	76 46 32 96
	offset	95 137
	frame	data/chars/shermie/ataque3.gif
	attack	78 48 29 91 10 0 0 0 0 0
	move	3
	offset	95 137
	frame	data/chars/shermie/ataque4.gif
	attack	0
	bbox	80 48 27 93
	offset	95 137
	frame	data/chars/shermie/ataque5.gif
	bbox	81 46 23 94
	offset	95 137
	attack	78 48 29 91 10 0 0 0 0 0
	frame	data/chars/shermie/ataque2.gif
	attack	76 47 28 94 10 0 0 0 0 0
	bbox	79 49 29 93
	offset	95 137
	frame	data/chars/shermie/ataque3.gif
	bbox	78 48 29 90
	offset	96 135
	attack	0
	frame	data/chars/shermie/ataque1.gif
		
anim	fall
	loop	0
	delay	20
	offset	80 96
	frame	data/chars/shermie/der1.gif
	offset	80 97
	frame	data/chars/shermie/der2.gif
	offset	80 95
	frame	data/chars/shermie/der3.gif
	offset	80 95
	attack	34 77 89 21 12 1 0 0 0 0
	frame	data/chars/shermie/der4.gif
		
anim	idle
	loop	1
	offset	38 128
	bbox	21 46 41 89
	delay	10
	frame	data/chars/shermie/parada1.gif
	frame	data/chars/shermie/parada2.gif
	frame	data/chars/shermie/parada3.gif
		
anim	pain
	loop	0
	offset	37 114
	bbox	22 28 40 89
	delay	12
	frame	data/chars/shermie/apanhar1.gif
	offset	37 114
	bbox	19 35 39 83
	delay	12
	frame	data/chars/shermie/apanhar2.gif
	offset	37 114
	bbox	22 28 40 89
	delay	12
	frame	data/chars/shermie/apanhar1.gif
		
anim	rise
	loop	0
	offset	56 123
	delay	15
	frame	data/chars/shermie/lev1.gif
	offset	56 125
	frame	data/chars/shermie/lev2.gif
	offset	56 123
	frame	data/chars/shermie/lev3.gif
	offset	56 124
	frame	data/chars/shermie/lev4.gif
	offset	56 125
	frame	data/chars/shermie/lev5.gif
		
anim	walk
	loop	1
	offset	51 113
	bbox	31 26 37 96
	delay	7
	frame	data/chars/shermie/andar1.gif
	frame	data/chars/shermie/andar2.gif
	frame	data/chars/shermie/andar3.gif
	frame	data/chars/shermie/andar4.gif
	frame	data/chars/shermie/andar5.gif
	frame	data/chars/shermie/andar6.gif
		
#|edited by openBor Stats v 0.67
		
