name	King_Piccolo
health	100
speed	9
type	none
shadow	3




anim	spawn
	delay	7
	offset	22 40
	frame	data/chars/King_Piccolo/214.gif
	offset	23 45
	frame	data/chars/King_Piccolo/215.gif
	offset	22 46
	frame	data/chars/King_Piccolo/216.gif
	offset	24 69
	frame	data/chars/King_Piccolo/217.gif
	offset	23 92
	frame	data/chars/King_Piccolo/218.gif
	offset	23 83
	frame	data/chars/King_Piccolo/219.gif
	offset	22 97
	frame	data/chars/King_Piccolo/220.gif
		
anim	attack1
	delay	7
	offset	24 107
	frame	data/chars/King_Piccolo/221.gif
	offset	21 102
	frame	data/chars/King_Piccolo/222.gif
	offset	21 103
	frame	data/chars/King_Piccolo/223.gif
	offset	21 98
	frame	data/chars/King_Piccolo/224.gif
		
anim	attack2
	delay	7
	offset	24 89
	frame	data/chars/King_Piccolo/225.gif
	offset	32 104
	frame	data/chars/King_Piccolo/226.gif
	offset	36 136
	frame	data/chars/King_Piccolo/227.gif
	offset	37 130
	frame	data/chars/King_Piccolo/228.gif
	offset	21 98
	frame	data/chars/King_Piccolo/229.gif
		
anim	special
	delay	7
	offset	24 105
	frame	data/chars/King_Piccolo/230.gif
	offset	32 111
	frame	data/chars/King_Piccolo/231.gif
	offset	22 113
	frame	data/chars/King_Piccolo/232.gif
	offset	21 99
	frame	data/chars/King_Piccolo/233.gif
		
anim	follow1
	delay	7
	offset	22 97
	frame	data/chars/King_Piccolo/237.gif
	offset	22 97
	frame	data/chars/King_Piccolo/238.gif
	offset	21 73
	frame	data/chars/King_Piccolo/239.gif
	offset	21 48
	frame	data/chars/King_Piccolo/240.gif
	offset	22 48
	frame	data/chars/King_Piccolo/241.gif
		
anim	idle
	delay	7
	loop	1
	offset	23 47
	frame	data/chars/King_Piccolo/9.gif
	offset	23 46
	frame	data/chars/King_Piccolo/10.gif
	offset	23 47
	frame	data/chars/King_Piccolo/11.gif
	offset	23 48
	frame	data/chars/King_Piccolo/12.gif
		
anim	walk
	delay	7
	offset	28 38
	frame	data/chars/King_Piccolo/16.gif
	offset	28 38
	frame	data/chars/King_Piccolo/17.gif
	offset	28 37
	frame	data/chars/King_Piccolo/18.gif
	offset	28 37
	frame	data/chars/King_Piccolo/19.gif
		
#|edited by openBor Stats v 0.67
		
