name	KPiccolo
health	100
speed	9
type	player
shadow	3
running 18 4 2 1 0










anim	attack1
	delay	7
	offset	30 47
	frame	data/chars/King_Piccolo/133.gif
	attack	25 2 69 34 10 0 1 0 0 0
	offset	30 50
	frame	data/chars/King_Piccolo/134.gif
	offset	29 50
	frame	data/chars/King_Piccolo/135.gif
		
anim	attack2
	delay	7
	offset	23 48
	frame	data/chars/King_Piccolo/138.gif
	attack	31 1 66 28 11 0 1 0 0 0
	offset	23 49
	frame	data/chars/King_Piccolo/139.gif
	offset	22 49
	frame	data/chars/King_Piccolo/140.gif
		
anim	attack3
	delay	7
	offset	24 44
	frame	data/chars/King_Piccolo/143.gif
	offset	26 51
	frame	data/chars/King_Piccolo/144.gif
	attack	28 1 68 65 12 0 1 0 0 0
	offset	28 67
	frame	data/chars/King_Piccolo/145.gif
	offset	26 64
	frame	data/chars/King_Piccolo/146.gif
	offset	34 63
	frame	data/chars/King_Piccolo/147.gif
		
anim	attack4
	delay	7
	offset	24 107
	frame	data/chars/King_Piccolo/221.gif
	attack	57 105 251 -150 15 1 1 0 0 0
	offset	21 102
	frame	data/chars/King_Piccolo/222.gif
	offset	21 103
	frame	data/chars/King_Piccolo/223.gif
	offset	21 98
	frame	data/chars/King_Piccolo/224.gif
		
anim	attack5
	delay	7
	offset	24 89
	frame	data/chars/King_Piccolo/225.gif
	offset	32 104
	frame	data/chars/King_Piccolo/226.gif
	attack	57 137 202 -146 17 1 1 0 0 0
	offset	36 136
	frame	data/chars/King_Piccolo/227.gif
	offset	37 130
	frame	data/chars/King_Piccolo/228.gif
	offset	21 98
	frame	data/chars/King_Piccolo/229.gif
		
anim	attack6
	delay	7
	offset	23 52
	frame	data/chars/King_Piccolo/197.gif
	attack	26 43 94 -54 18 1 1 0 0 0
	offset	21 50
	frame	data/chars/King_Piccolo/198.gif
	offset	21 50
	frame	data/chars/King_Piccolo/199.gif
	offset	21 48
	frame	data/chars/King_Piccolo/200.gif
	offset	21 47
	frame	data/chars/King_Piccolo/201.gif
		
anim	chargeattack
	delay	7
	fastattack	1
	offset	23 43
	frame	data/chars/King_Piccolo/202.gif
	offset	29 51
	frame	data/chars/King_Piccolo/203.gif
	attack	25 59 63 -69 18 0 1 0 0 0
	offset	12 61
	frame	data/chars/King_Piccolo/204.gif
	attack	0 0 0 0 0 0 0 0 0 0
	offset	9 60
	frame	data/chars/King_Piccolo/205.gif
	attack	24 55 54 -62 18 1 1 0 0 0
	offset	11 61
	frame	data/chars/King_Piccolo/206.gif
	offset	5 60
	frame	data/chars/King_Piccolo/207.gif
	offset	21 47
	frame	data/chars/King_Piccolo/208.gif
		
anim	fall
	delay	7
