name	raditzp

icon	data/chars/raditz/radi.png 

health	200

speed	30
type	player
shadow	2

palette none

projectilehit obstacle

mp 200

autoland 1

antigravity 10
subject_to_gravity 1
falldie 1

subject_to_screen 1

running 60 9  2  1  1
  makeinv 2

load arrshotp

weapons ape

load rad3
load ape1

load bflash
bflash bflash

load dball
load expl

load teleport
load aura
load frkik
load fra2
load nap2
load rad2
load gku
load gin3
load gin5
load ssgt
load sensu
load boom

atchain 1 2 3 4


com a2 freespecial
com D F A2 freespecial2
com a3 freespecial3
com D F a3 freespecial4

com D F a freespecial5
com D U a freespecial6

subject_to_screen 1

animationscript data/scripts/animscript.c

anim	attack1
	delay	5
	offset	73 144
	bbox	44 13 55 116
	frame	data/chars/raditz/lk1.png
	delay	8
	attack	89 53 104 66 10 0 1 0 0 80
	offset	95 135
	bbox	69 5 44 127
	frame	data/chars/raditz/lk2.png
	attack	64 61 68 66 10 0 1 0 0 80
	delay	4
	offset	63 140
	bbox	44 8 44 131
	frame	data/chars/raditz/lk3.png
	delay	3
	attack	0 0 0 0
	offset	73 144
	bbox	44 13 55 116
	frame	data/chars/raditz/lk1.png
		
anim	attack2
	delay	6
	offset	88 142
	bbox	44 29 72 98
	frame	data/chars/raditz/25.png
	move	5
	delay	7
	offset	88 143
	bbox	44 14 72 98
	attack	81 44 69 66 10 0 1 0 0 80
	dropv	4 6 10
	frame	data/chars/raditz/26.png
	delay	5
	attack	81 44 69 66 10 0 1 0 0 80
	dropv	4 6 10
	offset	88 142
	bbox	44 15 72 98
	frame	data/chars/raditz/27.png
	move	0
	delay	6
	attack	0 0 0 0 0 0 0 0 0 0
	offset	81 138
	frame	data/chars/raditz/25.png
		
anim	attack3
	hitflash	flash2
	loop	0
	delay	5
	offset	71 156
	bbox	39 55 64 98
	@cmd	randSound "raat1.wav" "raat2.wav" "null.wav"
	frame	data/chars/raditz/39.png
	offset	71 156
	bbox	44 42 61 98
	frame	data/chars/raditz/40.png
	delay	6
	bbox	43 16 60 108
	offset	60 126
	move	5
	attack	61 40 82 91 10 0 0 0 0 30
	dropv	11 1 6
	frame	data/chars/raditz/41.png
	delay	7
	attack	61 40 82 91 10 0 0 0 0 30
	dropv	11 1 6
	bbox	37 39 60 121
	offset	60 154
	frame	data/chars/raditz/42.png
	attack	0 0 0 0 0 0 0 0 0 0
	bbox	43 16 60 108
	offset	60 154
	frame	data/chars/raditz/43.png
	move	0
	bbox	36 41 60 120
	offset	60 154
	delay	5
	frame	data/chars/raditz/44.png
		
anim	attack4
	jumpframe	1
	landframe	4
	loop	0
	delay	8
	offset	80 172
	bbox	45 44 58 98
	@cmd	randSound "raat1.wav" "raat2.wav" "null.wav"
	frame	data/chars/raditz/45.png
	frame	data/chars/raditz/46.png
	frame	data/chars/raditz/47.png
	hitflash	flash2
	delay	25
	bbox	34 67 76 82
	blast	35 27 132 133 10 1 1 0 0 50
	dropv	2 10 10
	offset	57 195
	bbox	34 67 76 82
	frame	data/chars/raditz/48.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	70 171
	bbox	34 67 76 82
	frame	data/chars/raditz/49.png
	delay	12
	offset	85 99
	bbox	47 19 76 82
	frame	data/chars/raditz/57.png
		
anim	chargeattack
	chargetime	0.4
	fastattack	1
	forcedirection	-1
	loop	0
	delay	6
	offset	63 138
	bbox	45 23 47 109
	hitflash	flash2
	@cmd	randSound "raat1.wav" "raat2.wav" "null.wav"
	frame	data/chars/raditz/34.png
	frame	data/chars/raditz/35.png
	delay	5
	attack	58 34 129 70 3 0 0 0 0 50
	frame	data/chars/raditz/36.png
	delay	1
	attack	0 0 0 0
	frame	data/chars/raditz/36.png
	delay	5
	attack	58 34 137 74 3 0 0 0 0 50
	frame	data/chars/raditz/37.png
	delay	1
	attack	0 0 0 0
	frame	data/chars/raditz/37.png
	delay	5
	attack	58 34 128 69 3 0 0 0 0 50
	frame	data/chars/raditz/36.png
	delay	1
	attack	0 0 0 0
	frame	data/chars/raditz/36.png
	delay	5
	attack	58 34 136 73 3 0 0 0 0 50
	frame	data/chars/raditz/37.png
	delay	1
	attack	0 0 0 0
	frame	data/chars/raditz/37.png
	delay	5
	attack	58 34 129 69 3 0 0 0 0 50
	frame	data/chars/raditz/36.png
	delay	1
	attack	0 0 0 0
	frame	data/chars/raditz/36.png
	delay	7
	attack	58 34 135 72 3 0 0 0 0 50
	frame	data/chars/raditz/37.png
	delay	1
	attack	0 0 0 0
	frame	data/chars/raditz/37.png
	delay	8
	frame	data/chars/raditz/38.png
		
anim	death
	loop	0
	delay	7
	offset	82 99
	frame	data/chars/raditz/57.png
	frame	data/chars/raditz/58.png
	frame	data/chars/raditz/59.png
		
anim	death10
	subentity	gin3
	spawnframe	0 0 0 0 1
	loop	0
	delay	7
	offset	82 99
	move	-80
