name	motocrad
health	20
speed	16
type	enemy
aimove chase
hostile player
nolife 1
shadow	0
falldie 1
nodieblink 2
setlayer 4
diesound data/sounds/die3.wav
subject_to_screen 1
palette   data/chars/motocrad/idle000.png
alternatepal data/chars/motocrad/map1.png
alternatepal data/chars/motocrad/map2.png




anim	attack1
	sound	data/sounds/Kenshiro/punch000.wav
	loop	0
	delay	9
	offset	18 78
	bbox	-1 1 41 78
	frame	data/chars/motocrad/punch000.png
	delay	15
	offset	16 77
	attack	28 8 22 26 10 0 0 0 0 0
	frame	data/chars/motocrad/punch001.png
		
anim	attack2
	sound	data/sounds/Kenshiro/punch000.wav
	loop	0
	delay	9
	offset	18 78
	bbox	0 1 43 78
	frame	data/chars/motocrad/punch000.png
	delay	15
	offset	16 77
	attack	24 10 27 22 10 0 0 0 0 0
	frame	data/chars/motocrad/punch001.png
		
anim	death
	loop	0
	delay	20
	offset	18 74
	frame	data/chars/motocrad/idle000.png
	offset	18 75
	frame	data/chars/motocrad/die00.png
	delay	15
	offset	21 75
	frame	data/chars/motocrad/die01.png
	delay	10
	offset	21 75
	frame	data/chars/motocrad/die02.png
	sound	data/sounds/explo.wav
	delay	10
	offset	26 96
	frame	data/chars/motocrad/die03.png
	delay	10
	offset	31 84
	frame	data/chars/motocrad/die05.png
	delay	10
	offset	29 92
	frame	data/chars/motocrad/die04.png
	delay	10
	offset	31 84
	frame	data/chars/motocrad/die05.png
	delay	10
	offset	20 84
	frame	data/chars/motocrad/die06.png
	delay	5
	offset	16 47
	frame	data/chars/motocrad/die07.png
		
anim	idle
sound	data/sounds/bikebike.wav
	loop	1
	offset	18 74
	bbox	2 -2 31 80
	delay	4
	frame	data/chars/motocrad/idle000.png
	offset	18 75
	bbox	0 -2 31 80
	delay	4
	loop	1
	frame	data/chars/motocrad/idle001.png
		
anim	pain
	loop	0
	offset	16 77
	bbox	4 5 26 74
	delay	12
	frame	data/chars/motocrad/pain01.png
	offset	16 78
	delay	50
	frame	data/chars/motocrad/pain02.png
		
anim	spawn
	delay	28
	offset	2 76
	frame	data/chars/motocrad/spawn00.png
	delay	28
	offset	5 73
	frame	data/chars/motocrad/spawn01.png
	delay	28
	offset	10 66
	frame	data/chars/motocrad/spawn02.png
	delay	5
	offset	18 74
	frame	data/chars/motocrad/idle000.png
		
anim	walk
	loop	1
	delay	8
	offset	18 74
	frame	data/chars/motocrad/idle000.png
	offset	18 75
	frame	data/chars/motocrad/idle001.png
		
#|edited by openBor Stats v 0.41
		
