name	       Megaman
health         1000
mp	       500
speed	       12
type	       player
shadow	       3
makeinv        2
running        35  4.1  2  1
dust           dust
throwdamage    26
candamage    enemy obstacle
atchain	       1 2 3 4
flash qflash2
fmap           6
projectilehit  player obstacle
gfxshadow 1
animationscript	data/scripts2/script.c
script		data/scripts/toad.c

com	A2 freespecial
com	D U A freespecial2
com	D F A freespecial4
com	A3 freespecial5
com	A4 freespecial7

load	Megamana	
load	Megamanb	
load	Megamanc	
load	Megamane	
load	Megamanf	
load	Megamang	
load	Megamanh


icon           data/chars/Megaman/icon.gif

anim	attack1
	bbox	38 8 28 64
	loop	0
	delay	6
	offset	43 71
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Megaman/attack1.gif
	attack	66 21 57 29 7
	offset	47 78
	frame	data/Chars/Megaman/attack2.gif
	offset	38 66
	bbox	0 0 0 0
	frame	data/Chars/Megaman/attack3.gif
		
anim	attack2
	bbox	39 3 23 63
	loop	0
	delay	6
	offset	37 66
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Megaman/bttack1.gif
	attack	50 12 49 16 7 0 1 0 0 0
	offset	37 64
	frame	data/Chars/Megaman/bttack2.gif
	frame	data/Chars/Megaman/bttack3.gif
	frame	data/Chars/Megaman/bttack4.gif
		
anim	attack3
	bbox	28 19 29 69
	loop	0
	delay	6
	offset	37 90
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Megaman/cttack1.gif
	bbox	19 9 25 71
	offset	29 85
	frame	data/Chars/Megaman/cttack2.gif
	attack	0 0 0 0 0 0 0 0 0 0
	bbox	32 21 18 58
	offset	36 85
	frame	data/Chars/Megaman/cttack3.gif
	attack	33 17 55 36 7 0 1 0 0 0
	bbox	21 18 18 57
	offset	24 84
	frame	data/Chars/Megaman/cttack4.gif
		
anim	attack4
	bbox	27 4 27 53
	loop	0
	delay	6
	offset	43 67
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Megaman/dttack1.gif
	offset	39 77
	frame	data/Chars/Megaman/dttack2.gif
	blast	35 8 56 61 16 0 0 45
	dropv	4 2 0
	offset	34 74
	frame	data/Chars/Megaman/dttack3.gif
	offset	35 74
	frame	data/Chars/Megaman/dttack4.gif
		
anim	fall
	loop	0
	offset	46 38
	delay	25
	frame	data/Chars/Megaman/fall1.gif
	frame	data/Chars/Megaman/fall2.gif
	offset	56 29
	frame	data/Chars/Megaman/fall3.gif
		
anim	freespecial
	bbox	17 4 52 62
	loop	0
	offset	38 67
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Megaman/anew1.gif
	offset	38 71
	frame	data/Chars/Megaman/anew2.gif
	offset	46 68
	frame	data/Chars/Megaman/anew3.gif
	delay	6
	loop	0
	offset	46 62
	@cmd	spawn01 "Megamana" 36 42 0
	frame	data/Chars/Megaman/anew4.gif
	offset	46 64
	frame	data/Chars/Megaman/anew5.gif

anim	runattack
	bbox	17 4 52 62
	loop	0
	offset	38 67
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Megaman/anew1.gif
	offset	38 71
	frame	data/Chars/Megaman/anew2.gif
	offset	46 68
	frame	data/Chars/Megaman/anew3.gif
	delay	6
	loop	0
	offset	46 62
	@cmd	spawn01 "Megamana" 36 42 0
	frame	data/Chars/Megaman/anew4.gif
	offset	46 64
	frame	data/Chars/Megaman/anew5.gif

anim	freespecial7
	bbox	17 4 52 62
	loop	0
	offset	38 67
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Megaman/anew1.gif
	offset	38 71
	frame	data/Chars/Megaman/anew2.gif
	offset	46 68
	frame	data/Chars/Megaman/anew3.gif
	delay	6
	loop	0
	offset	46 62
	@cmd	spawn01 "Megamanf" 200 52 0
	frame	data/Chars/Megaman/anew4.gif
	offset	46 64
	frame	data/Chars/Megaman/anew5.gif
		
anim	freespecial2
	bbox	25 15 32 65
	loop	0
	offset	34 78
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Megaman/bnew1.gif
	blast	17 5 35 106 16 0 0 15
	dropv	3 0 0
	bbox	16 39 16 50
	offset	13 101
	@cmd	leaper 0 3 0
	@cmd	spawn01 "megamang" 2 68 0
	frame	data/Chars/Megaman/bnew2.gif
	offset	16 98
	frame	data/Chars/Megaman/bnew3.gif
	bbox	20 14 25 65
	offset	38 79
	frame	data/Chars/Megaman/bnew4.gif
	offset	37 83
	frame	data/Chars/Megaman/bnew5.gif
	offset	26 67
	frame	data/Chars/Megaman/bnew6.gif
		
anim	freespecial4
	bbox	17 4 52 62
	loop	0
	offset	38 67
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Megaman/anew1.gif
	offset	38 71
	frame	data/Chars/Megaman/anew2.gif
	offset	46 68
	frame	data/Chars/Megaman/anew3.gif
	delay	6
	loop	0
	offset	46 62
	@cmd	spawn01 "Megamanb" -100 0 0
	frame	data/Chars/Megaman/anew4.gif
	offset	46 64
	frame	data/Chars/Megaman/anew5.gif
		
anim	freespecial5
	bbox	17 4 52 62
	loop	0
	offset	38 67
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Megaman/anew1.gif
	offset	38 71
	frame	data/Chars/Megaman/anew2.gif
	offset	46 68
	frame	data/Chars/Megaman/anew3.gif
	delay	2
	loop	0
	offset	46 62
	@cmd	spawn01 "Megamane" 36 42 0
	frame	data/Chars/Megaman/anew4.gif
	@cmd	spawn01 "Megamane" 36 37 0
	frame	data/Chars/Megaman/anew4.gif
	offset	46 62
	@cmd	spawn01 "Megamane" 36 42 0
	frame	data/Chars/Megaman/anew4.gif
	@cmd	spawn01 "Megamane" 36 37 0
	frame	data/Chars/Megaman/anew4.gif
	offset	46 62
	@cmd	spawn01 "Megamane" 36 42 0
	frame	data/Chars/Megaman/anew4.gif
	@cmd	spawn01 "Megamane" 36 37 0
	frame	data/Chars/Megaman/anew4.gif
	offset	46 62
