
name	Dugong
health	150
mp      30
speed	10
type	player
shadow	2

icon	data/chars/Dugong/icon.gif
riseinv 2 0
makeinv 2 0
jumpheight 2
jumpmove 3 3
load Dugongs
animationscript data/scripts/spawns.c


anim	attack1
	loop	0
	delay	4
	offset	43 78
	bbox	38 51 19 29
	attack	57 47 25 27 10
	frame	data/chars/Dugong/atk01.gif
	attack	57 47 25 27 10
	frame	data/chars/Dugong/atk02.gif
	attack	57 47 25 27 10
	frame	data/chars/Dugong/atk03.gif
	attack	57 47 25 27 10
	frame	data/chars/Dugong/atk01.gif
	attack	57 47 25 27 10
	frame	data/chars/Dugong/atk02.gif
	attack	57 47 25 27 10
	frame	data/chars/Dugong/atk03.gif
	attack	57 47 25 27 10
	frame	data/chars/Dugong/atk01.gif
	attack	57 47 25 27 10
	frame	data/chars/Dugong/atk02.gif
	attack	57 47 25 27 10
	frame	data/chars/Dugong/atk03.gif
	frame	data/chars/Dugong/atk04.gif
		
anim	attack2
	loop	0
	delay	7
	offset	43 78
	bbox	38 51 19 29
	frame	data/chars/Dugong/dive01.gif
	frame	data/chars/Dugong/dive02.gif
	frame	data/chars/Dugong/dive03.gif
	move	10
	attack	56 44 14 36 20
	offset	43 88
	frame	data/chars/Dugong/dive04.gif
	attack	56 44 14 36 20
	offset	43 88
	frame	data/chars/Dugong/dive05.gif
	attack	56 44 14 36 20
	offset	43 78
	frame	data/chars/Dugong/dive06.gif
	delay	10
	frame	data/chars/Dugong/dive07.gif
	frame	data/chars/Dugong/dive08.gif
	frame	data/chars/Dugong/dive09.gif
	frame	data/chars/Dugong/dive10.gif
	frame	data/chars/Dugong/dive11.gif
		
anim	chargeattack
	loop	0
	delay	7
	offset	43 78
	bbox	38 51 19 29
	frame	data/chars/Dugong/dive01.gif
	frame	data/chars/Dugong/dive02.gif
	frame	data/chars/Dugong/dive03.gif
	move	10
	attack	56 44 14 36 20
	offset	43 88
	frame	data/chars/Dugong/dive04.gif
	attack	56 44 14 36 20
	offset	43 88
	frame	data/chars/Dugong/dive05.gif
	attack	56 44 14 36 20
	offset	43 78
	frame	data/chars/Dugong/dive06.gif
	delay	10
	frame	data/chars/Dugong/dive07.gif
	frame	data/chars/Dugong/dive08.gif
	frame	data/chars/Dugong/dive09.gif
	frame	data/chars/Dugong/dive10.gif
	frame	data/chars/Dugong/dive11.gif
		
anim	fall
	loop	0
	offset	43 78
	delay	20
	frame	data/chars/Dugong/fall01.gif
	frame	data/chars/Dugong/fall02.gif
	frame	data/chars/Dugong/fall03.gif
	frame	data/chars/Dugong/fall04.gif
	frame	data/chars/Dugong/fall05.gif
		
anim	get
	loop	0
	delay	10
	offset	43 78
	bbox	38 51 19 29
	frame	data/chars/Dugong/get01.gif
	frame	data/chars/Dugong/get02.gif
	frame	data/chars/Dugong/get03.gif
		
anim	idle
	loop	1
	delay	15
	offset	43 78
	bbox	38 51 19 29
	frame	data/chars/Dugong/idle01.gif
	frame	data/chars/Dugong/idle02.gif
	frame	data/chars/Dugong/idle03.gif
	frame	data/chars/Dugong/idle04.gif
	frame	data/chars/Dugong/idle03.gif
	frame	data/chars/Dugong/idle02.gif
		
anim	jump
	loop	0
	delay	10
	offset	43 78
	bbox	38 51 19 29
	frame	data/chars/Dugong/jump01.gif
	frame	data/chars/Dugong/jump02.gif
	frame	data/chars/Dugong/jump03.gif
	frame	data/chars/Dugong/jump04.gif
	frame	data/chars/Dugong/jump05.gif
		
anim	jumpattack
	loop	0
	delay	10
	offset	43 78
	bbox	38 51 19 29
	frame	data/chars/Dugong/jatk01.gif
	blast	45 48 24 32 20
	frame	data/chars/Dugong/jatk02.gif
	blast	45 48 24 32 20
	frame	data/chars/Dugong/jatk03.gif
	frame	data/chars/Dugong/jatk04.gif
		
anim	pain
	loop	0
	offset	43 78
	bbox	38 51 19 29
	delay	10
	frame	data/chars/Dugong/pain01.gif
