name	       Morrigan
health         1000
mp	       500
speed	       12
type	       player
shadow	       3
makeinv        2
running        35  5.3  2  1
dust           dust
throwdamage    26
candamage    enemy obstacle
atchain	       1 2 3 4
fmap           6
projectilehit  player obstacle
gfxshadow 1
flash	flashp
jumpmove 3 2
jumpheight 5.3
animationscript	data/scripts2/script.c

icon           data/chars/Morrigan/icon.gif

anim	attack1
	loop	0
	delay	6
	offset	37 92
	bbox	25 2 35 91
	frame	data/Chars/Morrigan/attack1.gif
	frame	data/Chars/Morrigan/attack2.gif
	frame	data/Chars/Morrigan/attack3.gif
	frame	data/Chars/Morrigan/attack4.gif
	frame	data/Chars/Morrigan/attack5.gif
	frame	data/Chars/Morrigan/attack6.gif
	frame	data/Chars/Morrigan/attack7.gif
	frame	data/Chars/Morrigan/attack8.gif
	frame	data/Chars/Morrigan/attack9.gif
	frame	data/Chars/Morrigan/attack10.gif

anim	attack2
	loop	0
	delay	6
	offset	41 90
	bbox	36 6 30 84
	frame	data/Chars/Morrigan/bttack1.gif
	frame	data/Chars/Morrigan/bttack2.gif
	frame	data/Chars/Morrigan/bttack3.gif
	frame	data/Chars/Morrigan/bttack4.gif
	frame	data/Chars/Morrigan/bttack5.gif
	frame	data/Chars/Morrigan/bttack6.gif
	frame	data/Chars/Morrigan/bttack7.gif
	frame	data/Chars/Morrigan/bttack8.gif
	frame	data/Chars/Morrigan/bttack9.gif
	frame	data/Chars/Morrigan/bttack10.gif
		
anim	attack3
	loop	0
	delay	6
	offset	46 92
	bbox	39 5 30 84
	frame	data/Chars/Morrigan/cttack1.gif
	frame	data/Chars/Morrigan/cttack2.gif
	frame	data/Chars/Morrigan/cttack3.gif
	frame	data/Chars/Morrigan/cttack4.gif
	frame	data/Chars/Morrigan/cttack5.gif
	frame	data/Chars/Morrigan/cttack6.gif
	frame	data/Chars/Morrigan/cttack7.gif
	frame	data/Chars/Morrigan/cttack8.gif
	frame	data/Chars/Morrigan/cttack9.gif
	frame	data/Chars/Morrigan/cttack10.gif
		
anim	attack4
	loop	0
	delay	6
	offset	46 60
	bbox	25 10 54 44
	frame	data/Chars/Morrigan/dttack1.gif
	frame	data/Chars/Morrigan/dttack2.gif
	frame	data/Chars/Morrigan/dttack3.gif
	frame	data/Chars/Morrigan/dttack4.gif
	frame	data/Chars/Morrigan/dttack5.gif
	frame	data/Chars/Morrigan/dttack6.gif
	frame	data/Chars/Morrigan/dttack7.gif
	frame	data/Chars/Morrigan/dttack8.gif
	frame	data/Chars/Morrigan/dttack9.gif
	frame	data/Chars/Morrigan/dttack10.gif
		
anim	fall
	loop	0
	offset	46 87
	delay	25
	frame	data/Chars/Morrigan/fall1.gif
	frame	data/Chars/Morrigan/fall2.gif
		
anim	get
	loop	0
	delay	7
	offset	34 51
	frame	data/Chars/Morrigan/get.gif
		
anim	idle
	loop	1
	delay	6
	offset	34 87
	bbox	13 4 36 73
	frame	data/Chars/Morrigan/idle1.gif
	frame	data/Chars/Morrigan/idle2.gif
	frame	data/Chars/Morrigan/idle3.gif
	frame	data/Chars/Morrigan/idle4.gif
	frame	data/Chars/Morrigan/idle5.gif
	frame	data/Chars/Morrigan/idle6.gif
	frame	data/Chars/Morrigan/idle7.gif
	frame	data/Chars/Morrigan/idle8.gif
	frame	data/Chars/Morrigan/idle9.gif
		
anim	jump
	loop	0
	offset	21 90
	delay	11
	bbox	9 8 37 71
	frame	data/Chars/Morrigan/jump1.gif
	frame	data/Chars/Morrigan/jump2.gif
	frame	data/Chars/Morrigan/jump3.gif
		
anim	pain
	loop	0
	offset	35 91
	bbox	-4 -3 71 93
	delay	15
	frame	data/chars/Morrigan/pain.gif
				
anim	run
	loop	1
	delay	6
	offset	34 82
	bbox	39 4 49 61
	frame	data/Chars/Morrigan/run1.gif
	frame	data/Chars/Morrigan/run2.gif
	frame	data/Chars/Morrigan/run3.gif
	frame	data/Chars/Morrigan/run4.gif
	frame	data/Chars/Morrigan/run5.gif
	frame	data/Chars/Morrigan/run6.gif
	frame	data/Chars/Morrigan/run7.gif
	frame	data/Chars/Morrigan/run8.gif
	frame	data/Chars/Morrigan/run9.gif

		
anim	walk
	loop	1
	delay	6
	offset	34 82
	bbox	39 4 49 61
	frame	data/Chars/Morrigan/walk1.gif
	frame	data/Chars/Morrigan/walk2.gif
	frame	data/Chars/Morrigan/walk3.gif
	frame	data/Chars/Morrigan/walk4.gif
	frame	data/Chars/Morrigan/walk5.gif
	frame	data/Chars/Morrigan/walk6.gif
	frame	data/Chars/Morrigan/walk7.gif
	frame	data/Chars/Morrigan/walk8.gif
	frame	data/Chars/Morrigan/walk9.gif
		
#|edited by openBor Stats v 0.48
		
