name	S-Wave
type	pshot
shadow	0
nolife  1
remove  0
Speed   30
candamage enemy obstacle


anim idle
	loop	1
	delay	5
	offset	20 47
        hitflash Flash2
        blast  2  32  37  15  16
	frame	data/chars/SonicMH/241.gif
	offset	18 31
		blast  2  1  34  30  16
	frame	data/chars/SonicMH/242.gif
	offset	24 38
		blast  4  2  44  36  16
	frame	data/chars/SonicMH/243.gif
	offset	38 65
		blast  10  3  47  62  16
	frame	data/chars/SonicMH/244.gif
	offset	51 60
		blast  16  1  59  59  16
	frame	data/chars/SonicMH/245.gif
	offset	50 52
		blast  13  4  62  48  16
	frame	data/chars/SonicMH/246.gif
	offset	38 65
		blast  10  3  47  62  16
	frame	data/chars/SonicMH/244.gif
	offset	51 60
		blast  16  1  59  59  16
	frame	data/chars/SonicMH/245.gif
	offset	50 52
		blast  13  4  62  48  16
	frame	data/chars/SonicMH/246.gif
	offset	38 65
		blast  10  3  47  62  16
	frame	data/chars/SonicMH/244.gif
	offset	51 60
		blast  16  1  59  59  16
	frame	data/chars/SonicMH/245.gif
	offset	50 52
		blast  13  4  62  48  16
	frame	data/chars/SonicMH/246.gif
	offset	38 65
		blast  10  3  47  62  16
	frame	data/chars/SonicMH/244.gif
	offset	51 60
		blast  16  1  59  59  16
	frame	data/chars/SonicMH/245.gif
	offset	50 52
		blast  13  4  62  48  16
	frame	data/chars/SonicMH/246.gif
	offset	38 65
		blast  10  3  47  62  16
	frame	data/chars/SonicMH/244.gif
	offset	51 60
		blast  16  1  59  59  16
	frame	data/chars/SonicMH/245.gif
	offset	50 52
		blast  13  4  62  48  16
	frame	data/chars/SonicMH/246.gif
	offset	38 65
		blast  10  3  47  62  16
	frame	data/chars/SonicMH/244.gif
	offset	51 60
		blast  16  1  59  59  16
	frame	data/chars/SonicMH/245.gif
	offset	50 52
		blast  13  4  62  48  16
	frame	data/chars/SonicMH/246.gif
	offset	38 65
		blast  10  3  47  62  16
	frame	data/chars/SonicMH/244.gif
	offset	51 60
		blast  16  1  59  59  16
	frame	data/chars/SonicMH/245.gif
	offset	50 52
		blast  13  4  62  48  16
	frame	data/chars/SonicMH/246.gif
	offset	38 65
		blast  10  3  47  62  16
	frame	data/chars/SonicMH/244.gif
	offset	51 60
		blast  16  1  59  59  16
	frame	data/chars/SonicMH/245.gif
	offset	50 52
		blast  13  4  62  48  16
	frame	data/chars/SonicMH/246.gif
	offset	38 65
		blast  10  3  47  62  16
	frame	data/chars/SonicMH/244.gif
	offset	51 60
		blast  16  1  59  59  16
	frame	data/chars/SonicMH/245.gif
	offset	50 52
		blast  13  4  62  48  16
	frame	data/chars/SonicMH/246.gif
	offset	38 65
		blast  10  3  47  62  16
	frame	data/chars/SonicMH/244.gif
	offset	51 60
		blast  16  1  59  59  16
	frame	data/chars/SonicMH/245.gif
	offset	50 52
		blast  13  4  62  48  16
	frame	data/chars/SonicMH/246.gif
	offset	38 65
		blast  10  3  47  62  16
	frame	data/chars/SonicMH/244.gif
	offset	51 60
		blast  16  1  59  59  16
	frame	data/chars/SonicMH/245.gif
	offset	50 52
		blast  13  4  62  48  16
	frame	data/chars/SonicMH/246.gif
	offset	38 65
		blast  10  3  47  62  16
	frame	data/chars/SonicMH/244.gif
	offset	51 60
		blast  16  1  59  59  16
	frame	data/chars/SonicMH/245.gif
	offset	50 52
		blast  13  4  62  48  16
	frame	data/chars/SonicMH/246.gif
	offset	38 65
		blast  10  3  47  62  16
	frame	data/chars/SonicMH/244.gif
	offset	51 60
		blast  16  1  59  59  16
	frame	data/chars/SonicMH/245.gif
	offset	50 52
		blast  13  4  62  48  16
	frame	data/chars/SonicMH/246.gif

