name	       Jin
health         1000
mp	       500
speed	       12
type	       player
shadow	       3
makeinv        2
running        35  4.1  2  1
dust           dust
throwdamage    26
candamage    enemy obstacle
atchain	       1 2 3 4
flash	qflash2
fmap           6
projectilehit  player obstacle
gfxshadow 1
animationscript	data/scripts2/script.c
script          data/scripts2/toad.c
jugglecost	15

com             A2 freespecial4
com             A3 freespecial3
com             A4 freespecial5
com             D F A freespecial
com             D U A freespecial2


icon           data/chars/Jin/icon.gif







anim	attack1
	bbox	48 3 24 75
	loop	0
	delay	6
	offset	60 80
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Jin/attack1.gif
	offset	60 78
	frame	data/Chars/Jin/attack2.gif
	attack	59 7 85 23 7
	offset	60 79
	frame	data/Chars/Jin/attack2.gif
	offset	60 78
	frame	data/Chars/Jin/attack4.gif
		
anim	attack2
	bbox	21 12 53 36
	loop	0
	delay	5
	offset	72 77
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Jin/bttack1.gif
	offset	72 68
	frame	data/Chars/Jin/bttack2.gif
	bbox	69 4 46 36
	offset	84 68
	frame	data/Chars/Jin/bttack3.gif
	attack	68 5 74 25 7
	bbox	42 3 34 64
	offset	50 69
	frame	data/Chars/Jin/bttack4.gif
		
anim	attack3
	bbox	10 3 30 75
	loop	0
	delay	5
	offset	15 85
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Jin/cttack1.gif
	offset	21 90
	frame	data/Chars/Jin/cttack2.gif
	attack	44 23 100 36 7
	bbox	26 4 34 58
	frame	data/Chars/Jin/cttack3.gif
	offset	50 101
	frame	data/Chars/Jin/cttack4.gif
		
anim	attack4
	@cmd	leaper 1 4 0
	bbox	13 5 43 59
	loop	0
	delay	5
	offset	48 69
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Jin/dttack1.gif
	offset	48 64
	frame	data/Chars/Jin/dttack2.gif
	bbox	27 37 45 60
	offset	48 105
	frame	data/Chars/Jin/dttack3.gif
	blast	57 8 115 50 16 0 0 35
	bbox	16 10 64 47
	offset	48 63
	frame	data/Chars/Jin/dttack4.gif
	frame	data/Chars/Jin/dttack5.gif
	offset	48 77
	frame	data/Chars/Jin/dttack6.gif
		
anim	attack5
	@cmd	leaper 1 4 0
	bbox	13 5 43 59
	loop	0
	delay	5
	offset	48 69
	hitflash	poww
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Jin/dttack1.gif
	offset	48 64
	frame	data/Chars/Jin/dttack2.gif
	bbox	27 37 45 60
	offset	48 105
	frame	data/Chars/Jin/dttack3.gif
	blast	57 8 115 50 16 0 0 35
	bbox	16 10 64 47
	offset	48 63
	frame	data/Chars/Jin/dttack4.gif
	frame	data/Chars/Jin/dttack5.gif
	offset	48 77
	frame	data/Chars/Jin/dttack6.gif
		
anim	fall
	loop	0
	offset	68 97
	delay	25
	frame	data/Chars/Jin/fall1.gif
	offset	61 75
	frame	data/Chars/Jin/fall2.gif
	offset	75 20
	frame	data/Chars/Jin/fall3.gif
		
anim	freespecial
	move	13
	blast	76 9 143 86 16 0 0 35
	dropv	4 3 0
	bbox	39 32 55 26
	loop	0
	offset	147 85
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Jin/anew1.gif
	blast	85 18 136 74 16 0 0 35
	dropv	4 3 0
	offset	151 85
	frame	data/Chars/Jin/anew2.gif
	blast	79 20 138 78 16 0 0 35
	dropv	4 3 0
	offset	153 89
	frame	data/Chars/Jin/anew3.gif
	blast	83 7 137 80 16 0 0 35
	dropv	4 3 0
	offset	153 77
	frame	data/Chars/Jin/anew4.gif
	blast	76 9 143 86 16 0 0 35
	dropv	4 3 0
	bbox	39 32 55 26
	loop	0
	offset	147 85
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Jin/anew1.gif
	blast	85 18 136 74 16 0 0 35
	dropv	4 3 0
	offset	151 85
	frame	data/Chars/Jin/anew2.gif
	blast	79 20 138 78 16 0 0 35
	dropv	4 3 0
	offset	153 89
	frame	data/Chars/Jin/anew3.gif
	blast	83 7 137 80 16 0 0 35
	dropv	4 3 0
	offset	153 77
	frame	data/Chars/Jin/anew4.gif
		
anim	freespecial2
	move	8
	blast	48 36 110 104 16 0 0 45
	dropv	4 2 0
	loop	0
	offset	141 137
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Jin/bnew1.gif
	blast	65 64 110 94 16 0 0 45
	dropv	4 2 0
	offset	158 153
	frame	data/Chars/Jin/bnew2.gif
	blast	51 40 115 101 16 0 0 45
	dropv	4 2 0
	offset	146 136
	frame	data/Chars/Jin/bnew3.gif
	blast	68 51 110 101 16 0 0 45
	dropv	4 2 0
	offset	161 148
	frame	data/Chars/Jin/bnew4.gif
	blast	48 36 110 104 16 0 0 45
	dropv	4 2 0
	loop	0
	offset	141 137
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Jin/bnew1.gif
	blast	65 64 110 94 16 0 0 45
	dropv	4 2 0
	offset	158 153
	frame	data/Chars/Jin/bnew2.gif
	blast	51 40 115 101 16 0 0 45
	dropv	4 2 0
	offset	146 136
	frame	data/Chars/Jin/bnew3.gif
	blast	68 51 110 101 16 0 0 45
	dropv	4 2 0
	offset	161 148
	frame	data/Chars/Jin/bnew4.gif
	blast	48 36 110 104 16 0 0 45
	dropv	4 2 0
	loop	0
	offset	141 137
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Jin/bnew1.gif
	blast	65 64 110 94 16 0 0 45
	dropv	4 2 0
	offset	158 153
	frame	data/Chars/Jin/bnew2.gif
	blast	51 40 115 101 16 0 0 45
	dropv	4 2 0
	offset	146 136
	frame	data/Chars/Jin/bnew3.gif
	blast	68 51 110 101 16 0 0 45
	dropv	4 2 0
	offset	161 148
	frame	data/Chars/Jin/bnew4.gif
		
anim	freespecial3
	loop	0
	offset	56 75
	delay	6
