name	     Jind
type	     none
shadow	     0
candamage   enemy obstacle
flash       sablast
lifespan    2

anim	idle
	attack	148 9 86 40 25
	loop	1
	delay	3
	offset	1 126
	move	15
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
	frame	data/chars/Jin/d1.gif
		
#|edited by openBor Stats v 0.50
		
