name	       Arthur
health            1000
mp	       500
speed	       9
type	       player
shadow	       3
makeinv        2
running        30  4.1  2  1
dust           dust
throwdamage    26
candamage    enemy obstacle
atchain	       1 2 3 4
fmap           6
projectilehit  player obstacle
gfxshadow 1
flash flashp
animationscript data/scripts2/script.c
script	data/scripts/toad.c

load	ASpear
knife	ASpear
load	AAxe
load	BAxe
load	AFroggy
load	ABall
load	AGHOUL
load    JAXE
load    KAXE

com	A2 freespecial
com	D F A freespecial2
com	A3 freespecial3
com	A4 freespecial15
com	D D A freespecial14
com     D F S freespecial6
com     D D S freespecial7

palette	data/chars/Arthur/idle1.gif
alternatepal	data/Chars/Arthur/alter1.gif
alternatepal	data/Chars/Arthur/alter2.gif
alternatepal	data/Chars/Arthur/alter3.gif
alternatepal	data/Chars/Arthur/alter4.gif
alternatepal	data/Chars/Arthur/alter5.gif
alternatepal	data/Chars/Arthur/alter6.gif
alternatepal	data/Chars/Arthur/idle1.gif
alternatepal	data/Chars/Arthur/alter7.gif
alternatepal	data/Chars/Arthur/alter8.gif
alternatepal	data/Chars/Arthur/alter9.gif


icon           data/chars/Arthur/Arthur90000000.gif






anim	attack1
	cancel	0 2 1 A2 freespecial
	cancel	0 2 1 D F A freespecial2
	cancel	0 2 1 A3 freespecial3
	cancel	0 2 1 A4 freespecial15
	cancel	0 2 1 D F S freespecial6
	cancel	0 2 1 D U A freespecial14
	loop	0
	delay	6
	offset	73 67
	bbox	64 13 16 38
	sound	data/Chars/Arthur/hit.wav
	cancel	0 4 0 U freespecial12
	frame	data/chars/Arthur/attack1.gif
	offset	46 67
	frame	data/chars/Arthur/attack2.gif
	offset	36 66
	bbox	29 13 15 32
	attack	50 2 135 43 7 0 0 0 24 15
	frame	data/chars/Arthur/attack3.gif
		
anim	attack2
	cancel	0 2 1 A2 freespecial
	cancel	0 2 1 D F A freespecial2
	cancel	0 2 1 A3 freespecial3
	cancel	0 2 1 A4 freespecial15
	cancel	0 2 1 D F S freespecial6
	cancel	0 2 1 D U A freespecial14
	loop	0
	delay	6
	offset	73 67
	bbox	64 13 16 38
	sound	data/Chars/Arthur/hit.wav
	cancel	0 4 0 U freespecial12
	frame	data/chars/Arthur/attack1.gif
	offset	46 67
	frame	data/chars/Arthur/attack2.gif
	offset	36 66
	bbox	29 13 15 32
	attack	50 2 135 43 7 0 0 0 24 15
	frame	data/chars/Arthur/attack3.gif
		
anim	attack3
	cancel	0 3 1 D U A freespecial14
	cancel	0 3 1 A2 freespecial
	cancel	0 3 1 D F A freespecial2
	cancel	0 3 1 A3 freespecial3
	cancel	0 3 1 A4 freespecial15
	cancel	0 3 1 D F S freespecial6
	loop	0
	delay	6
	offset	70 90
	bbox	47 89 61 -147
	frame	data/chars/Arthur/cttack1.gif
	offset	42 133
	bbox	15 131 69 -155
	frame	data/chars/Arthur/cttack2.gif
	offset	43 113
	bbox	11 113 71 -156
	attack	63 4 53 90 8 0 0 0 24 15
	frame	data/chars/Arthur/cttack3.gif
	bbox	8 69 77 -121
	offset	31 68
	frame	data/chars/Arthur/cttack4.gif
		
anim	attack4
	cancel	0 2 1 D U A freespecial14
	cancel	0 2 1 A2 freespecial
	cancel	0 2 1 D F A freespecial2
	cancel	0 2 1 A3 freespecial3
	cancel	0 2 1 A4 freespecial15
	cancel	0 2 1 D F S freespecial6
	loop	0
	delay	6
	offset	68 67
	bbox	46 67 54 -110
	throwframe	4 30
	cancel	1 8 1 A freespecial
	sound	data/chars/Arthur/laugh.wav
	offset	46 67
	frame	data/chars/Arthur/attack2.gif
	offset	36 66
	attack	50 2 135 43 7 1 0 0 24 15
	frame	data/chars/Arthur/attack3.gif
	frame	data/chars/Arthur/attack3.gif
		
anim	attackbackward
	loop	0
	delay	5
	offset	72 85
	bbox	44 88 51 -134
	throwframe	4 30
	sound	data/chars/Arthur/laugh.wav
	frame	data/chars/Arthur/anew1.gif
	offset	88 111
	frame	data/chars/Arthur/anew2.gif
	offset	56 93
	frame	data/chars/Arthur/anew3.gif
	offset	50 67
	bbox	0
	sound	data/chars/Arthur/knife.wav
	frame	data/chars/Arthur/anew4.gif
	frame	data/chars/Arthur/anew4.gif
	delay	2
	frame	data/chars/Arthur/anew4.gif
	frame	data/chars/Arthur/anew4.gif
	frame	data/chars/Arthur/anew4.gif
		
anim	fall
	loop	0
	offset	46 76
	delay	25
	frame	data/chars/Arthur/fall1.gif
	attack	0
	offset	42 30
	frame	data/chars/Arthur/fall2.gif
		
anim	freespecial
	cancel	0 7 0 d f s freespecial6
	loop	0
	delay	5
	offset	72 85
	bbox	44 88 51 -134
	throwframe	4 30
	sound	data/chars/Arthur/laugh.wav
	frame	data/chars/Arthur/anew1.gif
	offset	88 111
	frame	data/chars/Arthur/anew2.gif
	offset	56 93
	frame	data/chars/Arthur/anew3.gif
	offset	50 67
	bbox	0
	sound	data/chars/Arthur/knife.wav
	frame	data/chars/Arthur/anew4.gif
	frame	data/chars/Arthur/anew4.gif
	delay	2
	frame	data/chars/Arthur/anew4.gif
	frame	data/chars/Arthur/anew4.gif
	frame	data/chars/Arthur/anew4.gif
		
anim	freespecial10
@script
    void vSelf = getlocalvar("self");

    if(frame==3){
      int  iTime = openborvariant("elapsed_time");

      changeentityproperty(vSelf, "velocity", 0, 0 , 0); // This is to stop entity from moving forward
      changeentityproperty(vSelf, "tosstime", iTime + 50);
    }
	@end_script	
	loop	0
	delay	5
	offset	43 97
	bbox	10 98 58 -161
	cancel	5 8 0 D freespecial11
	sound	data/chars/Arthur/laugh.wav
	frame	data/chars/Arthur/dnew1.gif
	offset	37 82
	frame	data/chars/Arthur/dnew2.gif
	offset	37 89
	frame	data/chars/Arthur/dnew3.gif
	offset	50 67
	bbox	20 68 75 -119
	sound	data/chars/Arthur/knife.wav
	@cmd	spawn01 "arthura" 63 20 0
	frame	data/chars/Arthur/anew4.gif
	frame	data/chars/Arthur/anew4.gif
	delay	2
