name	     KAxe
type	     none
shadow	     0
candamage   enemy obstacle
remove	0
lifespan 1
animationscript data/scripts2/script.c

anim spawn
	loop	0
	delay	3
	offset	13 75
	@cmd leaper -1 5 0
		blast  0  6  29  66  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510000.gif
        	frame	data/chars/Arthur/Arthur207510001.gif
		offset  18  65
		blast  3  12  32  49  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510002.gif
		offset  20  49
		blast  3  7  52  38  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510003.gif
		offset  33  39
		blast  4  4  61  29  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510004.gif
		offset  37  30
		blast  6  5  64  23  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510005.gif
        	frame	data/chars/Arthur/Arthur207510006.gif
		offset  33  36
        	frame	data/chars/Arthur/Arthur207510007.gif
		offset  25  54
		blast  5  4  40  48  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510008.gif
		offset  20  70
		blast  1  6  33  59  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510009.gif
		offset  18  73
        	frame	data/chars/Arthur/Arthur207510010.gif
		offset  19  64
        	frame	data/chars/Arthur/Arthur207510012.gif
		offset  17  73
        	frame	data/chars/Arthur/Arthur207510011.gif
		offset  27  49
		blast  4  5  48  40  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510013.gif
		offset  33  37
		blast  1  3  68  28  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510014.gif
		offset  36  30
        	frame	data/chars/Arthur/Arthur207510015.gif
	offset	13 75
		blast  0  6  29  66  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510000.gif
        	frame	data/chars/Arthur/Arthur207510001.gif
		offset  18  65
		blast  3  12  32  49  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510002.gif
		offset  20  49
		blast  3  7  52  38  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510003.gif
		offset  33  39
		blast  4  4  61  29  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510004.gif
		offset  37  30
		blast  6  5  64  23  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510005.gif
        	frame	data/chars/Arthur/Arthur207510006.gif
		offset  33  36
        	frame	data/chars/Arthur/Arthur207510007.gif
		offset  25  54
		blast  5  4  40  48  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510008.gif
		offset  20  70
		blast  1  6  33  59  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510009.gif
		offset  18  73
        	frame	data/chars/Arthur/Arthur207510010.gif
		offset  19  64
        	frame	data/chars/Arthur/Arthur207510012.gif
		offset  17  73
        	frame	data/chars/Arthur/Arthur207510011.gif
		offset  27  49
		blast  4  5  48  40  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510013.gif
		offset  33  37
		blast  1  3  68  28  10 0 0 60
        	frame	data/chars/Arthur/Arthur207510014.gif
		offset  36  30
        	frame	data/chars/Arthur/Arthur207510015.gif
		@cmd	suicide()
        	frame	data/chars/Arthur/Arthur207510016.gif

