# Hit dust

name	Dust04
type	none
shadow	0
#setlayer 1000
antigravity 100

anim idle
	loop		0
	 offset     225 198
	 move -5
	delay		2
		frame		data/chars/misc/dust04/01.gif
		frame		data/chars/misc/dust04/01.gif
		frame		data/chars/misc/dust04/01.gif
		frame		data/chars/misc/dust04/02.gif
		frame		data/chars/misc/dust04/02.gif
		frame		data/chars/misc/dust04/02.gif
		frame		data/chars/misc/dust04/03.gif
		frame		data/chars/misc/dust04/03.gif
		frame		data/chars/misc/dust04/03.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/dust04/04.gif
		frame		data/chars/misc/dust04/04.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/dust04/05.gif
		frame		data/chars/misc/dust04/05.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/dust04/06.gif
		frame		data/chars/misc/dust04/06.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/dust04/07.gif
		frame		data/chars/misc/dust04/07.gif
		frame		data/chars/misc/empty.gif

	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif

		
		
		
		
		
