name		SpikeB_
health		20
nolife  	1
speed		8
type		enemy
gfxshadow     	1
cantgrab 	1
nodieblink 	2
falldie		1
aggression -20
icon		data/chars/SpikeB/icon.gif
diesound  	data/sounds/exp.wav
animationscript data/scripts/escript.c

anim idle
	loop	1
	offset	64 107
	bbox	38 66 51 41
	delay	10
	frame	data/chars/SpikeB/stand1.gif

anim walk
	loop	1
	offset	64 107
	bbox	38 66 51 41
	delay	14
	frame	data/chars/SpikeB/walk1.gif
	frame	data/chars/SpikeB/walk2.gif
	frame	data/chars/SpikeB/walk3.gif
	move	1
	frame	data/chars/SpikeB/walk4.gif
	move	0
	move	1
	frame	data/chars/SpikeB/walk5.gif
	move	0
	frame	data/chars/SpikeB/walk6.gif

anim pain
	loop	0
	delay	10
	offset	64 107
	bbox	38 66 51 41
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif

anim	pain2
	loop	0
	delay	3
	offset	64 107
	bbox	38 66 51 41
	quakeframe	0 3 4
	Move	-3
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif
	Move	-2
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif
	Move	-1
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif
	Move	0
	delay	8
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif

anim	pain3
	loop	0
	delay	2
	offset	64 107
	bbox	38 66 51 41
	quakeframe	0 3 4
	Move	-5
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif
	Move	-4
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif
	Move	-3
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif
	Move	-2
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif
	Move	-1
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif
	Move	0
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif
	delay	8
	frame	data/chars/SpikeB/stand1.gif
	frame	data/chars/SpikeB/stand1.gif

anim fall
	loop	0
	delay	20
	offset	64 107
	attack3	38 66 51 41 16 
           DropV     1 2
	frame	data/chars/SpikeB/attack5.gif

anim rise
	loop	0
	offset	64 107
	delay	8
	frame	data/chars/SpikeB/attack5.gif
	frame	data/chars/SpikeB/attack4.gif
	frame	data/chars/SpikeB/attack3.gif
	frame	data/chars/SpikeB/attack2.gif
	frame	data/chars/SpikeB/attack1.gif
	frame	data/chars/SpikeB/attack0.gif


anim attack1
	range	0 150
        rangez  -75 75
	delay	5
	offset	64 107
	bbox	38 66 51 41
	frame	data/chars/SpikeB/attack0.gif
	frame	data/chars/SpikeB/attack1.gif
	frame	data/chars/SpikeB/attack2.gif
        @cmd    target 2 1 0 0 0
	frame	data/chars/SpikeB/attack3.gif
	frame	data/chars/SpikeB/attack4.gif
	frame	data/chars/SpikeB/attack5.gif
	frame	data/chars/SpikeB/attack6.gif
	delay	4
        @cmd    dash
	attack3	50 79 41 31 8
           DropV     1 2
	frame	data/chars/SpikeB/attack9.gif
	frame	data/chars/SpikeB/attack8.gif
	frame	data/chars/SpikeB/attack7.gif
	frame	data/chars/SpikeB/attack9.gif
	frame	data/chars/SpikeB/attack8.gif
	frame	data/chars/SpikeB/attack7.gif
	frame	data/chars/SpikeB/attack9.gif
	frame	data/chars/SpikeB/attack8.gif
	frame	data/chars/SpikeB/attack7.gif
	frame	data/chars/SpikeB/attack9.gif
	frame	data/chars/SpikeB/attack8.gif
	frame	data/chars/SpikeB/attack7.gif
	frame	data/chars/SpikeB/attack8.gif
	frame	data/chars/SpikeB/attack9.gif
	frame	data/chars/SpikeB/attack8.gif
	frame	data/chars/SpikeB/attack7.gif
	frame	data/chars/SpikeB/attack8.gif
	frame	data/chars/SpikeB/attack9.gif
	frame	data/chars/SpikeB/attack10.gif
	frame	data/chars/SpikeB/attack11.gif
	delay	6
	attack	0
        @cmd    stop
	frame	data/chars/SpikeB/attack5.gif
	frame	data/chars/SpikeB/attack4.gif
	frame	data/chars/SpikeB/attack3.gif
	frame	data/chars/SpikeB/attack2.gif
	frame	data/chars/SpikeB/attack1.gif
	frame	data/chars/SpikeB/attack0.gif

anim death
	loop	0
	delay	5
	offset	36 65
	frame	data/chars/Beetle/exp1.gif
	frame	data/chars/Beetle/exp2.gif
	frame	data/chars/Beetle/exp3.gif
	frame	data/chars/Beetle/exp4.gif
	frame	data/chars/Beetle/exp5.gif
	frame	data/chars/Beetle/exp6.gif
	frame	data/chars/Beetle/exp7.gif
	frame	data/chars/Beetle/exp8.gif
	frame	data/chars/Beetle/exp9.gif
	frame	data/chars/Beetle/exp10.gif
	frame	data/chars/Beetle/exp11.gif
	frame	data/chars/Beetle/exp12.gif
	frame	data/chars/Beetle/exp13.gif





