name	trap1
type	trap
shadow	0
nolife  1
subject_to_gravity


anim	idle
	loop	1
	attack	3 5 66 40 67 0 1 1 0 0
	delay	8
	offset	22 150
	frame	data/chars/misc/trap0000.png
	attack	3 6 69 52 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap000.png
	attack	0 7 69 57 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap00.png
	attack	0 10 69 75 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap0.png
	attack	0 8 69 83 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap1.png
	attack	0 10 69 87 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap2.png
	attack	0 9 69 95 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap3.png
	delay	6
	attack	0 7 69 108 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap4.png
	delay	6
	attack	0 12 69 115 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap5.png
	attack	2 11 67 128 67 0 1 0 0 0
	delay	6
	offset	22 150
	frame	data/chars/misc/trap6.png
	attack	3 8 66 154 67 0 1 0 0 0
	delay	6
	offset	22 150
	frame	data/chars/misc/trap7.png
	attack	0 8 69 131 67 0 1 0 0 0
	delay	15
	offset	22 150
	frame	data/chars/misc/trap6.png
	delay	15
	attack	3 11 66 116 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap5.png
	delay	15
	attack	3 8 66 107 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap4.png
	delay	15
	attack	0 11 69 91 67 0 0 1 0 0
	offset	22 150
	frame	data/chars/misc/trap3.png
	delay	15
	attack	3 6 66 91 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap2.png
	delay	15
	attack	3 10 66 81 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap1.png
	delay	15
	attack	3 9 66 75 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap0.png
	delay	15
	attack	3 17 66 46 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap00.png
	delay	15
	attack	3 14 66 38 67 0 1 0 0 0
	offset	22 150
	frame	data/chars/misc/trap000.png
	attack	2 10 67 29 67 0 1 0 0 0
	delay	100
	offset	22 150
	frame	data/chars/misc/trap0000.png
		
#|edited by openBor Stats v 0.41
		
