name	statue
health	50
type	obstacle
shadow  1
gfxshadow  1
diesound data/sounds/stone.wav
flash   obfla
noatflash 1
nolife  1



anim	fall
	delay	8
	offset	76 146
	frame	data/chars/misc/statue2.png
	offset	76 146
	frame	data/chars/misc/statue3.png
	offset	76 146
	frame	data/chars/misc/statue4.png
	offset	76 146
	frame	data/chars/misc/statue5.png
	offset	76 146
	frame	data/chars/misc/statue6.png
	offset	76 146
	frame	data/chars/misc/statue7.png
		
anim	idle
	delay	100
	offset	75 134
	bbox	46 8 50 131
	frame	data/chars/misc/statue1.png
		
#|edited by openBor Stats v 0.41
		
