name	E-Taser
health	200
speed   12
type	enemy
gfxshadow 1
icon	data/chars/E-Taser/icon.gif




hostile Player NPC

candamage Player NPC

animationscript data/scripts/escript.c


anim	attack1
	loop	0
	fastattack	1
	offset	113 126
	delay	8
	attack1	0 0 0 0
	bbox	94 85 40 44
	@cmd	attack1 0 82 50 250 "ANI_Freespecial2"
	@cmd	attack1 0 82 -250 -20 "ANI_Freespecial1"
	frame	Data/CHARS/E-Taser/Hit0.GIF
	frame	Data/CHARS/E-Taser/Hit1.GIF
	frame	Data/CHARS/E-Taser/Hit2.GIF
        Move    20
	attack1	123 82 22 39 9 0 0 0 0 10
	DropV	1 0
	sound	Data/SOUNDS/Shock.WAV
	frame	Data/CHARS/E-Taser/Hit3.GIF
        Move    0
	attack1	0 0 0 0
	frame	Data/CHARS/E-Taser/Hit4.GIF
	attack1	124 81 21 41 9 0 0 0 0 10
	DropV	1 0
	frame	Data/CHARS/E-Taser/Hit5.GIF
	attack1	0 0 0 0
	frame	Data/CHARS/E-Taser/Hit6.GIF
	attack1	126 85 16 33 12 0 0 0 0 10
	DropV	1 2
	frame	Data/CHARS/E-Taser/Hit7.GIF
	attack1	0 0 0 0
	frame	Data/CHARS/E-Taser/Hit8.GIF
	frame	Data/CHARS/E-Taser/Hit9.GIF
	frame	Data/CHARS/E-Taser/Hit10.GIF
	frame	Data/CHARS/E-Taser/Hit11.GIF
	frame	Data/CHARS/E-Taser/Hit12.GIF
	frame	Data/CHARS/E-Taser/Hit13.GIF
		
anim	fall
	loop	0
	delay	8
	offset	113 126
	bbox	89 86 44 40
	attack3	89 85 44 42 10 0 0 0 0 20
	DropV	1 3
	damageonlanding	15 2
	frame	Data/CHARS/E-Taser/Fall0.GIF
	attack3	88 84 44 43 10 0 0 0 0 20
	DropV	1 3
	frame	Data/CHARS/E-Taser/Fall1.GIF
	attack3	89 85 43 42 10 0 0 0 0 20
	DropV	1 3
	frame	Data/CHARS/E-Taser/Fall2.GIF
	attack3	88 84 44 43 10 0 0 0 0 20
	DropV	1 3
	frame	Data/CHARS/E-Taser/Fall3.GIF
	attack3	93 100 34 28 10 0 0 0 0 20
	DropV	1 3
	bbox	93 100 36 28
	frame	Data/CHARS/E-Taser/Fall4.GIF
		
anim	freespecial1
	loop	0
	delay	24
	offset	113 126
	bbox	93 85 38 44
	Jumpframe	0 1 0
	Landframe	5
	Range	0 70
	Rangea	0 -20
	@cmd	changeentityproperty getlocalvar("self") "Subject_to_Platform" 0
	frame	Data/CHARS/E-Taser/Walk3.GIF
	delay	6
	frame	Data/CHARS/E-Taser/Walk3.GIF
	@cmd	changeentityproperty getlocalvar("self") "Subject_to_Platform" 1
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
		
anim	freespecial2
	loop	0
	delay	6
	offset	113 126
	bbox	93 85 38 44
	Jumpframe	0 4 1
	Landframe	5
	Range	0 70
	Rangea	40 100
	@cmd	changeentityproperty getlocalvar("self") "Subject_to_Platform" 1
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
		
anim	idle
	loop	1
	delay	8
	offset	113 126
	bbox	97 85 31 44
	frame	Data/CHARS/E-Taser/Idle0.GIF
	frame	Data/CHARS/E-Taser/Idle1.GIF
	frame	Data/CHARS/E-Taser/Idle2.GIF
	frame	Data/CHARS/E-Taser/Idle3.GIF
	frame	Data/CHARS/E-Taser/Idle4.GIF
	frame	Data/CHARS/E-Taser/Idle5.GIF
	frame	Data/CHARS/E-Taser/Idle6.GIF
	frame	Data/CHARS/E-Taser/Idle7.GIF
		
anim	jump
	loop	0
	delay	7
	offset	113 126
	bbox	93 85 38 44
	range	5 80
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
		
anim	pain
	loop	0
	offset	113 126
	bbox	95 84 35 48
	delay	12
	frame	Data/CHARS/E-Taser/Pain0.GIF
	frame	Data/CHARS/E-Taser/Pain1.GIF
	frame	Data/CHARS/E-Taser/Pain2.GIF
	frame	Data/CHARS/E-Taser/Pain1.GIF
	delay	8
	frame	Data/CHARS/E-Taser/Pain0.GIF
		
anim	pain2
	loop	0
	offset	113 126
	bbox	95 84 35 48
	delay	3
	quakeframe	0 3 4
	Move	-3
	frame	Data/CHARS/E-Taser/Pain0.GIF
	frame	Data/CHARS/E-Taser/Pain0.GIF
	frame	Data/CHARS/E-Taser/Pain1.GIF
	Move	-2
	frame	Data/CHARS/E-Taser/Pain2.GIF
	frame	Data/CHARS/E-Taser/Pain2.GIF
	Move	-1
	frame	Data/CHARS/E-Taser/Pain2.GIF
	frame	Data/CHARS/E-Taser/Pain1.GIF
	Move	0
	delay	8
	frame	Data/CHARS/E-Taser/Pain0.GIF
	frame	Data/CHARS/E-Taser/Pain0.GIF
		
anim	pain3
	loop	0
	offset	113 126
	bbox	95 84 35 48
	delay	2
	quakeframe	0 3 4
	Move	-5
	frame	Data/CHARS/E-Taser/Pain0.GIF
	frame	Data/CHARS/E-Taser/Pain0.GIF
	frame	Data/CHARS/E-Taser/Pain0.GIF
	frame	Data/CHARS/E-Taser/Pain1.GIF
	Move	-4
	frame	Data/CHARS/E-Taser/Pain1.GIF
	frame	Data/CHARS/E-Taser/Pain1.GIF
	frame	Data/CHARS/E-Taser/Pain2.GIF
	Move	-3
	frame	Data/CHARS/E-Taser/Pain2.GIF
	frame	Data/CHARS/E-Taser/Pain2.GIF
	frame	Data/CHARS/E-Taser/Pain2.GIF
	Move	-2
	frame	Data/CHARS/E-Taser/Pain2.GIF
	frame	Data/CHARS/E-Taser/Pain2.GIF
	Move	-1
	frame	Data/CHARS/E-Taser/Pain1.GIF
	frame	Data/CHARS/E-Taser/Pain1.GIF
	Move	0
	frame	Data/CHARS/E-Taser/Pain1.GIF
	frame	Data/CHARS/E-Taser/Pain0.GIF
	delay	8
	frame	Data/CHARS/E-Taser/Pain0.GIF
	frame	Data/CHARS/E-Taser/Pain0.GIF
		
anim	rise
	loop	0
	offset	113 126
	delay	1
	frame	Data/CHARS/E-Taser/Idle0.GIF
		
anim	upper
	loop	0
	fastattack	1
	offset	113 126
	delay	8
	attack1	0 0 0 0
	bbox	94 85 40 44
	frame	Data/CHARS/E-Taser/Hit0.GIF
	frame	Data/CHARS/E-Taser/Hit1.GIF
	frame	Data/CHARS/E-Taser/Hit2.GIF
	attack1	123 82 22 39 9 0 0 0 0 10
	DropV	1 0
	sound	Data/SOUNDS/Shock.WAV
	frame	Data/CHARS/E-Taser/Hit3.GIF
	attack1	0 0 0 0
	frame	Data/CHARS/E-Taser/Hit4.GIF
	attack1	124 81 21 41 9 0 0 0 0 10
	DropV	1 0
	frame	Data/CHARS/E-Taser/Hit5.GIF
	attack1	0 0 0 0
	frame	Data/CHARS/E-Taser/Hit6.GIF
	attack1	126 85 16 33 12 0 0 0 0 10
	DropV	1 2
	frame	Data/CHARS/E-Taser/Hit7.GIF
	attack1	0 0 0 0
	frame	Data/CHARS/E-Taser/Hit8.GIF
	frame	Data/CHARS/E-Taser/Hit9.GIF
	frame	Data/CHARS/E-Taser/Hit10.GIF
	frame	Data/CHARS/E-Taser/Hit11.GIF
	frame	Data/CHARS/E-Taser/Hit12.GIF
	frame	Data/CHARS/E-Taser/Hit13.GIF
		
anim	walk
	loop	1
	delay	7
	offset	113 126
	bbox	93 85 38 44
	frame	Data/CHARS/E-Taser/Walk0.GIF
	frame	Data/CHARS/E-Taser/Walk1.GIF
	frame	Data/CHARS/E-Taser/Walk2.GIF
	frame	Data/CHARS/E-Taser/Walk3.GIF
	frame	Data/CHARS/E-Taser/Walk4.GIF
	frame	Data/CHARS/E-Taser/Walk5.GIF
	frame	Data/CHARS/E-Taser/Walk6.GIF
	frame	Data/CHARS/E-Taser/Walk7.GIF
		
#|edited by openBor Stats v 0.53
		
