name	trew

type	item
subtype    weapon
weapnum    5
shadow	0
typeshot	 0
counter          0
shootnum         0
nolife   1
gfxshadow   1


anim spawn
	loop	0
	delay	10 
	offset	99 273
        nodieblink  2
	frame	data/chars/misc/tree2.gif
        offset  252 244
        delay   13
	sound   data/sounds/boom.wav
	frame	data/chars/misc/tree4.gif
        move    -105 
	offset	172 122
	delay	16 
	frame	data/chars/misc/tree3.gif

anim idle
	loop	1
	offset	172 122
        bbox 140 95 75 30
	delay	16 
	frame	data/chars/misc/tree3.gif



