name	    		Guy
type	    		player
health	    		90
mp          		100
nolife				1
hostile				enemy
candamage			enemy player obstacle
speed	    		15
jumpspeed	    	12
jumpheight   		3.3
#jumpmove 			3
turndelay 			12
mprate				3
grabdistance		20
grabfinish			1
grabback			0
antigravity 		10
bounce				1
noquake     		1
shadow	    		3
diesound    		data/chars/guy/guy05.wav
flash 				flash
bflash 				guard
dust    			dust01
toflip				1
nodieblink			1
makeinv     		5 0 
falldie 			2
riseinv 			1 1
atchain     		1 1 2 3 4
jugglepoints		15
animationscript		data/scripts/player.c

load				quake
load				gokusa
load				izuna
load				hassou

com  d d a  		freespecial2
com  f f a  		freespecial3
com  d f a  		freespecial4
com  d f d f a  	freespecial5

icon	      		data/chars/guy/icon.gif 1
icondie     		data/chars/guy/icond.gif 1

parrow		data/chars/misc/parrow/01.gif -215 -185
parrow2		data/chars/misc/parrow/02.gif -215 -185
parrow3		data/chars/misc/parrow/03.gif -215 -185
parrow4		data/chars/misc/parrow/04.gif -215 -185

palette 			data/chars/guy/pal/pal01.gif #1
alternatepal		data/chars/guy/pal/pal02.gif #2
alternatepal		data/chars/guy/pal/pal03.gif #3
alternatepal		data/chars/guy/pal/pal04.gif #4
alternatepal		data/chars/guy/pal/pal05.gif #5
alternatepal		data/chars/guy/pal/pal06.gif #6
alternatepal		data/chars/guy/pal/pal07.gif #7
alternatepal		data/chars/guy/pal/pal08.gif #8
alternatepal		data/chars/guy/pal/pal09.gif #9
alternatepal		data/chars/guy/pal/pal10.gif #10

#	weapons     fighter1 fighter2 fighter3

#-------Select screen!

anim waiting
	 loop       1
	 offset     1 1
	 delay      4
       frame      data/chars/guy/sel01.gif
       frame      data/chars/guy/sel02.gif

anim select
	 loop       0
	 offset     1 1

	 sound   	data/sounds/choose.wav
	 delay      2
       frame      data/chars/guy/sel03.gif
	 sound   	data/sounds/punch.wav
	 delay      8
       frame      data/chars/guy/sel04.gif

	 delay      2
       frame      data/chars/guy/sel03.gif
	 sound   	data/sounds/punch.wav
	 delay      8
       frame      data/chars/guy/sel04.gif
	 delay      4
       frame      data/chars/guy/sel03.gif

	 delay      8
       frame      data/chars/guy/sel05.gif
	 sound   	data/sounds/punch.wav
	 delay      15
       frame      data/chars/guy/sel06.gif

	 delay      8
       frame      data/chars/guy/sel07.gif
	 sound   	data/sounds/punch.wav
	 delay      15
       frame      data/chars/guy/sel08.gif

	 delay      3
       frame      data/chars/guy/sel09.gif
	 sound   	data/sounds/punch.wav
	 delay      5
       frame      data/chars/guy/sel10.gif
	 sound   	data/chars/guy/guy01.wav
	 delay      100
       frame      data/chars/guy/sel11.gif



#-------Moves

anim spawn
	loop       0
	 offset     238 177
	delay   3
     @cmd setLevel
	frame	data/chars/guy/idle01.gif
	frame	data/chars/guy/idle01.gif
	frame	data/chars/guy/idle01.gif
	frame	data/chars/guy/idle01.gif
	frame	data/chars/guy/idle01.gif
	frame	data/chars/guy/idle01.gif
	frame	data/chars/guy/idle01.gif
	frame	data/chars/guy/idle01.gif
	frame	data/chars/guy/idle01.gif
	frame	data/chars/guy/idle01.gif

anim idle
	 loop       1
	 offset     238 177
	 bbox		226 102 23 76
	 delay      8
       frame      data/chars/guy/idle01.gif

anim walk
	 loop       1
	 offset     238 177
	 bbox		226 102 23 76
	 delay      8
       frame      data/chars/guy/walk01.gif
       frame      data/chars/guy/walk02.gif
       frame      data/chars/guy/walk03.gif
       frame      data/chars/guy/walk04.gif
       frame      data/chars/guy/walk05.gif
       frame      data/chars/guy/walk06.gif

anim get
	 loop       0
	 offset     238 177
	 delay      30
       frame      data/chars/guy/get01.gif

anim attack1
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			2 		1 		d d a 			freespecial2
	cancel 	0 			2 		1 		f f a 			freespecial3
	cancel 	0 			2 		1 		d f a 			freespecial4
	 fastattack 1

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      2
       frame      data/chars/guy/a101.gif
	 delay      8
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 95 	48 		84 		4 			0 		0 		0 			15			15
       frame      data/chars/guy/a102.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      4
       frame      data/chars/guy/a101.gif



anim attack2
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			2 		1 		d d a 			freespecial2
	cancel 	0 			2 		1 		f f a 			freespecial3
	cancel 	0 			2 		1 		d f a 			freespecial4
	 fastattack 1

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/guy/a201.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 95 	60 		84 		2 			0 		0 		0 			15			15
	 delay      10
       frame      data/chars/guy/a202.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      4
       frame      data/chars/guy/a201.gif


anim attack3
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			2 		1 		d d a 			freespecial2
	cancel 	0 			2 		1 		f f a 			freespecial3
	cancel 	0 			2 		1 		d f a 			freespecial4
	 fastattack 1

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/guy/a301.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 95 	60 		84		2 			0 		0 		0 			15			15
	 delay      10
       frame      data/chars/guy/a302.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      4
       frame      data/chars/guy/a301.gif

anim attack4
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			4 		1 		d d a 			freespecial2
	cancel 	0 			4 		1 		f f a 			freespecial3
	cancel 	0 			4 		1 		d f a 			freespecial4
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/guy/guy02.wav
	 delay      3
       frame      data/chars/guy/a401.gif
	 delay      5
       frame      data/chars/guy/a402.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 95 	60 		84 		8 			1 		0 		0 			20			15
	 delay      10
       frame      data/chars/guy/a403.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      6
       frame      data/chars/guy/a404.gif
