name		Drum
health	1
type		obstacle
shadow	0
noquake  	1
nolife  	1
flash		empty
noatflash	1
#falldie	0
nodieblink	2
diesound 	data/sounds/klunk.wav

anim idle
	loop 1
	delay	1000
	offset     238 177
	bbox	222 117 32 61
#	platform 35 41 9 54 15 15
	frame	data/chars/misc/items/drum01.gif

anim death
	jumpframe 0 3.3 -0.5
	loop 0
	delay	2
	offset     238 177
	frame	data/chars/misc/items/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/items/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/items/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/items/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/items/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/items/drum02.gif
	frame	data/chars/misc/empty.gif

	frame	data/chars/misc/items/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/items/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/items/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/items/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif

	frame	data/chars/misc/items/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/items/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/items/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif





