name	     Kena
type	     none
shadow	     0
candamage   enemy obstacle
antigravity 100
lifespan    2
flash       kenc

anim	idle
	attack	2 4 96 76 13 1 0 0 24 15
	dropv	1 7 0
	move	25
	loop	1
	delay	3
	offset	91 42
	frame	data/chars/Ken/a1.gif
	offset	88 42
	frame	data/chars/Ken/a2.gif
	bbox	0 0 0 0
	offset	110 41
	frame	data/chars/Ken/a3.gif
	offset	119 38
	frame	data/chars/Ken/a4.gif
	offset	128 56
	frame	data/chars/Ken/a5.gif
	offset	139 51
	frame	data/chars/Ken/a6.gif
	offset	143 64
	frame	data/chars/Ken/a7.gif
		
#|edited by openBor Stats v 0.51
		
