name	       Rogue
health            1000
mp	       500
speed	       15
type	       player
shadow	       3
makeinv        2
running        30  4.1  2  1
dust           dust
throwdamage    26
candamage     enemy obstacle
atchain	       1 1 2 3 4
fmap           6
projectilehit  player obstacle
gfxshadow 1
flash	Flash3
animationscript data/scripts/script.c
script	data/scripts/toad.c

com	D U A freespecial12
com	A4 freespecial3

icon           data/chars/Rogue/Rogue90000000.gif

palette	data/chars/Rogue/Rogue00000000.gif
alternatepal	data/chars/Rogue/alter1.gif
alternatepal	data/chars/Rogue/alter2.gif
alternatepal	data/chars/Rogue/alter3.gif


anim	attack1
	loop	0
	delay	8
	offset	48 94
	bbox	36 15 29 39
	Attack1	0
	sound	data/chars/Rogue/ya.wav
	hitfx	data/chars/Rogue/hit.wav
	frame	data/chars/Rogue/Rogue02000000.gif
	attack10	74 12 58 65 9 0 0 0 0 0
	frame	data/chars/Rogue/Rogue02000001.gif
	offset	48 94
	frame	data/chars/Rogue/Rogue02000002.gif
		
anim	attack2
	loop	0
	delay	6
	offset	43 96
	bbox	41 17 22 48
	cancel	1 4 1 D freespecial10
	sound	data/chars/Rogue/ha.wav
	hitfx	data/chars/Rogue/hit.wav
	frame	data/chars/Rogue/Rogue02100001.gif
	offset	65 95
	bbox	69 18 24 48
	attack10	105 11 44 67 10 0 0 0 0 0
	frame	data/chars/Rogue/Rogue02100002.gif
	Attack1	0
	frame	data/chars/Rogue/Rogue02100003.gif
	frame	data/chars/Rogue/Rogue02100004.gif
		
anim	attack3
	loop	0
	delay	7
	offset	58 105
	bbox	50 19 28 45
	cancel	1 6 1 D freespecial10
	sound	data/chars/Rogue/hii.wav
	hitfx	data/chars/Rogue/hit.wav
	frame	data/chars/Rogue/Rogue03000000.gif
	offset	41 111
	bbox	17 12 44 65
	frame	data/chars/Rogue/Rogue03000001.gif
	offset	53 114
	bbox	27 17 43 75
	attack3	72 10 61 70 8 0 0 0 0 0
	frame	data/chars/Rogue/Rogue03000002.gif
	delay	3
	attack	0
	frame	data/chars/Rogue/Rogue03000002.gif
	frame	data/chars/Rogue/Rogue03000002.gif
	frame	data/chars/Rogue/Rogue03000002.gif
		
anim	attack4
	loop	0
	delay	6
	offset	89 61
	bbox	29 24 79 10
	blast	115 6 70 50 13 0 0 50
	hitfx	data/sounds/bukk.wav
	cancel	4 8 1 U freespecial11
	sound	data/chars/Rogue/tada.wav
	frame	data/chars/Rogue/Rogue20000102.gif
	blast	115 6 70 50 13 0 0 0 0 0
	offset	89 69
	bbox	41 29 57 19
	frame	data/chars/Rogue/Rogue20000103.gif
	blast	115 6 70 50 13 0 0 0 0 0
	frame	data/chars/Rogue/Rogue20000104.gif
	blast	115 6 70 50 13 0 0 0 0 0
	bbox	38 40 53 8
	frame	data/chars/Rogue/Rogue20000105.gif
	blast	115 6 70 50 13 0 0 0 0 0
	offset	89 60
	bbox	43 22 50 13
	frame	data/chars/Rogue/Rogue20000106.gif
	blast	115 6 70 50 13 0 0 0 0 0
	offset	89 48
	frame	data/chars/Rogue/Rogue20000107.gif
	blast	115 6 70 50 13 0 0 0 0 0
	delay	3
	frame	data/chars/Rogue/Rogue20000107.gif
	blast	115 6 70 50 13 0 0 0 0 0
	frame	data/chars/Rogue/Rogue20000107.gif
		
anim	fall
	loop	0
	offset	68 91
	delay	100
	sound	data/chars/Rogue/uh.wav
	frame	data/chars/Rogue/Rogue50300010.gif
	offset	64 28
	frame	data/chars/Rogue/Rogue50400012.gif
		
anim	freespecial10
	loop	0
	delay	6
	offset	75 79
	bbox	72 3 39 72
	hitfx	data/sounds/bukk.wav
	sound	data/chars/Rogue/tada.wav
	frame	data/chars/Rogue/Rogue14500000.gif
	attack1	87 9 89 53 14
	frame	data/chars/Rogue/Rogue14500001.gif
	Attack1	0
	offset	84 79
	frame	data/chars/Rogue/Rogue14500002.gif
	frame	data/chars/Rogue/Rogue14500003.gif
	frame	data/chars/Rogue/Rogue14500004.gif
	blast	98 13 76 59 15 0 0 45
	dropv	2 9 0
	frame	data/chars/Rogue/Rogue14500005.gif
	blast	36 26 130 46 15 0 1
	dropv	2 12 0
	frame	data/chars/Rogue/Rogue14500006.gif
	Attack1	0
	frame	data/chars/Rogue/Rogue14500007.gif
	frame	data/chars/Rogue/Rogue14500008.gif
	frame	data/chars/Rogue/Rogue14500009.gif
	offset	66 81
	bbox	48 12 46 66
	frame	data/chars/Rogue/Rogue14500010.gif
		
anim	freespecial11
	loop	0
	delay	6
	offset	69 59
	bbox	31 12 37 33
	@cmd	leaper 4 1 0
	hitfx	data/sounds/bukk.wav
	blast	60 18 128 52 15 0 0 45
	dropv	6 2 0
	frame	data/chars/Rogue/Rogue07200003.gif
	blast	60 18 128 52 15 0 1 45
	frame	data/chars/Rogue/Rogue07200004.gif
	blast	60 18 128 52 15 1 1 45
	offset	71 58
	frame	data/chars/Rogue/Rogue07200005.gif
	offset	58 60
	frame	data/chars/Rogue/Rogue07200006.gif
		
anim	freespecial12
	loop	0
	delay	6
	offset	45 78
	bbox	34 5 34 70
	@cmd	leaper 0 3 0
	hitfx	data/sounds/bukk.wav
	sound	data/chars/Rogue/tada.wav
	frame	data/chars/Rogue/Rogue04200002.gif
	offset	42 139
	blast	8 -1 91 131 15 0 0 45
	dropv	5 0 0
	frame	data/chars/Rogue/Rogue04200003.gif
	offset	30 136
	bbox	14 30 33 88
	blast	7 0 52 125 15 0 1 45
	dropv	4 0 0
	frame	data/chars/Rogue/Rogue04200004.gif
	Attack1	0
	frame	data/chars/Rogue/Rogue04200005.gif
	offset	30 124
	frame	data/chars/Rogue/Rogue04200006.gif
	offset	30 113
	bbox	3 4 39 108
	frame	data/chars/Rogue/Rogue04200007.gif
	frame	data/chars/Rogue/Rogue04200008.gif
	offset	45 110
	bbox	27 17 39 83
	frame	data/chars/Rogue/Rogue04200009.gif
		
anim	freespecial3
	loop	0
	delay	19
	offset	35 118
	bbox	15 19 26 84
