name	Emerl-Scrapper
health	200
speed   13
type	enemy
gfxshadow 1
icon	 data/chars/Emerl-S/icon.gif




hostile Player NPC

candamage Player NPC

animationscript data/scripts/escript.c


anim	attack1
	loop	0
	delay	6
	attack1	0 0 0 0
	offset	125 104
	bbox	113 66 29 40
	@cmd	attack1 0 87 50 250 "ANI_Freespecial2"
	@cmd	attack1 0 87 -250 -20 "ANI_Freespecial1"
	frame	Data/CHARS/Emerl-S/A4-0.GIF
	attack1	119 68 35 38 6 0 0 0 0 20
	DropV	1 2
	frame	Data/CHARS/Emerl-S/A4-1.GIF
	frame	Data/CHARS/Emerl-S/A4-2.GIF
	attack1	0 0 0 0
	frame	Data/CHARS/Emerl-S/A4-5.GIF
	frame	Data/CHARS/Emerl-S/A4-6.GIF
	frame	Data/CHARS/Emerl-S/A4-7.GIF
	attack3	116 69 37 32 14 0 0 0 0 20
	DropV	1 2
	frame	Data/CHARS/Emerl-S/A4-8.GIF
	frame	Data/CHARS/Emerl-S/A4-9.GIF
	frame	Data/CHARS/Emerl-S/A4-10.GIF
	attack1	0 0 0 0
	frame	Data/CHARS/Emerl-S/A4-11.GIF
	frame	Data/CHARS/Emerl-S/A4-12.GIF
	frame	Data/CHARS/Emerl-S/A4-13.GIF
		
anim	attack2
	loop	0
	delay	7
	offset	125 104
	bbox	116 66 38 39
	@cmd	attack1 0 87 50 250 "ANI_Freespecial2"
	@cmd	attack1 0 87 -250 -20 "ANI_Freespecial1"
	frame	Data/CHARS/Emerl-S/A3-0.GIF
	attack1	130 79 27 25 8 0 0 0 0 20
	DropV	1 2
	frame	Data/CHARS/Emerl-S/A3-1.GIF
	attack1	0 0 0 0
	frame	Data/CHARS/Emerl-S/A3-2.GIF
	frame	Data/CHARS/Emerl-S/A3-3.GIF
	frame	Data/CHARS/Emerl-S/A3-4.GIF
	frame	Data/CHARS/Emerl-S/A3-5.GIF
	frame	Data/CHARS/Emerl-S/A3-6.GIF
	frame	Data/CHARS/Emerl-S/A3-7.GIF
	attack3	127 80 25 25 15 0 0 0 0 20
	DropV	1 2
	frame	Data/CHARS/Emerl-S/A3-8.GIF
	attack1	0 0 0 0
	frame	Data/CHARS/Emerl-S/A3-9.GIF
	frame	Data/CHARS/Emerl-S/A3-10.GIF
	frame	Data/CHARS/Emerl-S/A3-11.GIF
	frame	Data/CHARS/Emerl-S/A3-12.GIF
		
anim	attack3
	loop	0
	fastattack	1
	offset	125 104
	delay	7
	bbox	113 66 27 40
	@cmd	attack1 0 87 50 250 "ANI_Freespecial2"
	@cmd	attack1 0 87 -250 -20 "ANI_Freespecial1"
	frame	Data/CHARS/Emerl-S/A1-0.GIF
	frame	Data/CHARS/Emerl-S/A1-1.GIF
	frame	Data/CHARS/Emerl-S/A1-2.GIF
	frame	Data/CHARS/Emerl-S/A1-3.GIF
	attack3	128 78 25 23 20 0 0 0 0 20
	DropV	1 2
	frame	Data/CHARS/Emerl-S/A1-4.GIF
	frame	Data/CHARS/Emerl-S/A1-5.GIF
	attack1	0 0 0 0
	frame	Data/CHARS/Emerl-S/A1-6.GIF
	frame	Data/CHARS/Emerl-S/A1-7.GIF
	frame	Data/CHARS/Emerl-S/A1-8.GIF
	frame	Data/CHARS/Emerl-S/A1-9.GIF
	frame	Data/CHARS/Emerl-S/A1-10.GIF
	frame	Data/CHARS/Emerl-S/A1-11.GIF
	frame	Data/CHARS/Emerl-S/A1-12.GIF
	frame	Data/CHARS/Emerl-S/A1-13.GIF
	frame	Data/CHARS/Emerl-S/A1-14.GIF
	frame	Data/CHARS/Emerl-S/A1-15.GIF
		
anim	attack4
	loop	0
	delay	6
	offset	125 104
	bbox	111 72 34 31
	@cmd	attack1 0 87 50 250 "ANI_Freespecial2"
	@cmd	attack1 0 87 -250 -20 "ANI_Freespecial1"
	frame	Data/CHARS/Emerl-S/A2-0.GIF
	frame	Data/CHARS/Emerl-S/A2-1.GIF
