name	goblin_
health	50
speed	12
type	enemy
shadow	5
icon	data/chars/goblin2/icon.gif
#aggression 15
#cantgrab 1
#nodieblink 3
gfxshadow 1
#falldie 1
diesound data/sounds/die1.wav
palette	data/chars/goblin2/pal.gif

alternatepal	data/chars/goblin2/testpal.gif
alternatepal	data/chars/goblin2/testpal2.gif
alternatepal	data/chars/goblin2/testpal3.gif
#remap	data/chars/ork/walk5.gif	data/chars/ork/pal2.gif
#remap	data/chars/android/stand.gif data/chars/android/alt1.gif
#remap	data/chars/android/stand.gif data/chars/android/alt2.gif
#remap	data/chars/android/stand2.gif data/chars/android/alt11.gif
#remap	data/chars/android/stand2.gif data/chars/android/alt12.gif
#remap	data/chars/android/stand2.gif data/chars/android/alt13.gif

anim idle
	loop	1
	offset  43 122
	bbox 	19 50 60 70
	delay	15
	frame	data/chars/goblin2/idle1.gif
	offset  48 139
	frame	data/chars/goblin2/idle2.gif
	offset  40 124
	frame	data/chars/goblin2/idle3.gif
	offset  48 139
	frame	data/chars/goblin2/idle2.gif





	
anim walk
	loop	1
	offset  48 119
	bbox 	24 47 60 70
	delay	13
	frame	data/chars/goblin2/walk1.gif
	offset  46 130
	frame	data/chars/goblin2/walk2.gif
	offset  42 123
	frame	data/chars/goblin2/walk3.gif
	offset  32 122
	frame	data/chars/goblin2/walk4.gif


		
anim pain
	loop	0
	delay	4
	offset  56 89
	bbox	9 11 60 70
	frame	data/chars/goblin2/pain3.gif
	offset  45 83
	frame	data/chars/goblin2/pain2.gif
	offset	35 84
	frame	data/chars/goblin2/pain1.gif

anim	pain2
	loop	0
	delay	3
	offset  56 89
	bbox	9 11 60 70
	quakeframe	0 3 4
        Move    -3
	frame	data/chars/goblin2/pain3.gif
	frame	data/chars/goblin2/pain3.gif
	frame	data/chars/goblin2/pain3.gif
        Move    -2
	frame	data/chars/goblin2/pain3.gif
	frame	data/chars/goblin2/pain3.gif
        Move    -1
	offset  45 83
	frame	data/chars/goblin2/pain2.gif
	frame	data/chars/goblin2/pain2.gif
        Move    0
	delay	8
	offset	35 84
	frame	data/chars/goblin2/pain1.gif
	frame	data/chars/goblin2/pain1.gif

anim	pain3
	loop	0
	delay	2
	offset  56 89
	bbox	9 11 60 70
	quakeframe	0 3 4
	Move	-5
	frame	data/chars/goblin2/pain3.gif
	frame	data/chars/goblin2/pain3.gif
	frame	data/chars/goblin2/pain3.gif
	frame	data/chars/goblin2/pain3.gif
	Move	-4
	frame	data/chars/goblin2/pain3.gif
	frame	data/chars/goblin2/pain3.gif
	frame	data/chars/goblin2/pain3.gif
	Move	-3
	frame	data/chars/goblin2/pain3.gif
	frame	data/chars/goblin2/pain3.gif
	frame	data/chars/goblin2/pain3.gif
	Move	-2
	offset  45 83
	frame	data/chars/goblin2/pain2.gif
	frame	data/chars/goblin2/pain2.gif
	Move	-1
	frame	data/chars/goblin2/pain2.gif
	frame	data/chars/goblin2/pain2.gif
	Move	0
	frame	data/chars/goblin2/pain2.gif
	offset	35 84
	frame	data/chars/goblin2/pain1.gif
	delay	8
	frame	data/chars/goblin2/pain1.gif
	frame	data/chars/goblin2/pain1.gif
	
anim fall
	landframe	3
	loop	0
	offset	50 66
	ATTACK	27 32 82 87 15 1
	bbox	0 0 95 72
	delay	11
	frame	data/chars/goblin2/fall1.gif
	offset	41 94
	delay	1000
	frame	data/chars/goblin2/fall2.gif
	offset	46 61
	frame	data/chars/goblin2/fall3.gif
	frame	data/chars/goblin2/fall3.gif



anim rise
	loop	0
	offset	32 64
	delay	16
#	bbox	37 64 72 65
	frame	data/chars/goblin2/rise1.gif




anim attack1
	range	0 150
	loop	0
	delay	5
	offset	37 151
	bbox	44 58 63 84
	frame	data/chars/goblin2/atk1.gif
	offset	36 158
	frame	data/chars/goblin2/atk2.gif
	offset	22 139
	attack3	64 0 150 146 15 0 0 0 0 20
	frame	data/chars/goblin2/atk3.gif
	offset	28 103
	frame	data/chars/goblin2/atk4.gif
	attack	0 0 0 0 0
	offset	20 60
	frame	data/chars/goblin2/atk5.gif
	offset	24 67
	frame	data/chars/goblin2/atk6.gif
	offset	23 61
	frame	data/chars/goblin2/atk7.gif


	
