name	       Strong
health         1000
mp	       500
speed	       12
type	       player
shadow	       3
makeinv        2
running        35  4.1  2  1
dust           dust
throwdamage    26
candamage    enemy obstacle
atchain	       1 2 3 4
flash flashp
fmap           6
projectilehit  player obstacle
gfxshadow 1
animationscript	data/scripts2/script.c
script		data/scripts/toad.c

icon	data/Chars/Strong/icon.gif

com     d d a freespecial
com     u d a freespecial3
com     d f a freespecial7
com     a2 freespecial20
com     u u a freespecial5
com     d u a freespecial6
com     a3 freespecial2
com     a4 freespecial4

palette	   	data/Chars/Strong/idle1.gif
altneratepal	data/Chars/Strong/alter1.gif
altneratepal	data/Chars/Strong/alter2.gif
altneratepal	data/Chars/Strong/alter3.gif
altneratepal	data/Chars/Strong/alter4.gif
altneratepal	data/Chars/Strong/alter5.gif
altneratepal	data/Chars/Strong/alter6.gif
altneratepal	data/Chars/Strong/alter7.gif
altneratepal	data/Chars/Strong/alter8.gif
altneratepal	data/Chars/Strong/alter9.gif

anim	attack1
	cancel	0 2 0 d d a freespecial
	cancel	0 2 0 u d a freespecial3
	cancel	0 2 0 d f a freespecial7
	cancel	0 2 0 a2 freespecial20
	cancel	0 2 0 u u a freespecial5
	cancel	0 2 0 u f a freespecial6
	cancel	0 2 0 a3 freespecial2
	cancel	0 2 0 a4 freespecial4
	bbox	49 12 64 137
	loop	0
	delay	6
	offset	83 149
	frame	data/Chars/Strong/attack1.gif
	attack	67 9 159 66 7 0 0 0 24 15
	bbox	52 5 46 129
	offset	83 131
	frame	data/Chars/Strong/attack2.gif
	offset	60 121
	frame	data/Chars/Strong/attack3.gif
		
anim	attack2
	cancel	0 3 0 d d a freespecial
	cancel	0 3 0 u d a freespecial3
	cancel	0 3 0 d f a freespecial7
	cancel	0 3 0 a2 freespecial20
	cancel	0 3 0 u u a freespecial5
	cancel	0 3 0 u f a freespecial6
	cancel	0 3 0 a3 freespecial2
	cancel	0 3 0 a4 freespecial4
	bbox	35 2 90 140
	loop	0
	delay	6
	offset	85 132
	frame	data/Chars/Strong/bttack1.gif
	attack	57 5 185 50 7 0 0 0 24 15
	offset	56 137
	frame	data/Chars/Strong/bttack2.gif
	offset	57 136
	frame	data/Chars/Strong/bttack3.gif
	offset	56 137
	frame	data/Chars/Strong/bttack4.gif
		
anim	attack3
	cancel	0 3 0 d d a freespecial
	cancel	0 3 0 u d a freespecial3
	cancel	0 3 0 d f a freespecial7
	cancel	0 3 0 a2 freespecial20
	cancel	0 3 0 u u a freespecial5
	cancel	0 3 0 u f a freespecial6
	cancel	0 3 0 a3 freespecial2
	cancel	0 3 0 a4 freespecial4
	bbox	47 6 35 119
	loop	0
	delay	6
	offset	54 122
	frame	data/Chars/Strong/cttack1.gif
	attack	53 11 109 91 7 0 0 0 24 15
	offset	54 110
	frame	data/Chars/Strong/cttack2.gif
	offset	51 112
	frame	data/Chars/Strong/cttack3.gif
	offset	53 110
	frame	data/Chars/Strong/cttack4.gif
		
anim	attack4
	cancel	0 4 0 d d a freespecial
	cancel	0 4 0 u d a freespecial3
	cancel	0 4 0 d f a freespecial7
	cancel	0 4 0 a2 freespecial20
	cancel	0 4 0 u u a freespecial5
	cancel	0 4 0 u f a freespecial6
	cancel	0 4 0 a3 freespecial2
	cancel	0 4 0 a4 freespecial4
	bbox	49 52 75 115
	loop	0
	delay	6
	offset	87 170
	frame	data/Chars/Strong/dttack1.gif
	offset	87 162
	frame	data/Chars/Strong/dttack2.gif
	offset	62 179
	frame	data/Chars/Strong/dttack3.gif
	attack	89 8 138 103 12 1 0 0 24 15
	dropv	0 0 0
	bbox	48 6 86 82
	offset	62 104
	frame	data/Chars/Strong/dttack4.gif
	offset	62 103
	frame	data/Chars/Strong/dttack5.gif
		
anim	fall
	loop	0
	delay	6
	offset	73 70
	frame	data/Chars/Strong/fall1.gif
	offset	83 41
	frame	data/Chars/Strong/fall2.gif
	offset	83 46
	frame	data/Chars/Strong/fall3.gif
		
anim	freespecial
	fastattack	1
	hitflash	electo
	loop	0
	delay	6
	offset	41 109
	frame	data/Chars/Strong/anew1.gif
	offset	44 111
	frame	data/Chars/Strong/anew2.gif
	attack	2 4 100 117 12 1 0 0 24 15
	offset	46 115
	frame	data/Chars/Strong/anew3.gif
	attack	0
	offset	47 116
	frame	data/Chars/Strong/anew4.gif
	attack	2 5 103 116 12 1 0 0 24 15
	offset	48 117
	frame	data/Chars/Strong/anew5.gif
	attack	0
	offset	49 118
	frame	data/Chars/Strong/anew6.gif
	attack	3 4 100 128 12 1 0 0 24 15
	frame	data/Chars/Strong/anew7.gif
		
anim	freespecial15
	bbox	11 41 83 96
@script
    void vSelf = getlocalvar("self");

    if(frame==1){
      int  iTime = openborvariant("elapsed_time");

      changeentityproperty(vSelf, "velocity", 0, 0 , 0); // This is to stop entity from moving forward
      changeentityproperty(vSelf, "tosstime", iTime + 100);
    }
	@end_script	
	loop	0
	delay	6
	offset	40 138
	frame	data/Chars/Strong/aair1.gif
	offset	55 138
	frame	data/Chars/Strong/aair2.gif
	bbox	43 8 83 100
	attack	62 3 163 76 12 1 0 0 24 15
	dropv	-6 0 0
	offset	75 109
	frame	data/Chars/Strong/aair3.gif
	offset	81 110
	frame	data/Chars/Strong/aair4.gif
		
anim	freespecial2
	fastattack	1
	bbox	128 9 81 73
	move	35
	attack	139 5 223 123 23 1 0 0 12 1
	dropv	2 6 0
	loop	0
	delay	6
	offset	175 122
	frame	data/Chars/Strong/bnew1.gif
	attack	0
	offset	175 120
	frame	data/Chars/Strong/bnew2.gif
	attack	129 11 229 113 23 1 0 0 24 15
	dropv	2 6 0
	offset	175 122
	frame	data/Chars/Strong/bnew3.gif
	attack	139 5 223 123 23 1 0 0 12 1
	dropv	2 6 0
	loop	0
	delay	6
	offset	175 122
	frame	data/Chars/Strong/bnew1.gif
	attack	0
	offset	175 120
	frame	data/Chars/Strong/bnew2.gif
	attack	129 11 229 113 23 1 0 0 24 15
	dropv	2 6 0
