name	 pedra
type    none
health   10
gfxshadow 1
speed   25
remove 0
death 1
nodieblink 2
nolife     1
noatflash  1

candamage player

anim	idle
	delay	5
	loop	1
	hitfx	data/sounds/empty.wav
	attack4	10 10 3 3 5 0 0 0 0 0
	offset	10 16
	frame	data/chars/armas/pedra.gif
	attack4	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/armas/pedra.gif
		
anim	spawn
	delay	13
	offset	24 232
	frame	data/chars/armas/pedra1.gif
	frame	data/chars/armas/pedra2.gif
	frame	data/chars/armas/pedra3.gif
	frame	data/chars/armas/pedra4.gif
	frame	data/chars/armas/pedra5.gif
	frame	data/chars/armas/pedra6.gif
		
#|edited by openBor Stats v 0.67
		
