name	zed
health	50
speed	7
type	enemy
shadow  1
gfxshadow  1
aimove chase
aimove wander
aggression 5
shadow	0
falldie 2
nodieblink 2
icon	data/chars/zed/icon.png

palette   data/chars/zed/idle000.png
alternatepal data/chars/zed/map1.png
alternatepal data/chars/zed/map2.png
alternatepal data/chars/zed/map3.png
alternatepal data/chars/zed/map4.png






anim	attack1
	sound	data/sounds/Kenshiro/punch000.wav
	loop	0
	delay	9
	offset	35 117
	bbox	13 1 44 118
	frame	data/chars/zed/punch0000.png
	delay	15
	offset	35 117
	attack	41 16 55 30 10 0 0 0 0 0
	frame	data/chars/zed/punch0001.png
		
anim	attack2
	sound	data/sounds/Kenshiro/punch000.wav
	loop	0
	delay	10
	offset	33 117
	bbox	7 1 41 116
	frame	data/chars/zed/kick00.png
	delay	35
	attack	47 39 58 65 5 0 0 0 0 0
	offset	54 112
	frame	data/chars/zed/kick01.png
		
anim	death
	loop	0
	delay	8
	offset	30 95
	frame	data/chars/zed/rise1.png
sound	data/sounds/nani.wav
delay 35
	offset	35 116
	frame	data/chars/zed/idle000.png
delay 8
data/sounds/die5.wav
	offset	35 116
	frame	data/chars/zed/die0.png
	offset	43 114
	frame	data/chars/zed/die1.png
	sound	data/sounds/explo.wav
	offset	53 175
	frame	data/chars/zed/die2.png
	offset	53 175
	frame	data/chars/zed/die3.png
	offset	62 161
	frame	data/chars/zed/die4.png
	offset	71 175
	frame	data/chars/zed/die5.png
	offset	71 171
	frame	data/chars/zed/die6.png
	offset	68 161
	frame	data/chars/zed/die7.png
	offset	71 171
	frame	data/chars/zed/die6.png
	offset	68 161
	frame	data/chars/zed/die7.png
	offset	71 171
	frame	data/chars/zed/die6.png
	offset	68 161
	frame	data/chars/zed/die7.png
	offset	71 171
	frame	data/chars/zed/die6.png
	offset	62 70
	frame	data/chars/zed/die8.png
		
anim	fall
	loop	0
	delay	20
	offset	53 107
	frame	data/chars/zed/fall00.png
	offset	52 77
	frame	data/chars/zed/fall01.png
	offset	54 32
	frame	data/chars/zed/fall02.png
		
anim	idle
	loop	1
	offset	35 116
	bbox	7 2 50 115
	delay	10
	frame	data/chars/zed/idle000.png
		
anim	pain
	loop	0
	offset	57 115
	bbox	13 5 33 96
	delay	12
	frame	data/chars/zed/pain01.png
	offset	61 113
	delay	50
	frame	data/chars/zed/pain02.png
		
anim	rise
	loop	0
	delay	15
	offset	28 96
	frame	data/chars/zed/rise1.png
		
anim	walk
	loop	1
	offset	34 117
	bbox	15 -1 25 109
	delay	8
	frame	data/chars/zed/walk000.png
	offset	21 117
	frame	data/chars/zed/walk001.png
	offset	22 117
	frame	data/chars/zed/walk002.png
	offset	23 117
	frame	data/chars/zed/walk003.png
	offset	17 117
	frame	data/chars/zed/walk004.png
	offset	25 117
	frame	data/chars/zed/walk005.png
	offset	33 117
	frame	data/chars/zed/walk006.png
	offset	36 117
	frame	data/chars/zed/walk007.png
		
#|edited by openBor Stats v 0.41
		
