name	     Magnetoa
type	     none
shadow	     0
candamage   enemy obstacle
lifespan    3
antigravity 100
animationscript data/scripts2/script.c


anim	follow
	loop	0
	delay	4
	offset	48 112
	move	25
	@cmd	slamstart
	@cmd	position 1 0 0 -1 1
	frame	data/chars/Magneto/a8.gif
	@cmd	position 1 0 0 -1 1
	frame	data/chars/Magneto/a8.gif
	@cmd	position 1 0 0 -1 1
	frame	data/chars/Magneto/a8.gif
	@cmd	position 1 0 0 -1 1
	frame	data/chars/Magneto/a8.gif
	@cmd	position 1 0 0 -1 1
	frame	data/chars/Magneto/a8.gif
	@cmd	position 1 0 0 -1 1
	frame	data/chars/Magneto/a8.gif
	@cmd	depost 1
	@cmd	throw 35 1 0 0 0 1
	@cmd	clearL
	frame	data/chars/Magneto/a8.gif
	@cmd	suicide()
	frame	data/chars/Magneto/a8.gif
		
anim	idle
	followanim	1
	followcond	1
	attack	3 9 84 104 1 0 1 0 0 0
	loop	1
	delay	3
	offset	48 112
	move	35
	frame	data/chars/Magneto/a8.gif
	frame	data/chars/Magneto/a8.gif
		
#|edited by openBor Stats v 0.51
		
