name		qFlash2
nolife		1
type		none
shadow		0
alpha		1
lifespan	1
antigravity	100

anim 	spawn
	quakeframe	0 4 -4
	delay	5
	offset	22 36
	frame	data/chars/misc/flasha3/idle00.gif

	offset	36 55
	frame	data/chars/misc/flasha3/idle01.gif

	offset	52 95
	frame	data/chars/misc/flasha3/idle02.gif

	offset	45 105
	frame	data/chars/misc/flasha3/idle03.gif

	offset	42 118
	frame	data/chars/misc/flasha3/idle04.gif

	offset	49 126
	frame	data/chars/misc/flasha3/idle05.gif

	offset	27 127
	frame	data/chars/misc/flasha3/idle06.gif

	offset	20 107
	frame	data/chars/misc/flasha3/idle07.gif

	offset	26 108
	frame	data/chars/misc/flasha3/idle08.gif

	offset	34 48
	frame	data/chars/misc/flasha3/idle09.gif

	frame	data/chars/misc/empty.gif
