name	Goku_Normal
health 100
mp 100
speed	10
type	player
shadow 3
icon	data/chars/Goku-normal/icon.gif
jumpmove 3 3
animationscript data/scripts/spawns.c
com      a2 freespecial
com      a3 freespecial11
com      a4 freespecial3
script data/scripts/playerscript.c

parrow data/chars/misc/picon/1picon.gif -18 -100
parrow2 data/chars/misc/picon/2picon.gif -18 -100
parrow3 data/chars/misc/picon/3picon.gif -18 -100
parrow4 data/chars/misc/picon/4picon.gif -18 -100
makeinv 4
















anim	attack1
	loop	0
	delay	5
	bbox	36 46 17 21
	offset	43 78
	sound	data/chars/Goku-normal/punch.wav
	frame	data/chars/Goku-normal/punch01.gif
	frame	data/chars/Goku-normal/punch02.gif
	frame	data/chars/Goku-normal/punch03.gif
	attack	67 43 39 17 8 0 0 0 0 0
	frame	data/chars/Goku-normal/punch04.gif
	attack	64 48 24 9 10
	@cmd	spawnparent "pdust" -10 0 -22
	frame	data/chars/Goku-normal/punch05.gif
		
anim	attack2
	loop	0
	offset	43 78
	bbox	36 46 17 21
	delay	7
	sound	data/chars/Goku-normal/kick.wav
	frame	data/chars/Goku-normal/kick01.gif
	frame	data/chars/Goku-normal/kick02.gif
	@cmd	spawnparent "pdust" -10 0 -20
	frame	data/chars/Goku-normal/kick03.gif
	attack	64 51 44 9 8 0 0 0 0 0
	frame	data/chars/Goku-normal/kick04.gif
	attack	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/Goku-normal/kick05.gif
	attack	64 59 46 9 8 0 0 0 0 0
	frame	data/chars/Goku-normal/kick06.gif
	attack	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/Goku-normal/kick07.gif
	attack	62 67 45 9 8 0 0 0 0 0
	frame	data/chars/Goku-normal/kick08.gif
	frame	data/chars/Goku-normal/kick02.gif
	frame	data/chars/Goku-normal/kick01.gif
		
anim	attack3
	loop	0
	@cmd	leaper 1 3
	offset	43 78
	delay	15
	sound	data/chars/Goku-normal/kick.wav
	@cmd	spawnparent "pdust" -10 0 -20
	frame	data/chars/Goku-normal/keri01.gif
	delay	7
	attack	45 7 64 68 15 1 1 0 0 0
	frame	data/chars/Goku-normal/keri02.gif
	frame	data/chars/Goku-normal/keri03.gif
	blast	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/Goku-normal/keri04.gif
	blast	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/Goku-normal/keri05.gif
	blast	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/Goku-normal/jump01.gif
		
anim	charge
	loop	1
	delay	7
	offset	70 86
	bbox	36 46 17 21
	sound	data/chars/Goku-normal/ki.wav
	frame	data/chars/Goku-normal/ki01.GIF
	frame	data/chars/Goku-normal/ki02.GIF
	frame	data/chars/Goku-normal/ki03.GIF
	frame	data/chars/Goku-normal/ki04.GIF
		
anim	chargeattack
	loop	1
	delay	7
	offset	70 86
	bbox	36 46 17 21
	sound	data/chars/Goku-normal/ki.wav
	frame	data/chars/Goku-normal/ki01.GIF
	frame	data/chars/Goku-normal/ki02.GIF
	frame	data/chars/Goku-normal/ki03.GIF
	frame	data/chars/Goku-normal/ki04.GIF
		
anim	fall
	loop	0
	offset	43 78
	delay	20
