name chu2
health 90
running 17 2 4 2 10
speed 9
type	player
mp 120
fmap 2
shadow  5
gfxshadow 1
dust dust
icon	data/chars/chu2/icon.gif
diesound data/chars/chu2/die.wav

palette data/chars/chu2/chu2.gif

remap	data/chars/chu2/idle1.gif data/chars/chu2/alt1.gif
remap	data/chars/chu2/idle1.gif data/chars/chu2/alt2.gif

com 		D U A freespecial
com 		D F A freespecial2
com 		D F K freespecial3

load   alqui2
load   alqui3










































anim	attack1
	sound	data/chars/ch2u/at1.wav
	range	0 75
	loop	0
	delay	7
	offset	30 100
	bbox	13 3 43 103
	frame	data/chars/chu2/soco1.gif
	bbox	16 9 56 96
	attack	39 25 69 29 8 0 1 0 0 0
	offset	30 100
	frame	data/chars/chu2/soco2.gif
	offset	30 100
	frame	data/chars/chu2/soco1.gif
		
anim	attack2
	sound	data/chars/ch2u/at1.wav
	range	0 75
	loop	0
	delay	7
	offset	21 100
	bbox	5 4 38 100
	frame	data/chars/chu2/at1.gif
	offset	21 100
	frame	data/chars/chu2/at2.gif
	attack	32 19 60 39 10 0 1 0 0 0
	offset	21 100
	frame	data/chars/chu2/at3.gif
	offset	21 100
	frame	data/chars/chu2/at2.gif
		
anim	attack3
	sound	data/chars/ch2u/at1.wav
	range	0 75
	loop	0
	delay	7
	offset	24 106
	bbox	5 4 38 100
	frame	data/chars/chu2/chu1.gif
	offset	24 106
	frame	data/chars/chu2/chu3.gif
	attack	21 19 60 39 10 1 1 0 0 0
	offset	24 106
	frame	data/chars/chu2/chu5.gif
	offset	24 106
	frame	data/chars/chu2/chu3.gif
	offset	24 106
	bbox	5 4 38 100
	frame	data/chars/chu2/chu1.gif
		
anim	bpain
	bbox	31 9 47 90
	loop	0
	offset	55 96
	delay	6
	frame	data/chars/chu2/fire01.gif
	offset	55 96
	bbox	0 0 0 0
	delay	6
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	delay	6
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
