name		fire1
health		1
nolife		1
type		none
hostile		player npc obstacle
candamage	player npc obstacle
dust		dust01
flash		flash01
bflash		guard01
speed		0
nomove		1
noquake		1
falldie		1
subtype		flydie
#setlayer	10
shadow		0

anim spawn
	jugglecost	99
#	fastattack	1
	loop	0
	 offset     225 198
	bbox    	0 0 0 0
	hitfx   data/sounds/freeze01.wav

	sound   data/sounds/fbhit.wav
	delay	4
#	attack3  226 187 189 139 15 1 0 0 0 75
	frame	data/chars/misc/breath/fire01.gif
	frame	data/chars/misc/breath/fire02.gif
	frame	data/chars/misc/breath/fire03.gif
	frame	data/chars/misc/breath/fire04.gif
	frame	data/chars/misc/breath/fire05.gif
#	attack3  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/misc/breath/fire06.gif

	delay	4
#	attack3  226 187 189 139 15 1 0 0 0 75
	frame	data/chars/misc/breath/fire01.gif
	frame	data/chars/misc/breath/fire02.gif
	frame	data/chars/misc/breath/fire03.gif
	frame	data/chars/misc/breath/fire04.gif
	frame	data/chars/misc/breath/fire05.gif
#	attack3  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/misc/breath/fire06.gif

	delay	4
#	attack3  226 187 189 139 15 1 0 0 0 75
	frame	data/chars/misc/breath/fire01.gif
	frame	data/chars/misc/breath/fire02.gif
	frame	data/chars/misc/breath/fire03.gif
	frame	data/chars/misc/breath/fire04.gif
	frame	data/chars/misc/breath/fire05.gif
#	attack3  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/misc/breath/fire06.gif

	delay	4
#	attack3  226 187 189 139 15 1 0 0 0 75
	frame	data/chars/misc/breath/fire01.gif
	frame	data/chars/misc/breath/fire02.gif
	frame	data/chars/misc/breath/fire03.gif
	frame	data/chars/misc/breath/fire04.gif
	frame	data/chars/misc/breath/fire05.gif
#	attack3  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/misc/breath/fire06.gif

	delay	4
#	attack3  226 187 189 139 15 1 0 0 0 75
	frame	data/chars/misc/breath/fire01.gif
	frame	data/chars/misc/breath/fire02.gif
	frame	data/chars/misc/breath/fire03.gif
	frame	data/chars/misc/breath/fire04.gif
	frame	data/chars/misc/breath/fire05.gif
