name				trap5
health				1
nolife				1
shadow				3
type				none
hostile				enemy player npc
candamage			enemy player npc
speed				0
nomove				1
noquake				1
falldie				1
subtype				flydie
dust				dust01
flash				flash01
bflash				guard01
#setlayer			100
nolife				1

anim spawn
	loop	0
	jumpframe		0 0.5 0
	landframe		1
	quakeframe		1 20 7

	hitfx data/sounds/hit01.wav

	shadowcoords 208 198
	offset     218 198

	bbox    	0 0 0 0
	delay	9999
	attack1  194 162 48 41 10 1 0 0 0 25
	frame	data/chars/misc/trap5/00.gif

	shadowcoords 9999 9999
	delay	2
	sound data/sounds/fall02.wav
	attack1    0 0 0 0 0 0 0 0 0
	frame	data/chars/misc/trap5/01.gif
	frame	data/chars/misc/trap5/02.gif
	frame	data/chars/misc/trap5/03.gif
	frame	data/chars/misc/trap5/04.gif
	frame	data/chars/misc/trap5/05.gif
	frame	data/chars/misc/trap5/06.gif
	frame	data/chars/misc/trap5/07.gif
	frame	data/chars/misc/trap5/08.gif
	frame	data/chars/misc/trap5/09.gif
	frame	data/chars/misc/trap5/10.gif
	frame	data/chars/misc/trap5/11.gif
	frame	data/chars/misc/trap5/12.gif
	frame	data/chars/misc/trap5/13.gif
	frame	data/chars/misc/trap5/14.gif
	frame	data/chars/misc/trap5/15.gif
	frame	data/chars/misc/trap5/16.gif
	frame	data/chars/misc/trap5/17.gif
	frame	data/chars/misc/trap5/18.gif
	frame	data/chars/misc/trap5/19.gif
	frame	data/chars/misc/trap5/20.gif
	frame	data/chars/misc/trap5/21.gif
	frame	data/chars/misc/trap5/22.gif
	frame	data/chars/misc/trap5/23.gif
	frame	data/chars/misc/trap5/24.gif
	frame	data/chars/misc/trap5/25.gif
	frame	data/chars/misc/trap5/26.gif
	frame	data/chars/misc/trap5/27.gif
	frame	data/chars/misc/trap5/28.gif
	frame	data/chars/misc/empty.gif
	
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif

anim idle
	loop		0
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif


anim death
	loop		0
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif

		
		
		
		
		
