name	HisokaE
health	100
speed 15
type	enemy
shadow	3 
aimove chase
escapehits 1
candamage player npc obsacle
hostile npc player
running 18 4 2 1 0
animationscript data/scripts/spawns.c
com      a2 freespecial
com      a3 freespecial2
com      a4 freespecial3
load h_card




anim	attack1
	delay	7
	offset	25 59
	frame	data/chars/Hisoka/45.gif
	offset	25 52
	frame	data/chars/Hisoka/46.gif
	attack	34 26 43 -26 5 0 1 0 0 0
	offset	21 46
	frame	data/chars/Hisoka/47.gif
	offset	25 55
	frame	data/chars/Hisoka/48.gif
		
anim	attack2
	delay	7
	offset	20 47
	frame	data/chars/Hisoka/49.gif
	offset	25 51
	frame	data/chars/Hisoka/50.gif
	attack	35 26 40 -22 6 0 1 0 0 0
	offset	22 45
	frame	data/chars/Hisoka/51.gif
	offset	23 66
	frame	data/chars/Hisoka/52.gif
		
anim	attack3
	attack	0 0 0 0 0 0 0 0 0 0
	delay	7
	offset	24 43
	frame	data/chars/Hisoka/53.gif
	offset	25 43
	frame	data/chars/Hisoka/54.gif
	attack	27 32 57 -25 8 1 1 0 0 0
	offset	24 47
	frame	data/chars/Hisoka/55.gif
		
anim	attack4
	delay	7
	offset	27 57
	frame	data/chars/Hisoka/59.gif
	offset	21 58
	frame	data/chars/Hisoka/56.gif
	offset	20 55
	frame	data/chars/Hisoka/57.gif
	attack	19 1 41 58 10 0 1 0 0 0
	offset	21 55
	frame	data/chars/Hisoka/58.gif
		
anim	attack5
	delay	7
	fastattack	1
	offset	29 40
	frame	data/chars/Hisoka/207.gif
	offset	34 61
	frame	data/chars/Hisoka/208.gif
	attack	11 2 82 60 13 0 1 0 0 0
	offset	31 70
	frame	data/chars/Hisoka/209.gif
	offset	22 64
	frame	data/chars/Hisoka/210.gif
	attack	14 3 71 63 13 1 1 0 0 0
	offset	21 57
	frame	data/chars/Hisoka/211.gif
	offset	20 54
	frame	data/chars/Hisoka/212.gif
		
anim	chargeattack
	delay	7
	offset	24 53
	frame	data/chars/Hisoka/86.gif
	offset	23 51
	frame	data/chars/Hisoka/87.gif
	offset	34 52
	frame	data/chars/Hisoka/88.gif
	offset	27 49
	frame	data/chars/Hisoka/89.gif
	attack	18 53 55 -70 15 1 1 0 0 0
	offset	27 52
	frame	data/chars/Hisoka/90.gif
	offset	28 54
