name	Hisoka
health	100
speed	9
type	player
shadow	3 




anim	attack1
	delay	7
	offset	25 59
	frame	data/chars/Hisoka/45.gif
	offset	25 52
	frame	data/chars/Hisoka/46.gif
	attack	34 26 43 -26 5 0 1 0 0 0
	offset	21 46
	frame	data/chars/Hisoka/47.gif
	offset	25 55
	frame	data/chars/Hisoka/48.gif
		
anim	attack2
	delay	7
	offset	20 47
	frame	data/chars/Hisoka/49.gif
	offset	25 51
	frame	data/chars/Hisoka/50.gif
	attack	35 26 40 -22 6 0 1 0 0 0
	offset	22 45
	frame	data/chars/Hisoka/51.gif
	offset	23 66
	frame	data/chars/Hisoka/52.gif
		
anim	attack3
	attack	0 0 0 0 0 0 0 0 0 0
	delay	7
	offset	24 43
	frame	data/chars/Hisoka/53.gif
	offset	25 43
	frame	data/chars/Hisoka/54.gif
	attack	27 32 57 -25 8 1 1 0 0 0
	offset	24 47
	frame	data/chars/Hisoka/55.gif
		
anim	attack4
	delay	7
	offset	27 57
	frame	data/chars/Hisoka/59.gif
	offset	21 58
	frame	data/chars/Hisoka/56.gif
	offset	20 55
	frame	data/chars/Hisoka/57.gif
	offset	21 55
	frame	data/chars/Hisoka/58.gif
		
anim	attack5
		
anim	attack6
		
anim	chargeattack
	delay	7
	offset	24 53
	frame	data/chars/Hisoka/86.gif
	offset	23 51
	frame	data/chars/Hisoka/87.gif
	offset	34 52
	frame	data/chars/Hisoka/88.gif
	offset	27 49
	frame	data/chars/Hisoka/89.gif
	offset	27 52
	frame	data/chars/Hisoka/90.gif
	offset	28 54
	frame	data/chars/Hisoka/91.gif
		
anim	fall
	delay	7
	offset	25 50
	frame	data/chars/Hisoka/173.gif
	offset	29 49
	frame	data/chars/Hisoka/175.gif
	offset	19 46
	frame	data/chars/Hisoka/174.gif
	offset	28 37
	frame	data/chars/Hisoka/176.gif
	offset	28 41
	frame	data/chars/Hisoka/177.gif
	offset	38 24
	frame	data/chars/Hisoka/180.gif
		
anim	idle
	delay	7
	loop	1 3
	offset	20 52
	frame	data/chars/Hisoka/14.gif
	offset	18 53
	frame	data/chars/Hisoka/15.gif
	offset	20 49
	frame	data/chars/Hisoka/16.gif
	offset	23 58
	frame	data/chars/Hisoka/17.gif
	offset	21 60
	frame	data/chars/Hisoka/18.gif
	offset	21 57
	frame	data/chars/Hisoka/19.gif
	offset	21 59
	frame	data/chars/Hisoka/20.gif
		
anim	jump
	delay	7
	offset	27 56
	frame	data/chars/Hisoka/26.gif
	offset	25 56
	frame	data/chars/Hisoka/35.gif
	offset	18 59
	frame	data/chars/Hisoka/36.gif
	offset	18 52
	frame	data/chars/Hisoka/37.gif
	offset	18 56
	frame	data/chars/Hisoka/38.gif
		
anim	jumpattack
	delay	7
	offset	25 58
	frame	data/chars/Hisoka/78.gif
	offset	20 56
	frame	data/chars/Hisoka/74.gif
	offset	20 60
	frame	data/chars/Hisoka/75.gif
	offset	21 59
	frame	data/chars/Hisoka/77.gif
	offset	19 53
	frame	data/chars/Hisoka/79.gif
	offset	25 52
	frame	data/chars/Hisoka/80.gif
		
anim	jumpattack2
	delay	7
	offset	20 65
	frame	data/chars/Hisoka/94.gif
	offset	17 63
	frame	data/chars/Hisoka/95.gif
	offset	20 62
	frame	data/chars/Hisoka/96.gif
	offset	11 69
	frame	data/chars/Hisoka/97.gif
	offset	11 51
	frame	data/chars/Hisoka/98.gif
		
anim	pain
	delay	7
	offset	25 50
	frame	data/chars/Hisoka/173.gif
		
anim	rise
	delay	7
	offset	37 37
	frame	data/chars/Hisoka/182.gif
	offset	32 42
	frame	data/chars/Hisoka/183.gif
	offset	14 51
	frame	data/chars/Hisoka/184.gif
		
anim	run
	delay	7
	offset	37 41
	frame	data/chars/Hisoka/33.gif
	offset	36 37
	frame	data/chars/Hisoka/34.gif
		
anim	spawn
	delay	7
	offset	19 57
	frame	data/chars/Hisoka/7.gif
	offset	18 61
	frame	data/chars/Hisoka/8.gif
	offset	20 58
	frame	data/chars/Hisoka/9.gif
	offset	17 56
	frame	data/chars/Hisoka/3.gif
	offset	18 56
	frame	data/chars/Hisoka/4.gif
		
anim	special
	delay	7
	offset	15 51
	frame	data/chars/Hisoka/60.gif
	offset	17 50
	frame	data/chars/Hisoka/61.gif
	offset	16 55
	frame	data/chars/Hisoka/62.gif
	offset	15 53
	frame	data/chars/Hisoka/63.gif
	offset	16 56
	frame	data/chars/Hisoka/64.gif
	offset	31 53
	frame	data/chars/Hisoka/65.gif
	offset	19 56
	frame	data/chars/Hisoka/66.gif
	offset	25 61
	frame	data/chars/Hisoka/67.gif
	offset	25 66
	frame	data/chars/Hisoka/68.gif
	offset	24 60
	frame	data/chars/Hisoka/69.gif
	offset	16 42
	frame	data/chars/Hisoka/70.gif
	offset	15 49
	frame	data/chars/Hisoka/71.gif
	offset	21 49
	frame	data/chars/Hisoka/72.gif
	offset	16 53
	frame	data/chars/Hisoka/73.gif
		
anim	walk
	delay	7
	loop	1
	offset	30 51
	frame	data/chars/Hisoka/27.gif
	offset	32 42
	frame	data/chars/Hisoka/28.gif
	offset	26 42
	frame	data/chars/Hisoka/29.gif
	offset	32 43
	frame	data/chars/Hisoka/30.gif
	offset	32 39
	frame	data/chars/Hisoka/31.gif
	offset	25 45
	frame	data/chars/Hisoka/32.gif
		
#|edited by openBor Stats v 0.67
		
